Affy I.D.	Fold change 1	Fold Change 2	Gene title	Gene symbol
204439_at	337.79	724.08	interferon-induced protein 44-like	IFI44L
214059_at	8.00	55.72	Interferon-induced protein 44	IFI44
214453_s_at	7.46	10.56	interferon-induced protein 44	IFI44
202411_at	7.46	11.31	interferon, alpha-inducible protein 27	IFI27
219209_at	3.73	4.29	interferon induced with helicase C domain 1	IFIH1
208965_s_at	3.48	2.83	interferon, gamma-inducible protein 16	IFI16
206332_s_at	2.46	2.64	interferon, gamma-inducible protein 16	IFI16
208966_x_at	2.30	2.46	interferon, gamma-inducible protein 16	IFI16
209417_s_at	2.46	2.83	interferon-induced protein 35	IFI35
202086_at	39.40	39.40	myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse) /// myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	MX1
204994_at	7.46	10.56	myxovirus (influenza virus) resistance 2 (mouse)	MX2
203153_at	36.76	34.30	interferon-induced protein with tetratricopeptide repeats 1 /// interferon-induced protein with tetratricopeptide repeats 1	IFIT1
226757_at	9.85	10.56	interferon-induced protein with tetratricopeptide repeats 2	IFIT2
229450_at	8.00	8.57	interferon-induced protein with tetratricopeptide repeats 3	IFIT3
204747_at	7.46	8.57	interferon-induced protein with tetratricopeptide repeats 3	IFIT3
203595_s_at	5.66	5.28	interferon-induced protein with tetratricopeptide repeats 5	IFIT5
201601_x_at	2.30	3.25	interferon induced transmembrane protein 1 (9-27)	IFITM1
214022_s_at	2.14	2.64	interferon induced transmembrane protein 1 (9-27)	IFITM1
204415_at	11.31	7.46	interferon, alpha-inducible protein (clone IFI-6-16)	G1P3
205483_s_at	8.57	9.19	interferon, alpha-inducible protein (clone IFI-15K)	G1P2
205552_s_at	9.19	36.76	2,5-oligoadenylate synthetase 1, 40/46kDa	OAS1
202869_at	8.57	5.28	2,5-oligoadenylate synthetase 1, 40/46kDa	OAS1
218400_at	4.59	5.66	2-5-oligoadenylate synthetase 3, 100kDa	OAS3
204972_at	3.73	8.00	2-5-oligoadenylate synthetase 2, 69/71kDa	OAS2
205660_at	2.46	2.83	2-5-oligoadenylate synthetase-like	OASL
231577_s_at	4.59	4.59	guanylate binding protein 1, interferon-inducible, 67kDa	GBP1
202270_at	2.64	3.03	guanylate binding protein 1, interferon-inducible, 67kDa /// guanylate binding protein 1, interferon-inducible, 67kDa	GBP1
202269_x_at	2.46	4.00	guanylate binding protein 1, interferon-inducible, 67kDa /// guanylate binding protein 1, interferon-inducible, 67kDa	GBP1
223434_at	2.14	2.30	guanylate binding protein 3	GBP3
228617_at	8.57	6.50	XIAP associated factor-1	HSXIAPAF1
206133_at	5.28	4.29	XIAP associated factor-1	HSXIAPAF1
242234_at	2.46	3.25	XIAP associated factor-1	HSXIAPAF1
208436_s_at	5.28	5.66	interferon regulatory factor 7	IRF7
203882_at	3.48	4.00	interferon-stimulated transcription factor 3,  gamma 48kDa	ISGF3G
209969_s_at	3.73	4.00	signal transducer and activator of transcription 1, 91kDa	STAT1
232375_at	2.64	1.74	signal transducer and activator of transcription 1, 91kDa	STAT1
AFFX-HUMISGF3A/M97935_3_at	2.30	2.64	signal transducer and activator of transcription 1, 91kDa	STAT1
200887_s_at	2.14	2.64	signal transducer and activator of transcription 1, 91kDa	STAT1
AFFX- HUMISGF3A/M97935_MA_at	2.00	3.03	signal transducer and activator of transcription 1, 91kDa	STAT1
AFFX- HUMISGF3A/M97935_5_at	1.87	3.48	signal transducer and activator of transcription 1, 91kDa	STAT1
AFFX- HUMISGF3A/M97935_MB_at	1.87	3.03	signal transducer and activator of transcription 1, 91kDa	STAT1
225636_at	2.00	2.30	signal transducer and activator of transcription 2, 113kDa	STAT2
208392_x_at	3.48	3.73	SP110 nuclear body protein	SP110
209761_s_at	2.30	2.64	SP110 nuclear body protein	SP110
208012_x_at	2.14	2.64	SP110 nuclear body protein	SP110
209762_x_at	2.00	2.30	SP110 nuclear body protein	SP110
213182_x_at	17.15	2.83	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	CDKN1C
216894_x_at	8.57	3.73	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	CDKN1C
219534_x_at	6.96	3.73	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	CDKN1C
213348_at	3.73	2.64	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	CDKN1C
218943_s_at	3.73	4.29	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	DDX58
