Gene Symbol#	shLoxl2	shSnai1	Description	Function
Adssl1	13.02	1.56	Adenylosuccinate synthetase like 1	Basic cellular function
Asprv1	59.29	4.60	Aspartic peptidase, retroviral-like 1	Basic cellular function
Atp13a4	35.48	8.04	ATPase type 13A4	Basic cellular function
Lars2	4.25	4.25	Leucyl-tRNA synthetase, mitochondrial	Basic cellular function
March3	-6.49	-15.63	Membrane-associated ring finger (C3HC4) 3	Basic cellular function
Mrp63	-22.75	-12.82	Mitochondrial ribosomal protein 63	Basic cellular function
Nudt17	-13.54	-1.70	Nudix (nucleoside diphosphate linked moiety X)-type motif 17	Basic cellular function
Pdss2	-21.40	-4.26	Prenyl (solanesyl) diphosphate synthase, subunit 2	Basic cellular function
Rbm41	-18.41	-18.90	RNA binding motif protein 41	Basic cellular function
Rps6kl1	47.53	41.78	Ribosomal protein S6 kinase-like 1	Basic cellular function
Spnb3	27.29	1.32	Spectrin beta 3	Basic cellular function
Tekt3	-22.34	-2.00	Tektin 3	Basic cellular function
Thbd	-3.56	-13.24	Thrombomodulin	Basic cellular function
Usp9x	-3.04	-16.22	Ubiquitin specific peptidase 9, X chromosome	Basic cellular function
Bub1	-3.89	-14.52	Budding uninhibited by benzimidazoles 1 homolog (S. cerevisiae)	Cell cycle, growth and proliferation
Cdc25b	-2.45	-12.66	Cell division cycle 25 homolog B (S. cerevisiae)	Cell cycle, growth and proliferation
Cgref1	13.09	24.15	Cell growth regulator with EF hand domain 1	Cell cycle, growth and proliferation
Crybb1	-13.29	-1.58	Crystallin, beta B1	Cell cycle, growth and proliferation
Kif15	-31.44	-7.16	Kinesin family member 15	Cell cycle, growth and proliferation
Kif5b	-1.89	-12.26	Kinesin family member 5B	Cell cycle, growth and proliferation
Kntc2	-3.73	-13.54	Kinetochore associated 2	Cell cycle, growth and proliferation
Nusap1	-4.81	-12.43	Nucleolar and spindle associated protein 1	Cell cycle, growth and proliferation
Prlpc2	3.94	-30.16	Prolactin-like protein C 2	Cell cycle, growth and proliferation
Prlpm	14.08	-2.16	Prolactin-like protein M	Cell cycle, growth and proliferation
Prlpn	25.73	1.00	Prolactin-like protein N	Cell cycle, growth and proliferation
Sim1	-13.79	-7.78	Single-minded homolog 1 (Drosophila)	Cell cycle, growth and proliferation
Ccdc92	8.62	5.64	Coiled-coil domain containing 92	Immune response
Ccr9	-7.54	-10.90	Chemokine (C-C motif) receptor 9	Immune response
Csf2	-14.45	-7.08	Colony stimulating factor 2 (granulocyte-macrophage)	Immune response
Cstf2t	39.86	14.17	Cleavage stimulation factor, 3 pre-RNA subunit 2, tau	Immune response
Cxcl11	-19.88	-9.51	Chemokine (C-X-C motif) ligand 11	Immune response
Ifi202b	-2.81	-11.38	Interferon activated gene 202B	Immune response
Igsf4d	-28.02	-1.27	Immunoglobulin superfamily, member 4	Immune response
Igtp	12.30	2.13	Interferon gamma induced GTPase	Immune response
Il33	-3.05	-25.82	Interleukin 33	Immune response
Il6	-24.83	-12.35	Interleukin 6	Immune response
Irf5	11.84	1.40	Interferon regulatory factor 5	Immune response
Itga4	-17.66	-1.50	Integrin alpha 4	Immune response
Nppb	-13.06	-9.93	Natriuretic peptide precursor type B	Immune response
Ticam1	14.26	1.67	Toll-like receptor adaptor molecule 1	Immune response
Ticam2	-18.34	-3.21	Toll-like receptor adaptor molecule 2	Immune response
Tlr2	15.70	1.55	Toll-like receptor 2	Immune response
Tlx1	-13.65	1.00	T-cell leukemia, homeobox 1	Immune response
Tnfsf12	-36.06	-2.95	Tumor necrosis factor (ligand) superfamily, member 12	Immune response
Tslp	7.89	-19.59	Thymic stromal lymphopoietin	Immune response
Acsl5	-43.95	-11.31	Acyl-CoA synthetase long-chain family member 5	Metabolism
Adipor2	-4.28	-3.75	Adiponectin receptor 2	Metabolism
