Family	Gene	Fold Change
Chemokine	Ccr2	0.04
Chemokine	Cxcr4	0.04
Chemokine	Ccr7	0.14
Lysophospholipid	Edg4	0.01
Lysophospholipid	Edg5	0.01
Thrombin	F2rl1	0.01
Frizzled	Fzd5	0.01
Endothelin	Ednra	0.01
Glucagon	Glp1r	0.25
Glucagon	Gcgr	0.04
Orphans	Gpr103	0.01
Orphans	Gpr41	0.09
Orphans	Gpr108	0.01
Orphans	Gpr1	0.07
Orphans	Gpr124	0.25
Orphans	Gpr135	0.22
Orphans	Gpr133	0.01
Orphans	Gpr146	0.04
Orphans	CD97	0.01
Leukotriene	Mass1	0.07
Somatostatin	Sstr3	0.07
Prostanoid	Tbxa2r	0.21
Free fatty acid	Ffar1	0.12
