UniGene	Description	Fold ind.	p value
Hs.12341	Adenosine deaminase, RNA-specific	1.57	0.0072
Hs.129966	Ciliary neurotrophic factor receptor	0.53	0.4613
Hs.287729	Cytokine receptor-like factor 2	1.44	0.54
Hs.520937	Colony stimulating factor 2 receptor, alpha, low-affinity	3.77	0.0033
Hs.524517	Colony stimulating factor 3 receptor	0.74	0.665
Hs.632586	Chemokine (C-X-C motif) ligand 10	503.2	0.0005
Hs.501452	Epstein-Barr virus induced gene 3	78.25	0.0119
Hs.62192	Coagulation factor III (thromboplastin, tissue factor)	11.71	0.0006
Hs.61232	Interleukin 20 receptor beta	2.11	0.004
Hs.458485	ISG15 ubiquitin-like modifier	91.77	0
Hs.523847	Interferon, alpha-inducible protein 6	58.28	0.0004
Hs.380250	Interferon, gamma-inducible protein 16	7.7	0.0041
Hs.532634	Interferon, alpha-inducible protein 27	42.52	0.0007
Hs.14623	Interferon, gamma-inducible protein 30	2.55	0.0584
Hs.632258	Interferon-induced protein 35	7.81	0.0115
Hs.82316	Interferon-induced protein 44	5.94	0.0089
Hs.389724	Interferon-induced protein 44-like	2.31	0.0045
Hs.163173	Interferon induced with helicase C domain 1	46.37	0.0012
Hs.20315	Interferon-induced protein with tetratricopeptide repeats 1	170.66	0.0004
Hs.500491	Interferon-induced protein with tetratricopeptide repeats 1-like	0.71	0.4277
Hs.437609	Interferon-induced protein with tetratricopeptide repeats 2	21.41	0
Hs.47338	Interferon-induced protein with tetratricopeptide repeats 3	96.67	0.0007
Hs.458414	Interferon induced transmembrane protein 1 (9-27)	41.64	0.0006
Hs.174195	Interferon induced transmembrane protein 2 (1-8D)	2.6	0.0042
Hs.37026	Interferon, alpha 1	0.95	0.9341
Hs.93907	Interferon, alpha 14	0.43	0.3744
Hs.211575	Interferon, alpha 2	0.1	0.0031
Hs.113211	Interferon, alpha 21	0.54	0.0398
Hs.1510	Interferon, alpha 4	0.44	0.678
Hs.37113	Interferon, alpha 5	0.37	0.1013
Hs.533470	Interferon, alpha 6	0.75	0.4855
Hs.73890	Interferon, alpha 8	0.12	0.037
Hs.529400	Interferon (alpha, beta and omega) receptor 1	0.78	0.0836
Hs.642682	Interferon (alpha, beta and omega) receptor 2	0.35	0.0115
Hs.93177	Interferon, beta 1, fibroblast	14.77	0.0234
Hs.441972	Interferon epsilon 1	0.3	0.0024
Hs.856	Interferon, gamma	3.16	0.007
Hs.520414	Interferon gamma receptor 1	1.13	0.4053
Hs.634632	Interferon gamma receptor 2 (interferon gamma transducer 1)	1.24	0.1355
Hs.591083	Interferon, kappa	0.42	0.0244
Hs.73010	Interferon, omega 1	1.69	0.0021
Hs.7879	Interferon-related developmental regulator 1	0.28	0.0049
Hs.315177	Interferon-related developmental regulator 2	0.37	0.0043
Hs.504035	Interleukin 10 receptor, alpha	3.82	0.2635
