Gene ID	Annotation	Symbol	Mean fold change	P value	q value
Hs.1290	Complement component 9/C9/Hs.1290	C9	0.04879	1.00E-04	0.00016
Hs.36793	Solute carrier family 12, member 8	SLC12A8	0.14211	1.00E-04	0.00016
Hs.85155	Zinc finger protein 36, C3H type-like 1	ZFP36L1	0.173367	1.00E-04	0.00016
Hs.1872	Phosphoenolpyruvate carboxykinase 1 (soluble)	PCK1	0.173449	1.00E-04	0.00016
Hs.75183	Cytochrome P450, family 2, subfamily E, polypeptide 1	CYP2E1	0.188822	1.00E-04	0.00016
Hs.1282	Complement component 6	C6	0.191374	1.00E-04	0.00016
Hs.1051	Granzyme B (granzyme 2, CTL-associated serine esterase 1)	GZMB	0.196529	1.00E-04	0.00016
Hs.737	Immediate early response 2	IER2	0.200049	1.00E-04	0.00016
Hs.80756	Betaine-homocysteine methyltransferase	BHMT	0.233479	1.00E-04	0.00016
Hs.135742	Sideroflexin 1	SFXN1	0.24013	1.00E-04	0.00016
Hs.165551	Flavoprotein oxidoreductase MICAL3	MICAL3	0.244606	1.00E-04	0.00016
Hs.75275	Ubiquitination factor E4A (UFD2 homologue, yeast)	UBE4A	0.244931	1.00E-04	0.00016
Hs.2523	Alcohol dehydrogenase 1C (class I), gamma polypeptide	ADH1C	0.257741	1.00E-04	0.00016
Hs.132230	Similar to fibronectin type 3 and SPRY domain-containing protein	MGC45564	0.258397	1.00E-04	0.00016
Hs.139876	Ribosomal protein S9	RPS9	0.265598	1.00E-04	0.00016
Hs.75765	Chemokine (C-X-C motif) ligand 2	CXCL2	0.272308	1.00E-04	0.00016
Hs.10319	UDP glycosyltransferase 2 family, polypeptide B7	UGT2B7	0.272874	1.00E-04	0.00016
Hs.93194	Apolipoprotein A-I	APOA1	0.283752	1.00E-04	0.00016
Hs.156414	cDNA dkfzp686a09102	DKFZp686A09102	0.283833	1.00E-04	0.00016
Hs.514	Cyclin H	CCNH	0.28627	1.00E-04	0.00016
