Gene symbol	Gene description	Fold change RIP140 siRNA/ctrl siRNA	p-value
FOLR1	Folate receptor 1 (adult)	-4.65	0.00073
RAB3B	RAB3B, member RAS oncogene family	-4.33	0.005952
SMAD5	SMAD family member 5	-3.28	0.003862
MALAT1	Metastasis associated lung adenocarcinoma 1 (non-coding RNA)	-3.2	0.000468
DCX	Doublecortex; lissencephaly, X-linked (doublecortin)	2.82	0.000682
B3GAT3	Beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)	-2.63	0.005142
C14orf111	Chromosome 14 open reading frame 111	-2.62	0.003088
SMAD5	SMAD family member 5	-2.6	0.006314
CUTL1	Cut-like 1, CCAAT displacement protein (Drosophila)	-2.52	0.001457
C18orf54	Chromosome 18 open reading frame 54	-2.51	0.003054
PTBP2	Polypyrimidine tract binding protein 2	-2.48	0.004811
NRIP1	Nuclear receptor interacting protein 1	-2.42	0.011665
RSN	Restin (Reed-Steinberg expressed intermediate filament-associated)	-2.36	0.007189
UHMK1	U2AF homology motif (UHM) kinase 1	-2.34	0.009057
FNIP1	Folliculin interacting protein 1	-2.34	0.003628
PCBP2	Poly(rC) binding protein 2	-2.28	0.001479
BAT2D1	BAT2 domain containing 1	-2.28	0.001042
FAM80B	Family with sequence similarity 80, member B	-2.26	0.008836
UHMK1	U2AF homology motif (UHM) kinase 1	-2.26	0.002063
XKR6	XK, Kell blood group complex subunit-related family, member 6	-2.23	0.001595
BACH1	BTB and CNC homology 1, basic leucine zip transcription factor 1	-2.22	0.006338
LOC158863	Hypothetical protein LOC158863	-2.22	0.001177
GPD2	Glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	-2.22	0.004723
LOC552889	Hypothetical LOC552889	-2.18	0.014483
RBAK	RB-associated KRAB zinc finger	-2.17	0.001749
ZFR	Zinc finger RNA binding protein	-2.14	0.001579
SLC39A14	Solute carrier family 39 (zinc transporter), member 14	-2.14	0.000483
UHMK1	U2AF homology motif (UHM) kinase 1	-2.12	0.000315
HNRPU	Heterogen nuclear ribonucleoprotein U (scaffold attach factor A)	-2.12	0.000802
PGGT1B	Protein geranylgeranyltransferase type I, beta subunit	-2.1	0.002873
ZNF660	Zinc finger protein 660	-2.09	0.001916
ZNF655	Zinc finger protein 655	-2.09	0.011026
CDC42	Cell division cycle 42 (GTP binding protein, 25 kDa)	-2.08	0.001266
ESCO1	Establishment of cohesion 1 homolog 1 (S. cerevisiae)	-2.08	0.002092
UBE2W	Ubiquitin-conjugating enzyme E2W (putative)	-2.07	0.010394
HECTD1	HECT domain containing 1	-2.06	0.012537
UFM1	Ubiquitin-fold modifier 1	-2.05	0.003571
LOC641298	PI-3-kinase-related kinase SMG-1 – like locus	2.03	0.000555
GCNT2	Glucosaminyl (N-acetyl) transferase 2, (I blood group)	-2.03	0.001021
EDG7	Endothelial differentiation, lysophosphatidic acid G-coupled recept	-2.03	0.013785
