Gene symbol	Name of gene	U0126 treatment/no treatment (-fold increase)
Mybl2	Myeloblastosis oncogene-like 2	-7.5
Gfi1	Growth factor-independent 1	-6.5
Sap30	sin3-associated polypeptide	-5.7
Bhlhb2 (DEC1, STRA13)	Basic helix-loop-helix domain-containing, class B2	-5.7
IRF4	Interferon regulatory factor 4	-14.9
Egr2	Early growth response 2	-6.5
PBX1	Pre-B cell leukemia transcription factor 1	-6.5
Id3	Inhibitor of DNA binding 3	6.5
IRF7	Interferon regulatory factor 7	4.3
Klf2	Kruppel-like factor 2	39.4
Klf3	Kruppel-like factor 3	13.9
Klf7	Kruppel-like factor 7	4.3
Foxp1	Forkhead box P1	4
Foxp3	Forkhead box P3	4
TCF7	Transcription factor 7	5.3
PIAS1	Protein inhibitor of activated STAT1	4.3
—	KRAB box-containing protein	3.2
Spi-B	Ets transcription factor Spi-B	5.3
DPZF	BTBPOZ zinc finger protein DPZF	9.8
Bcl11b	B cell lymphomaleukaemia 11B	2.8
Gilz	Glucocorticoid-induced leucine zipper	22.6
Asb2	Ankyrin repeat- and SOCS box-containing protein 2	2.3
Asb13	Ankyrin repeat domain-containing SOCS box protein 13	4.3
Aes	N-terminal enhancer of split	3
makorin	Makorin, ring finger protein, 1	3.5
Tox	Thymus high mobility group box protein TOX	4
Mta3	Metastasis-associated 3	4
