ENSEMBL gene ID	ENSEMBL gene name	ENSEMBL Symbol	Ratio
ENSMUSG00000025384			?4.83
ENSMUSG00000052957	Growth-arrest-specific protein 1	Gas1	?3.66
ENSMUSG00000046714	Forkhead box protein C2	Foxc2	?3.36
ENSMUSG00000043984			?3.33
ENSMUSG00000053113	Suppressor of cytokine signaling 3	Socs3	?3.32
ENSMUSG00000021250	Proto-oncogene protein c-fos	Fos	?3.30
ENSMUSG00000026602	Podocin	Nphs2	?3.25
ENSMUSG00000035356	IkappaB-zeta	Nfkbiz	?3.24
ENSMUSG00000003032	Kruppel-like factor 4	Klf4	?3.19
ENSMUSG00000023034	Orphan nuclear receptor NR4A1	Nr4a1	?3.16
ENSMUSG00000018899	Interferon regulatory factor 1 (IRF-1)	Irf1	?3.08
ENSMUSG00000038418	Early growth response protein 1	Egr1	?3.08
ENSMUSG00000043964		BC061259	?2.92
ENSMUSG00000029465	Arp2/3 complex subunit p21-Arc	Arpc3	?2.82
ENSMUSG00000028024	Glutamyl aminopeptidase	Enpep	?2.73
ENSMUSG00000046324	BA207C16.3	D19Wsu12e	?2.70
ENSMUSG00000033161	Sodium/potassium-transporting ATPase alpha-1 chain	Atp1a1	?2.70
ENSMUSG00000022010	Regulatory protein TSC-22	Tsc22d1	?2.66
ENSMUSG00000028195	CYR61 protein	Cyr61	?2.61
ENSMUSG00000022580	Rhophilin 1	Rhpn1	?2.60
ENSMUSG00000050010			?2.49
ENSMUSG00000019970	Serine/threonine-protein kinase Sgk1	Sgk	?2.31
	Mafb (GlomBase annotation)		?2.29
ENSMUSG00000036534			?2.25
ENSMUSG00000037664	Cyclin-dependent kinase inhibitor 1C	Cdkn1c	?2.22
