Official Gene Symbol	Gene symbolNA	NAAccession no.NA	NAGene nameNA	NA0 hNA	NA6 hNA	NA16 hNA	Functional Category
NFAT5	NFAT5	W61007	Nuclear factor of activated T cells 5, tonicity responsive	NA	-2.14NA	NA	NANFAT family membersNA
NFATC1	NFATC1	U08015	Nuclear factor of activated T cells, cytoplasmic, calcineurin-dependent 1NA	NA	NA	2.00NA	NANFAT family membersNA
FCER1A	FCER1alpha	BC005912NA	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide	-2.30NA	NA	NA	NANFAT-activating receptorsNA
PAK1	PAK1	AU147145NA	p21/Cdc42/Rac1-activated kinase 1NA	2.00NA	NA	NA	NASignaling moleculesNA
PAK1	PAK1	U51120	p21/Cdc42/Rac1-activated kinase 1NA	4.92NA	NA	3.25NA	NASignaling moleculesNA
PAK1	PAK1	AU154408NA	p21/Cdc42/Rac1-activated kinase 1NA	NA	2.14NA	NA	NASignaling moleculesNA
Vav3	Vav3	AF118887NA	Vav3 oncogene	NA	3.73NA	NA	NASignaling moleculesNA
Vav3	Vav3	NANM_006113NA	Vav3 oncogene	NA	2.83NA	NA	NASignaling moleculesNA
CALM2	CALM2	BF591288	Calmodulin 2 (phosphorylase kinase, delta)	NA	-2.00NA	NA	NASignaling moleculesNA
CAMK4	CAMK4	AL529104NA	Calcium/calmodulin-dependent protein kinase IV	NA	NA	-2.00NA	NASignaling moleculesNA
SLA	SLA	U44403	Src-like adaptor	NA	-3.25NA	-2.64NA	NANFAT/Ca2+-signaling inhibitorsNA
SLA	SLA	NANM_006748NA	Src-like adaptor	NA	-2.00NA	-2.30NA	NANFAT/Ca2+-signaling inhibitorsNA
cebpa	cebpa	AL564683NA	CCAAT/enhancer binding protein (C/EBP), beta	NA	-2.00NA	NA	NARelated transcription factorsNA
JUNB	JUNB	NANM_002229NA	JunB proto-oncogene	NA	-2.46NA	NA	NARelated transcription factorsNA
NFKBIE	NFKBIE (IkappaBepsilon)	BG163267NA	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	NA	-2.00NA	NA	NARelated transcription factorsNA
FOSL1	FOSL1 (Fra-1)	BG251266NA	FOS-like antigen 1	NA	NA	-2.64	NARelated transcription factorsNA
