Name	Description
HDAC9	histone deacetylase 9
VWF	von Willebrand factor
CKM	creatine kinase, muscle
MYLK	myosin light chain kinase
NPPB	natriuretic peptide precursor B
CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)
MYH11	myosin, heavy polypeptide 11, smooth muscle
CDH2	cadherin 2
DMRT1	doublesex and mab-3 related transcription factor 1
DES	desmin
JUN	transcription factor AP-1
TNNI3	troponin I type 3 (cardiac)
GATA4	GATA-binding protein 4/5/6
NPPA	natriuretic peptide precursor A
MEF2A	MADS-box transcription enhancer factor 2A
GATA5	similar to Transcription factor GATA-5 (GATA binding factor-5)
TBX2	T-box 2
NKX2-5	NK2 transcription factor related, locus 5 (Drosophila)
TNNC1	troponin C, cardiac/slow skeletal
ADORA3	adenosine A3 receptor
MAPRE3	microtubule-associated protein, RP/EB family, member 3
MB	myoglobin
MEF2C	similar to MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C) (predicted)
ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2
MYL2	myosin regulatory light chain 2, ventricular/cardiac muscle isoform
MEF2D	MADS-box transcription enhancer factor 2D
MYH6	myosin, heavy chain 6, cardiac muscle, alpha (cardiomyopathy, hypertrophic 1)
COL2A1	procollagen, type II, alpha 1
TBX5	T-box 5
PPARGC1A	peroxisome proliferative activated receptor, gamma, coactivator 1 alpha
GATA6	GATA binding protein 6
SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1
NPR3	natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C)
MFN2	mitofusin 2
PDK4	pyruvate dehydrogenase kinase, isozyme 4
MYOCD	transcription factor myocardin
