Symbol	Gene product	2 h Patient I	II	III	24 h Patient I	II	III	72 h Patient I	II	III
APAF1	Apoptotic protease-activating factor	0.9	0.7	0.7	0.3	0.9	1.6	0.5	1.1	0.3
BAI1	Brain-specific angiogenesis inhibitor 1	1.2	0.5	0.6	0.5	0.6	0.6	0.3	0.2	0.4
BAX	BCL2-associated X protein	1.3	1	1.5	1.9	2	2	1.9	0.2	0.4
BID	BH3 interacting domain death agonist	2.5	1.1	0.6	6.5	1.9	0.7	4	1.1	0.8
BTG2	BTG family, member 2	1.4	1	1.4	1	0.5	0.9	0.8	0.6	0.8
CASP6	Caspase 6, apoptosis-related cysteine protease	1.7	3.2	1.6	0.5	1.1	0.6	1	1.9	0.9
CCNG1	Cyclin G1	0.6	1	0.8	1.6	2.6	1.5	1.4	2	1.6
CDKN1A	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	0.5	0.6	0.8	1	0.9	1.1	0.7	0.7	0.7
GADD45A	Growth arrest and DNA-damage-inducible, alpha	1.1	0.9	0.9	1.1	0.6	0.8	1	0.5	0.5
GADD45B	growth arrest and DNA-damage-inducible, beta	3.2	1.4	1.1	0.6	0.6	0.7	0.8	0.7	0.9
GADD45G	Growth arrest and DNA-damage-inducible, gamma	1.1	1.9	3	0.6	2.6	2.3	1.4	0.4	2.1
GGA1	Golgi associated, gamma adaptin ear-containing, ARF-binding protein 1	1.3	1.1	1.1	1.1	1.1	1.1	1.1	1.3	1.1
GML	GPI anchored molecule-like protein	10.6	6.5	0.4	4.9	12.1	2	8	3	0.9
HERC1	Hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1	1.2	0.9	1.1	0.6	0.4	0.4	0.6	0.7	0.9
IGFBP3	Insulin-like growth factor-binding protein 3	0.5	0.3	0.6	1	0.6	0.5	1.5	0.6	0.5
MDM2	Mdm2, transformed 3T3 cell double minute 2, p53-binding protein (mouse)	0.5	1.4	0.8	1.1	1.4	1.9	1.4	2.3	0.7
MDM4	Mdm4, transformed 3T3 cell double minute 4, p53-binding protein (mouse)	1.7	3.7	0.3	1.2	0.5	0.3	16	0.7	0.8
NOX1	NADPH oxidase 1	8	2.3	0.9	1	1.4	2.3	2.3	0.8	0.4
NOX3	NADPH oxidase 3	1.3	0.7	1.7	0.8	0.5	1.2	1.3	1.1	1.2
NOX4	NADPH oxidase 4	1	1.5	2	0.4	1.5	4.6	1.3	1.1	2.3
NOX5	NADPH oxidase, EF hand calcium-binding domain 5	1.9	5.7	0.5	0.9	9.2	1.1	1.2	6.5	0.8
P53AIP1	p53-regulated apoptosis-inducing protein 1	1.5	2.3	1.9	0.4	0.4	0.3	1.1	2	3
PERP	p53-induced protein PIGPC1	1.1	1.2	1.1	0.8	0.9	1.1	0.9	1.1	1
PLAGL1	Pleiomorphic adenoma gene-like 1	1.1	1.2	1	0.7	0.4	0.8	0.6	1.1	1.1
REPRIMO	Candidate mediator of the p53-dependent G2 arrest	0.9	0.9	1.1	0.8	0.4	0.8	0.1	0.3	0.7
TNFRSF6	Tumor necrosis factor receptor superfamily, member 6	1.1	0.7	0.7	1.4	1.2	1.5	1.1	0.9	1
TP53	Tumor protein p53 (Li–Fraumeni syndrome)	1.6	1.5	1.3	0.7	0.6	0.5	0.9	0.9	0.8
TP53BP1	Tumor protein p53 binding protein, 1	2	1.7	1.3	1.2	0.8	0.1	1.3	1.1	1.4
TP53BP2	Tumor protein p53-binding protein, 2	0.4	0.3	0.6	1.1	1.2	1.1	0.7	0.8	0.7
WIG1	p53 target zinc finger protein	1.1	0.8	0.8	1.1	1.5	1	0.9	0.7	0.9
ERCC3 (XPB)	Excision repair cross-complementing (xeroderma pigmentosum group B complementing)	1.5	1.6	0.9	1.1	1.1	0.9	0.9	1.1	0.9
XPA	Excision repair cross-complementing (xeroderma pigmentosum group A complementing)	1.9	1.5	1.5	0.9	0.8	0.9	0.6	0.9	1.2
XPC	Excision repair cross-complementing (xeroderma pigmentosum group C complementing)	2.5	1.6	1.7	1.9	1.6	2.5	1	0.9	2.1
ERCC5 (XPG)	Excision repair cross-complementing (xeroderma pigmentosum group G complementing)	1.2	2.1	1.7	0.5	0.7	0.5	0.7	1.4	1.4
