Probe set	Gene Symbol	Description	Fold change shRNA242	Fold change shRNA 558
241949_at	ACOT6	acyl-CoA thioesterase 6	-5.15	-1.12
226384_at	PPAPDC1B	phosphatidic acid phosphatase type 2 domain	-3.95	-2.67
223569_at	PPAPDC1B	phosphatidic acid phosphatase type 2 domain	-3.73	-2.89
201506_at	TGFBI	transforming growth factor, beta induced, 68k Da	-3.67	0.684
223568_s_at	PPAPDC1B	phosphatidic acid phosphatase type 2 domain	-3.53	-0.831
208370_s_at	DSCR1	regulator of calcineurin 1	-2.45	-1.04
238379_x_at	NA	NA	-2.42	-1.91
226086_at	SYT13	synaptotagmin XIII	-2.34	-1.38
203438_at	STC2	stanniocalcin 2	-2.33	-1.08
211959_at	IGFBP5	insulin-like growth factor binding protein 5	-2.3	-1.59
219615_s_at	KCNK5	potassium channel, subfamily K, member 5	-1.99	-1.19
202833_s_at	SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	-1.94	-0.96
204623_at	TFF3	trefoil factor 3 (intestinal)	-1.89	-1.14
224772_at	NAV1	neuron navigator 1	-1.81	-0.898
225328_at	NA	NA	-1.7	-1.36
205111_s_at	PLCE1	phospholipase C, epsilon 1	-1.69	-3.22
239109_at	NA	hypothetical protein LOC728190	-1.61	-1.23
230746_s_at	STC1	stanniocalcin 1	-1.6	-1.27
204595_s_at	STC1	stanniocalcin 1	-1.4	-1.24
222760_at	ZNF703	zinc finger protein 703	-1.38	-0.804
223961_s_at	CISH	cytokine inducible SH2-containing protein	-1.38	-0.833
203638_s_at	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysotosis 1, Crouzon	-1.34	-1.07
203911_at	RAP1GAP	RAP1 GTPase activating protein	-1.34	-0.72
212417_at	SCAMP1	secretory carrier membrane protein 1	-1.32	-0.935
1554539_a_at	RHOF	ras homolog gene family, member F (in filopodia)	-1.31	-0.714
208228_s_at	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysotosis 1, Crouzon	-1.29	-1.14
1555997_s_at	IGFBP5	insulin-like growth factor binding protein 5	-1.22	-0.996
203410_at	AP3M2	adaptor-related protein complex 3, mu 2 subunit	-1.19	-0.619
201110_s_at	THBS1	thrombospondin 1	-1.18	-1.02
224774_s_at	NAV1	neuron navigator 1	-1.17	-0.607
220744_s_at	IFT122	intraflagellar transport 122 homolog	-1.11	-1.01
213688_at	CALM1	calmodulin 1 (phosphorylase kinase, delta)	-1.1	-0.613
217614_at	POLR2E	NA	-1.1	-0.685
212124_at	RAI17	zinc finger, MIZ-type containing 1	-1.06	-0.991
230051_at	C10orf47	chromosome 10 open reading frame 47	-1.05	-0.78
216638_s_at	PRLR	prolactin receptor	-1.05	-0.682
211250_s_at	SH3BP2	SH3-domain binding protein 2	-1.05	-0.734
203439_s_at	STC2	stanniocalcin 2	-1.02	-0.898
204836_at	GLDC	glycine dehydrogenase (decarboxylating)	-1	-2
212311_at	KIAA0746	KIAA0746 protein	-1	-0.674
239108_at	MLSTD1	male sterility domain containing 1	-0.999	-1.11
204863_s_at	IL6ST	interleukin 6 signal transducer (gp130, oncostatin)	-0.999	-0.678
223822_at	SUSD4	sushi domain containing 4	-0.999	-0.71
1566764_at	NA	NA	-0.99	-0.847
221902_at	GPR153	G protein-coupled receptor 153	-0.979	-0.583
226364_at	HIP1	huntingtin interacting protein 1	-0.949	-0.831
211000_s_at	IL6ST	interleukin 6 signal transducer (gp130, oncostatin)	-0.929	-1.06
228977_at	IL17D	hypothetical protein LOC729680	-0.877	-1.26
228595_at	HSD17B1	similar to Estradiol 17-beta-dehydrogenase 1 (17-beta-HSD 1) (Placental 17-beta-hydroxysteroid dehydrogenase) (20 alpha-hydroxysteroid)	-0.875	-0.759
225354_s_at	SH3BGRL2	SH3 domain binding glutamic acid-rich protein	-0.864	-0.744
222173_s_at	TBC1D2	TBC1 domain family, member 2	-0.845	-0.884
226802_s_at	LOC653458	hypothetical gene LOC96610	-0.842	-0.901
213475_s_at	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha	-0.826	-1.05
216300_x_at	RARA	retinoic acid receptor, alpha	-0.818	-0.586
1556064_at	LOC284926	hypothetical protein LOC284926	-0.803	-0.716
219742_at	PRR7	proline rich 7 (synaptic)	-0.789	-0.833
227126_at	NA	NA	-0.785	-1.22
202787_s_at	MAPKAPK3	mitogen-activated protein kinase-activated protein	-0.775	-1.01
222526_at	GATAD2A	GATA zinc finger domain containing 2A	-0.766	-0.626
213351_s_at	TMCC1	transmembrane and coiled-coil domain family 1	-0.753	-0.582
225633_at	DPY19L3	dpy-19-like 3 (C. elegans)	-0.753	-0.592
240694_at	NA	NA	-0.748	-1.97
232151_at	NA	NA	-0.74	-1.31
215397_x_at	NA	thrombospondin, type I, domain containing 4	-0.737	-0.8
222184_at	NA	NA	-0.715	-0.727
228813_at	HDAC4	histone deacetylase 4	-0.707	-0.878
212458_at	SPRED2	sprouty-related, EVH1 domain containing 2	-0.688	-0.719
202364_at	MXI1	MAX interactor 1	-0.672	-0.602
204326_x_at	MT1X	metallothionein 1X	-0.665	-0.736
202395_at	NSF	N-ethylmaleimide-sensitive factor	-0.653	-0.72
205882_x_at	ADD3	adducin 3 (gamma)	-0.642	-1.01
204149_s_at	GSTM4	glutathione S-transferase M4	-0.618	-1.17
228496_s_at	CRIM1	cysteine rich transmembrane BMP regulator 1	-0.614	-0.8
203130_s_at	KIF5C	kinesin family member 5C	-0.608	-0.877
