Gene Symbol	Clone ID	Average of IR/Control Ratiosc,cc Lymphoblasts WT (1 Gy)	AT (1 Gy)	WT (5 Gy)	AT (5 Gy)	Fibroblasts WT (5 Gy)	AT (5 Gy)	Gene Name	Gene Function
CCNA2	32811	1.02	1.05	0.66x	0.96	0.55	1.03	Cyclin A2	Cell cycle regulation
CCNB1	563130	1.08	1.27	0.71x	0.77	0.98	1.12	Cyclin B1	Cell cycle regulation
CCNG1	321743	1.48x	1.16	1.78x	1.75x	1.45	1.35	Cyclin G1	Cell cycle regulation
CDC25B	179373	1.22x	1.05	0.82	0.92	0.86	1.21	Cell division cycle 25B	Cell cycle regulation
CDK10	310428	1.03	1.11	1.04	1.05	1.1	0.38	Cyclin-dependent kinase (CDC2-like) 10	Cell cycle regulation
CDKN1A	268652	1.75x	1.52x	3.07x	2.55x	2.95x	1.24x	Cyclin-dependent kinase inhibitor 1A (p21, CIP1, WAF1)	Cell cycle regulation
CDKN3	293274	1.07	1.02	0.78x	0.9	0.88	0.98	Cyclin-dependent kinase inhibitor 3 (KAP)	Cell cycle regulation
CKS2	359119	1.1	1.07	0.68x	0.75	1.14	1.2	CDC28 protein kinase 2	Cell cycle regulation
PLK3	324917	1.19	1.21	1.57	1.58	1.36x	1.12	Polo-like kinase 3 (Drosophila; CNK, FNK, PRK)	Cell cycle regulation
CDC20	563809	1.14	1.02	0.47x	0.55	0.52x	1.16	CDC20 cell division cycle 20 homologue (S. cerevisiae)	Mitosis
KPNA2	339075	1.11	1.12	0.52x	0.8	0.84	1.02	Karyopherin a2 (RAG cohort 1, importin a1)	Mitosis
MAD2L1	129140	0.94	1.15	0.69x	0.94	0.62x	1.07	MAD2 mitotic arrest deficient-like 1 (yeast)	Mitosis
NEK2	415089	1.1	1.38	0.57x	0.69	0.65x	0.85	NIMA (never in mitosis gene a) – related kinase 2	Mitosis
STK6	415639	1.11	1.05	0.71x	0.95	0.62x	1.04	Serine/threonine kinase 6 (STK15, Aurora 2, Aurora A)	Mitosis
CDC6	563187	0.73	1.07	0.77x	1.04	0.81	1.14	CDC6 cell division cycle 6 homologue (S. cerevisiae)	DNA replication
FEN1	49950	0.73	0.96	0.80x	1.08	0.68x	1.14	Flap structure-specific endonuclease 1	DNA replication
MCM2	358858	0.76	1.03	0.86	0.97	0.66	0.94	MCM2 minichromosome maintenance deficient 2 (S. cerevisiae)	DNA replication
MCM3	346838	0.75	0.98	0.62x	0.89	0.63x	0.97	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	DNA replication
MCM4	130204	0.70x	1	0.67x	1.02	0.95	1.03	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	DNA replication
MCM7	530696	0.67	1.04	0.96	1.17	0.66x	1.18	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	DNA replication
MYC	417226	0.70x	0.92	0.55x	0.87	0.88	0.93	v-Myc myelocytomatosis viral oncogene homologue (avian)	DNA replication
PCNA	344109	1.03	1.1	1.79x	1.75x	1.56	1.25	Proliferating cell nuclear antigen	DNA replication
POLE	321207	0.92	0.97	0.95	1.07	0.73	1.01	Polymerase e	DNA replication
RFC3	256260	0.96	1.11	0.91	1.04	0.67	1.17	Replication factor C3	DNA replication
RFC4	196676	0.78	1.04	0.92	1.1	0.60x	1.06	Replication factor C4	DNA replication
UNG	293111	0.66x	1.09	0.99	1.1	0.9	1.13	Uracil-DNA glycosylase (UDG)	DNA replication
CCNG1	321743	1.48x	1.16	1.78x	1.75x	1.45	1.35	Cyclin G1	Damage response/repair
CDKN1A	268652	1.75x	1.52x	3.07x	2.55x	2.95x	1.24x	Cyclin-dependent kinase inhibitor 1A (p21, CIP1, WAF1)	Damage response/repair
DDB2	209321	1.58x	1.33x	2.31x	1.96x	1.69x	0.98	Damage-specific DNA binding protein 2 (48 kDa)	Damage response/repair
GADD45A	310141	1.44x	1.12	1.80x	1.62x	1.15	1.03	Growth arrest and DNA-damage-inducible, a	Damage response/repair
PCNA	344109	1.03	1.1	1.79x	1.75x	1.56	1.25	Proliferating cell nuclear antigen	Damage response/repair
BAX	869511	1.58x	1.19	1.67x	1.68x	1.21	1.16	Bcl2-associated X protein	Apoptosis
CDKN1A	268652	1.75x	1.52x	3.07x	2.55x	2.95x	1.24x	Cyclin-dependent kinase inhibitor 1A (p21, CIP1, WAF1)	Apoptosis
FAS	151767	1.53x	1.25	1.79x	1.74x	1.57	1.21	TNF receptor superfamily, member 6 (APO1, TNFRSF6, CD95)	Apoptosis
TNFRSF10B	209683	1.17	1.43	1.63	1.6	1.71	0.98	TNF receptor superfamily, member 10b (DR5, TRAILR2)	Apoptosis
TRAF2	510375	0.97	1	1.06	1.06	0.71	1.08	TNF receptor – associated factor 2 (TRAP)	Apoptosis
GPX1	415495	1.32x	1.04	1.49	1.52	1.1	1.31	Glutathione peroxidase 1	Oxidation reduction/oxidative stress
GSTT1	310535	1.22x	1.11	1.03	1.05	1.01	0.97	Glutathione S-transferase h1	Oxidation reduction/oxidative stress
MGST1	292633	0.98	1.03	0.79x	0.9	0.96	0.92	Microsomal glutathione S-transferase 1	Oxidation reduction/oxidative stress
CAMKI	429057	1.17	1.33x	1.11	1	0.95	0.99	Calcium/calmodulin-dependent protein kinase I	Protein metabolism/modification/transport
CTSD	264117	1.39x	1.20x	1.93x	1.89x	1.2	1.11	Cathepsin D (lysosomal aspartyl peptidase)	Protein metabolism/modification/transport
KIT	270882	1.09	1.1	1.42	1	0.92	0.41	v-Kit Hardy-Zuckerman 4	Protein metabolism/modification/transport
KPNA2	339075	1.11	1.12	0.52x	0.8	0.84	1.02	Karyopherin a 2 (RAG cohort 1, importin a1)	Protein metabolism/modification/transport
MAP3K8	109940	1.01	1.07	1.08	1.57	0.99	0.89	Mitogen-activated protein kinase kinase kinase 8	Protein metabolism/modification/transport
MDM2	147075	1.4	1.29	2.15	1.52x	1.27	1.02	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)	Protein metabolism/modification/transport
PPEF1	50472	0.93	1.13	0.68x	1.06	1.02	0.81	Protein phosphatase, EF hand calcium-binding domain 1	Protein metabolism/modification/transport
RPGR	469680	1.05	1.22x	1.14	1.04	0.92	1.02	Retinitis pigmentosa GTPase regulator	Protein metabolism/modification/transport
RPL27A	509719	1.04	1.06	1.16	1.01	1.01	1.23x	Ribosomal protein L27a	Protein metabolism/modification/transport
RPS6KA1	376362	1.16	1.06	1.67	1.4	1.02	1.06	Ribosomal protein S6 kinase a1	Protein metabolism/modification/transport
RSP19	550131	1.21x	1.05	1.25	1.18	1.07	1.1	Ribosomal protein S19	Protein metabolism/modification/transport
CSTF3	417897	1.09	1.04	1.71	1.14	1.01	0.99	Cleavage stimulation factor, 3V pre-RNA, subunit 3	RNA metasolism and processing
DDX21	305307	0.78	0.95	0.68x	0.9	0.93	1.06	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 21	RNA metasolism and processing
SFRS7	487937	0.88	0.98	0.79x	1.07	0.9	1.06	Splicing factor, arginine/serine-rich 7 (35 kDa)	RNA metasolism and processing
CEBPD	82850	1	1.61x	0.85	0.96	1.06	1.03	CCAAT/enhancer binding protein (C/EBP), d	Transcription
CEBPG	612403	0.9	1.02	0.76x	0.91	0.89	0.96	CCAAT/enhancer binding protein (C/EBP), c	Transcription
ELF4	324210	0.87	0.98	0.77x	0.97	0.97	1.07	E74-like factor	Transcription
IRF1	323001	1.03	1.05	1.58	1.1	1	1.05	IFN regulatory factor 1	Transcription
MYC	417226	0.70x	0.92	0.55x	0.87	0.88	0.93	v-Myc myelocytomatosis viral oncogene homologue (avian)	Transcription
TCEB3	249348	0.92	1.06	1.09	0.96	1.09	0.44	Transcription elongation factor B(SIII), polypeptide 3 (110 kDa, elongin A)	Transcription
GCH1	259642	1.15	1.12	1.53	1.19	0.98	0.96	GTP cyclohydrolase 1	Transcription
LIF	153025	1.38	1.34	2.00x	1.15	1.12	0.87	Leukemia inhibitory factor (cholinergic differentiation factor)	Transcription
RAB3A	163579	0.94	1.52	0.77x	1.03	1.15	0.96	RAB3A, member RAS oncogene family, GTP-binding protein	Transcription
APBB3	279920	1.03	1.08	1.19	1.45	1.11	0.83	Amyloid b (A4) precursor protein-binding, family B, member 3	Signal transduction
EPS8	415605	1.05	1.20x	1.1	1.23	1.06	1.09	Epidermal growth factor receptor pathway substrate 8	Signal transduction
FGR	347751	1.20x	1.01	1.44	1.41	0.99	1.02	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homologue	Signal transduction
ITGA2	525246	1.44	1.17	1.03	0.99	1.44	0.96	Integrin subunit a-2	Signal transduction
ITPR2	128020	1.09	1.16	1.39	1.39	1.03	0.91	Inositol 1,4,5-triphosphate receptor, type 2	Signal transduction
LRP8	137995	0.97	1.20x	0.78	0.96	0.96	0.99	Low-density lipoprotein receptor – related protein 8, apolipoprotein E receptor	Signal transduction
MAP2K6	366420	1.14	1.24x	1.43	1.06	0.97	1.01	Mitogen-activated protein kinase kinase 6 (MKK6)	Signal transduction
PRKCB1	114378	0.95	1.05	0.77x	1.03	0.95	0.96	Protein kinase C, b1	Signal transduction
PTH	322051	0.77	1.04	0.95	1.06	0.95	0.95	Parathyroid hormone	Signal transduction
RAB33A	276508	0.98	0.98	0.71	0.9	1.06	1.02	RAB33A, member RAS oncogene family, GTP-binding protein	Signal transduction
TANK	470672	1.07	1.05	1.37	1.33	1	0.93	TRAF family member-associated nuclear factor-jB activator	Signal transduction
CD4	365647	0.99	0.9	1.16	2	1.09	1.1	CD4 antigen (p55)	Signal transduction
DAF	310800	1.26	1.14	1.06	1.12	1.07	0.57	Decay accelerating factor for complement (CD55, Cromer blood group system)	Signal transduction
EBI3	470012	1.08	0.99	1.28	1.11	1.05	1.01	EBV induced gene 3	Signal transduction
FCGR2A	36074	1.02	1.04	1.62	1.2	1	1	Fc fragment of IgG, low affinity IIa, receptor (CD32)	Signal transduction
IL1R1	138265	1.02	1.20x	0.89	0.91	0.88	1.12	Interleukin 1 receptor, type I	Signal transduction
IL6ST	249704	0.99	1.28	1.39	1.26	1.6	0.76x	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	Signal transduction
IRF1	323001	1.03	1.05	1.58	1.1	1	1.05	IFN regulatory factor 1	Signal transduction
LIF	153025	1.38	1.34	2.00x	1.15	1.12	0.87	Leukemia inhibitory factor (cholinergic differentiation factor)	Signal transduction
TAP1	489288	1.08	0.94	1.46	1.1	1.25	1.05	Transporter 1, ATP-binding cassette, subfamily B (MDR)	Signal transduction
TNFSF4	35326	1.21x	1.11	1.83x	1.68x	1.19	0.92	TNF ligand superfamily, member 4 (GP34, OX40L, CD134L)	Signal transduction
AKAP1	510182	0.95	1.02	0.75	0.88	0.94	0.94	A kinase (PRKA) anchor protein 1	Other
AMD1	328814	0.94	1.05	0.75x	0.86	0.89	1.27	S-adenosylmethionine decarboxylase	Other
CSF1	124554	1.12	1.12	1.69x	1.62x	1.02	1.02	Colony stimulating factor 1 (macrophage)	Other
CTGF	487513	1.14	1.92	1.29	0.91	1.1	0.41	Connective tissue growth factor	Other
E2IG3	261284	0.95	1.01	0.75x	0.9	0.95	1.04	Putative nucleotide binding protein, estradiol-induced	Other
EFEMP1	485875	1.3	2.03	0.99	0.9	0.99	0.44	EGF-containing fibulin-like extracellular matrix protein 1	Other
EST	366880	1.05	1.29x	1.03	1.01	1.02	1	EST	Other
EST	417285	1.12	1.32x	1.08	1.17	1.25	0.89	EST	Other
GFM2	48425	1.27x	1.39	1.46	1.28	1.2	1.03	G elongation factor, mitochondrial 2	Other
GPRP	530825	1.15	1.12	1.41	1.11	1.03	1.14	Glutathione peroxidase – related protein	Other
GUK1	470177	1.03	1.09	1.04	1.03	1.09	1.24x	Guanylate kinase 1	Other
HM74	123666	1.34x	2.02	1.67	1.09	1.37	0.92	Putative chemokine receptor; GTP-binding protein	Other
INSIG1	429092	0.97	1.08	0.77x	0.92	0.96	1	Insulin-induced gene 1	Other
KNG1	195723	1.04	1.1	0.74x	0.82	1.29	0.91	Kininogen 1	Other
LAMB1	509511	1.05	1.69	0.80x	0.9	1.09	1.12	Laminin, b1	Other
LBR	307225	0.95	1.02	0.60x	0.97	0.84	1.04	Lamin B receptor	Other
LMNB2	485332	0.86	0.95	0.94	0.9	0.71	1.09	Lamin B2	Other
LRPAP1	376088	1.01	1.77	1.62	1.14	0.97	0.83	Low-density lipoprotein receptor-related protein associated protein 1	Other
MLF2	486104	1.17	1.04	1.75	1.19	1.01	1.05	Myeloid leukemia factor 2	Other
ODC1	510487	0.85	0.93	0.65x	0.86	1.01	1.15	Ornithine decarboxylase 1	Other
