Probe set ID	Gene symbol	Gene name	P-value in t-test	Median expression value in PP patients	GP patients
1078_at	PRLR	prolactin receptor	0.0062	-10.1	-4.1
1091_at	PRKAR1B	protein kinase, cAMP-dependent, regulatory, type I, beta	0.0041	90.8	-47.8
112_g_at	TAF1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250 kD	0.0084	11	3
1207_at	CDK6	cyclin-dependent kinase 6	0.0034	217.8	138
1226_at	ADAM17	a disintegrin and metalloproteinase domain 17 (tumor necrosis factor, alpha, converting enzyme)	0.0032	9	25.5
123_at	PRKCM	protein kinase C, mu	0.005	25.1	7.7
1241_at	PTP4A2	protein tyrosine phosphatase type IVA, member 2	0.004	582.7	745.4
1461_at	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	0.008	1012.4	1738.7
1683_at	X69950	H.sapiens DNA sequence for Wilms tumor gene	0.0052	152.6	91.8
1705_s_at	LOC51036	retinoic acid receptor-beta associated open reading frame	0.0012	-9	14.9
178_f_at	U38964	Human PMS2 related (hPMSR2) gene	0.0067	112.3	82.8
1875_f_at	PMS2L3	postmeiotic segregation increased 2-like 3	0.0006	156.7	81
1985_s_at	NME1	non-metastatic cells 1, protein (NM23A) expressed in	0.0076	822.4	455.2
288_s_at	LBR	lamin B receptor	0.0088	222.6	430.3
290_s_at	X59932	Homo sapiens G protein-coupled receptor (GPR3) gene	0.0093	-23.9	75.7
31333_at	TLL1	tolloid-like 1	0.0092	13.5	2.1
31421_at	MYL4	myosin, light polypeptide 4, alkali; atrial, embryonic	0.0097	-5.6	4
31507_at	TNRC21	trinucleotide repeat containing 21	0.0058	-21.4	-2.8
31608_g_at		Homo sapiens VDAC1 pseudogene.	0.008	138.4	88.4
31783_at	RENBP	renin binding protein	0.0084	-30.2	-9.8
31853_at	EED	embryonic ectoderm development	0.0093	55.6	31.3
31873_at	ARD1	N-acetyltransferase, homolog of S. cerevisiae ARD1	0.0041	172.5	113.8
320_at	PEX6	peroxisomal biogenesis factor 6	0.0041	78.6	50.8
32314_g_at	TPM2	tropomyosin 2 (beta)	0.0034	57.5	7.5
32338_at	DKFZP564C152	DKFZP564C152 protein	0.0057	9.3	0.4
32488_at	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	0.0081	-8.3	-1.1
32654_g_at	SMAP	thyroid hormone receptor coactivating protein	0.0026	112.2	39.8
32675_at	BST1	bone marrow stromal cell antigen 1	0.003	70.5	219.6
