Symbol	Name	QTL chromosome	Mb,if on chromosome 18	Correlation	Gene function
Mcm4	Minichromosome maintenance deficient 4 homolog (Saccharomycescerevisiae)	14, 18	20-23	0.7545	DNA modification, packaging, or replication
Mcm3	Minichromosome maintenance deficient 3 (Scerevisiae)	9, 18	20-23	0.7284	DNA modification, packaging, or replication
Pcna	Proliferating cell nuclear antigen	18	20-23	0.8141	DNA modification, packaging, or replication
Prim1	DNA primase, p49 subunit	18	12-14, 20-25	0.7986	DNA modification, packaging, or replication
Hat1	Histone aminotransferase 1	11	—	0.7973	DNA modification, packaging, or replication
Recc1	Replication factor C 1	2	—	0.7911	DNA modification, packaging, or replication
Eed	Embryonic ectoderm development	18	47-50	0.7555	DNA modification, packaging, or replication
Pole2	Polymerase (DNA directed),   2 (p59 subunit)	18	20-23	0.751	DNA modification, packaging, or replication
Mcm2	Minichromosome maintenance deficient 2 mitotin (Scerevisiae)	14, 18	20-23	0.739	DNA modification, packaging, or replication
Rrm1	Ribonucleotide reductase M1	4	—	0.7359	DNA modification, packaging, or replication
Nap1l1	Nucleosome assembly protein 1-like 1	18	47-50	0.7294	DNA modification, packaging, or replication
Rpa3	Replication protein A3	18	17-20, 35-38	0.7239	DNA modification, packaging, or replication
H2afz	H2A histone family, member Z	18	12-14	0.7115	DNA modification, packaging, or replication
Setdb1	SET domain, bifurcated 1	6, 17	—	0.7102	DNA modification, packaging, or replication
Ahcy	S-adenosylhomocysteine hydrolase	11	—	0.6855	DNA modification, packaging, or replication
Dntt	Deoxynucleotidyltransferase, terminal	15	—	0.6851	DNA modification, packaging, or replication
Aurkb	Aurora kinase B	—	—	0.718	DNA modification, packaging, or replication
Top2a	Topoisomerase (DNA) II 	18	20-23	0.8733	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Smc2l1	SMC2 structural maintenance of chromosomes 2-like 1 (yeast)	—	—	0.8507	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Topbp1	Topoisomerase (DNA) II -binding protein	18	20-25	0.8497	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Mki67	Antigen identified by monoclonal antibody Ki 67	2, 18	20-23	0.837	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Tfdp1	Transcription factor Dp 1	7	—	0.8299	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Pole2	Polymerase (DNA directed),   2 (p59 subunit)	18	20-23	0.7986	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Ccnb2	Cyclin B2	13	—	0.7949	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Recc1	Replication factor C 1	2	—	0.7911	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Ect2	Ect2 oncogene	4	—	0.7879	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Gmnn	Geminin	18	14-23	0.7865	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Cdca5	Cell division cycle associated 5	2	—	0.764	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Prc1	Protein regulator of cytokinesis 1	5, 7	—	0.7584	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Nusap1	Nucleolar and spindle-associated protein 1	14, 18	35-38, 71-73	0.7584	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Mcm4	Minichromosome maintenance deficient 4 homolog (Scerevisiae)	14, 18	20-23	0.7545	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Ppp1cc	Protein phosphatase 1, catalytic subunit,  isoform	18	50-53	0.751	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Nek2	NIMA (never in mitosis gene a)-related expressed kinase 2	7	—	0.751	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Mad2l1	MAD2 (mitotic arrest deficient, homolog)-like 1 (yeast)	18	12-13, 35-38	0.7428	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Mcm2	Minichromosome maintenance deficient 2 mitotin (Scerevisiae)	14, 18	20-23	0.739	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Rrm1	Ribonucleotide reductase M1	4	—	0.7359	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Tacc3	Transforming, acidic coiled-coil-containing protein 3	18	12-14	0.7335	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Prim1	DNA primase, p49 subunit	18	12-14, 20-25	0.7321	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Pcna	Proliferating cell nuclear antigen	18	20-23	0.7321	Nuclear organization and biogenesis, cell cycle, and cytokinesis
Nap1l1	Nucleosome assembly protein 1-like 1	18	47-50	0.7294	Nuclear organization and biogenesis, cell cycle, and cytokinesis
