Gene symbol	Probe set	Fold change androgen-independent/androgen-dependent	ParametricP	Description	Map	Significant reference	Function
LMO2	204249_s_at	1.67	0.0011	LIM domain-only 2 (rhombotin-like 1)	11p13	49	Angiogenesis
VWF	202112_at	4.63	0.0014	von Willebrand factor	12p13.3	50	Angiogenesis
PECAM1	208982_at	2.62	0.0001	Platelet/endothelial cell adhesion molecule (CD31)	17q23	50	Angiogenesis
THSP1	201108_s_at	2.18	0.0038	Thrombospondin-1	15q15	51	Angiogenesis
EDG4	206723_s_at	0.57	0.0043	Endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 4	19p12	52	Angiogenesis
SDC2	212158_at	3.13	0.0008	Syndecan-2 (heparan sulfate proteoglycan-1, cell surface–associated, fibroglycan)	8q22-q23	53	Angiogenesis
TEK	206702_at	2.82	0.0015	Tyrosine kinase, endothelial	9p21	25	Angiogenesis
BPAG1	212254_s_at	2.78	0.0001	Bullous pemphigoid antigen 1, 230/240 kDa	6p12-p11	(39, 54)	Cell adhesion
CDH11	207173_x_at	3.1	0.0004	Cadherin-11, type 2, OB-cadherin (osteoblast)	16q22.1	38	Cell adhesion
FN1	211719_x_at	2.72	0.0007	Fibronectin-1	2q34	55	Cell adhesion
TRAF5	204352_at	1.85	0.0019	Tumor necrosis factor receptor-associated factor 5	1q32	56	Apoptosis/cell death
GRIM19	220864_s_at	0.21	0.002	Cell death–regulatory protein GRIM19	19p13.2	57	Apoptosis/cell death
NMP200	203103_s_at	0.45	0.0001	Nuclear matrix protein related to splicing factor PRP19	11q12.2	58	Apoptosis/cell death
MCL1	200797_s_at	0.48	0.0005	Myeloid cell leukemia sequence 1 (BCL2-related)	1q21	(59, 60)	Apoptosis/cell death
GADD45B	207574_s_at	0.26	0.0031	Growth arrest and DNA damage-inducible, ?	19p13.3	61	Apoptosis/cell death
GADD45G	204121_at	0.23	0.0001	Growth arrest and DNA damage-inducible, ?	9q22.1-q22.2	61	Apoptosis/cell death
REA	201600_at	0.67	0.0042	Repressor of estrogen receptor activity	12p13	62	Hormone response
KLK2	210339_s_at	0.53	0.0011	Kallikrein-2, prostatic	19q13.41	63	Hormone response
KLK3	204582_s_at	0.29	0.0006	Kallikrein-3 (prostate specific antigen)	19q13.41	63	Hormone response
GREB1	205862_at	0.18	0.0019	GREB1 protein	2p25.1	64	Hormone response
COX8	201119_s_at	0.57	0.0024	Cytochrome coxidase subunit VIII	11q12-q13	65	Oxidative stress
COX7C	217491_x_at	0.51	0.0041	Cytochrome coxidase subunit VIIc	5q14	65	Oxidative stress
SOD2	215078_at	0.11	0.0005	Superoxide dismutase-2, mitochondrial	6q25.3	(36, 37)	Oxidative stress
EIF4EL3	213571_s_at	0.73	0.0027	Eukaryotic translation initiation factor 4E-like 3	2q37.1	66	Metastasis
NOV	214321_at	3.8	0.0016	Nephroblastoma overexpressed gene	8q24.1	46	Prostate cancer associated
MIF	217871_s_at	0.58	0.0037	Macrophage migration inhibitory factor (glycosylation-inhibiting factor)	22q11.23	47	Prostate cancer associated
TACSTD2	202286_s_at	0.51	0.0049	Tumor-associated calcium signal transducer 2	1p32-p31	29	Prostate cancer associated
STAT5B	212550_at	0.71	0.0001	Signal transducer and activator of transcription 5B	17q11.2	29	Prostate cancer associated
