Accession no.	Gene symbol	Function	Fold difference in geometric means	F testP	Expression
X02751	HSNRASR	Oncogene	52.41	3.41E-07	Up-regulated
AI142565	RNASE6	Transcription	34.33	4.40E-07	Up-regulated
Y14737	IGHM	Immunity	27.78	0.000209	Up-regulated
J04130	Act-2 / MIP1b	Chemokine	16.43	1.28E-05	Up-regulated
M37766	MEM-102	B-cell activation	12.08	2.24E-05	Up-regulated
AB013382	DUSP6	Sinaling	11.37	0.000243	Up-regulated
U20350	V28	G protein-coupled receptor	11.03	0.000866	Up-regulated
U33147	MGB1	ECM	9.21	0.000391	Up-regulated
D90144	LD78	Chemokine/osteoclastogenic factor	6.79	2.16E-05	Up-regulated
AL040446	ORP1	Drug metabalism	6.38	0.000642	Up-regulated
D13265	MSR1	Macrophage scavenger receptor	6.31	4.15E-05	Up-regulated
AI660656	IGJ	Immunity	6.17	7.47E-05	Up-regulated
AB018278	SV2B	Synaptic vesicle transporter	5.77	0.000259	Up-regulated
X16354	BGPa / CEACAM1	Adhesion/angiogenesis	5.95	0.000253	Up-regulated
AL023653	XPNPEP2	ECM	5.57	0.000697	Up-regulated
M15059	IgE receptor	Immunity	5.5	8.44E-06	Up-regulated
AB020499	MD-1	B-cell activation	5.21	0.000214	Up-regulated
U04343	CD86	Costimulatory signal/immunity	5.2	2.16E-05	Up-regulated
M24594	IFIT1	Unknown	5.15	0.000881	Up-regulated
AI535946	LGALS1	Cell cycle inhibition	4.99	1.92E-05	Up-regulated
AF093265	homer-3	Calcium release	4.34	0.000621	Up-regulated
M32011	NSF2	Metabolism	4.23	0.000254	Up-regulated
X04011	CGD	Metabolism	3.96	2x10-4	Up-regulated
NP_001060	Tubulin beta	Cytoskeleton	3.87	0.000952	Up-regulated
M21121	RANTES	Chemokine/immunity	3.8	0.000289	Up-regulated
AB023180	KIAA0963	Unknown	9.08	0.000675	Down-regulated
AB017430	KNSL4	Mitosis	8.31	0.000264	Down-regulated
L41668	Gale	Metabolism	7.75	4.33E-05	Down-regulated
AI391564	PTP4A3	Signaling	7.38	0.000179	Down-regulated
M80397	POLD1	DNA replication	7.36	0.000337	Down-regulated
AF091754	EXO1	DNA repair	5.24	6.93E-05	Down-regulated
M25753	cyclin B1	Cell cycle	4.85	0.000496	Down-regulated
U73379	E2C	Ubiquination	4.63	2.78E-05	Down-regulated
U77949	CDC6	Cell cycle control	4.55	1.89E-05	Down-regulated
X62048	WEE1	Cell cycle control	4.31	0.000138	Down-regulated
L25876	CDKN3	Cell cycle control	4.27	2.54E-05	Down-regulated
U77845	hTRIP	Signaling	4.15	0.000402	Down-regulated
U05340	CDC20	Cell cycle control	4.13	0	Down-regulated
M34065	CDC25C	Cell cycle	4.09	0.0000294	Down-regulated
X13293	B-myb	Oncogene	4.06	3.81E-06	Down-regulated
AF025441	OIP5	Adhesion/invasion	4.02	0.000414	Down-regulated
U14518	CENPA	Cell division	4	0.000269	Down-regulated
U74612	FKHL16	Transcription factor	3.91	6.59E-05	Down-regulated
U63743	KNSL6	Mitosis	3.89	0.000552	Down-regulated
AL080146	cyclin B2	Cell cycle	3.88	0.000243	Down-regulated
D38073	MCM3	DNA replication	3.77	0.000107	Down-regulated
AF053306	BUB3	Cell cycle control	3.77	3.52E-06	Down-regulated
X65550	MK167	Cell cycle	3.76	0.000159	Down-regulated
X05360	CDC2	Cell cycle	3.75	0	Down-regulated
N58115	AD024	Unknown	3.75	0.000115	Down-regulated
