Gene	Description	Score	Fold-change	Classification
Sephs2	selenophosphate synthase 2	2.68	3.7	Metabolism
TC527743	mus-musculus 16 days embryo head cDNA	2.644	14.1	Gene/proteine expression
Cyp8b1	cytochrome P450 family 8, subfamily b, polypeptide1	2.554	8.1	Metabolism
Papd4	PAP associated domain containing 4	2.411	11.9	Gene/proteine expression
TC525459	Q7RYV7 predicted protein	2.355	9.2	Gene/proteine expression
Stk23	serine/threonine kinase 23	2.332	18.2	Signaling/Communication
Gtf2e1	general transciption factor IIE, polypetide 1	2.283	2.1	Gene/proteine expression
Reg1	regenerating islet-derived 1	2.254	6.6	Signaling/Communication
St14	supression of tumogenicity 14	2.159	7.5	Cell defense
Mep1a	meprin 1 alpha	2.156	11.6	Gene/proteine expression
XM_343611	similar to nuclear autoantigen Sp-100	2.154	2.7	Cell defense
Znrf1	zinc and ring finger 1	2.137	10.9	Gene/proteine expression
Arl11	ADP-ribosylation factor-like 11	2.101	2.3	Signaling/Communication
TC561804	collagen protein 50, partial o01662	2.08	3	Cell structure/Motility
Glrb	glycine receptor, beta subunit	2.069	11.2	Signaling/Communication
Gjb1	gap junction membrane chanel protein beta 1	2.053	3.6	Cell structure/Motility
Sh3glb1	SH3-domaine GRB2-like B1	2.049	7.9	Signaling/Communication
Stx7	syntaxin 7	1.995	8.8	Signaling/Communication
LOC497703	hypothetical protein	1.993	2.5	unclassified
Cdh1	cadherin 1	1.982	2.9	Signaling/Communication
Dmxl1	dmx-like 1	1.945	1.9	unclassified
LOC313672	similar to CG11206-PA	1.941	6.6	Gene/proteine expression
Olr726	olfactory receptor 726	1.941	9.1	Signaling/Communication
LOC305452	hypothetical protein	1.92	4.9	unclassified
Tyrobp	tyro protein tyrosine kinase binding protein	1.891	4.3	Signaling/Communication
RGD1311805	similar to RIKEN cDNA 2400010D15	1.883	5.2	unclassified
TC519817	extensin like protein, partial	1.879	3.5	Cell structure/Motility
Cyp4f4	cytochrome P450 family 4, subfamily f, polypeptide4	1.874	2.6	Metabolism
Mdk	midkine	1.857	7	Signaling/Communication
Coq3	coenzyme Q3 homolog, methyltransferase	1.854	4.3	Metabolism
Nr1h4	nuclear receptor subfamily 1, groupe h, member 4	1.839	4.6	Signaling/Communication
XM_232197	fibulin 2 (Fbln2)	1.834	2.9	Cell structure/Motility
Cyb561	cytochrome b-561	1.828	3	Metabolism
Sf4	spilcing factor 4	1.825	6.1	Gene/proteine expression
TC539680	odorant binding protein 2 precursor, partial	1.824	5	Gene/proteine expression
Tfec	transcription factor EC	1.815	6	Gene/proteine expression
Six3	sine oculis homeobox homolog 3	1.813	8.3	Gene/proteine expression
LOC299707	similar to RIKEN cDNA 2900091E11	1.807	5.2	unclassified
TC539966	Protocadherin beta 9, partial (14%)	1.806	7.5	Signaling/Communication
Pcdh18	protocadherin 18	1.792	2.4	Signaling/Communication
Cyp4f2	cytochrome P450, family 4, subfamily f, polypetide 2	1.782	2	Metabolism
Adcy4	adenylate cyclase 4	1.776	10.1	Gene/proteine expression
Tm6sf1	transmembrane 6 superfamily member 1	1.775	3.3	unclassified
BC086428	catalytic subunit of DNA polymerase zeta RAD54 like	1.762	4.2	Cell division
Cckbr	cholecystokinin B receptor	1.761	4.1	Signaling/Communication
Olr1077	olfactory receptor 1066	1.761	6.1	Signaling/Communication
BX883044	major histocompatibility complex	1.761	4.8	Cell defense
RGD1310571	similar to hypothetical protein	1.76	7.5	unclassified
Rshl2	radial spokehead-like 2	1.759	4.2	unclassified
LOC287881	similar to phosphatase 1, myosin binding subunit	1.75	6.4	Cell structure/Motility
Cnnm4	cyclin M4	1.742	3.4	Cell division
TC551080	jumping translocation breakpoint protein precursor	1.742	2.9	Gene/proteine expression
XM_223397	similar to hypothetical protein	1.741	5.8	unclassified
XM_343799	similar to sorting nexin 12	1.727	9.5	unclassified
XM_341491	similar to Rxrip110 protein	1.721	7.8	unclassified
Gp2	glycoprotein 2	1.712	7.8	Cell structure/Motility
LOC363517	similar to plexin B3 precursor	1.709	1.5	Gene/proteine expression
XM_215080	similar to RIKEN cDNA 3230401O13	1.709	2	unclassified
LOC367235	similar to KIAA1411 protein	1.708	4.9	unclassified
LOC500133	similar to caspase recruitment domain protein 4	1.703	5.6	Cell division
Faim2	fas apoptotic inhibitory molecule 2	1.702	3.9	Cell division
Znf297	zinc finger protein 297	1.698	5.6	Gene/proteine expression
Tcp11	T complex 11	-3.13	0.3	Cell defense
LOC294930	similar to arylacetamide deacetylase	-3.057	0.1	Metabolism
LOC363931	similar to pseudoautosomal GTP-binding protein	-2.82	0.2	Gene/proteine expression
TC525105	PmbA family protein, partial	-2.404	0.3	Gene/proteine expression
Lrrn6a	leucine rich repeat neuronal 6A	-2.393	0.3	unclassified
Mapkbp1	mitogen activated protein kinase binding protein 1	-2.389	0.2	Signaling/Communication
Gpr54	G protein-coupled receptor 54	-2.352	0.4	Signaling/Communication
Bad	Bcl2-associated death promoter	-2.32	0.5	Cell division
Os-9	amplified in osteosarcoma	-2.315	0.5	Gene/proteine expression
Gsdmdc1	gasdermin domain containing 1	-2.221	0.3	unclassified
P2rx2	purinergic receptor P2X	-2.198	0.3	Signaling/Communication
Clcn6	chloride channel 6	-2.177	0.4	Cell structure/Motility
Taf5l	TAF 5-like RNA polymerase II	-2.169	0.3	Gene/proteine expression
LOC306622	hypothetical protein	-2.166	0.2	unclassified
Mtvr2	mammary tumor virus receptor 2	-2.12	0.4	Signaling/Communication
Rpl41	ribosomal protein L41	-2.118	0.7	Gene/proteine expression
P4ha2	procollagen-proline, 2-oxoglutarate 4-dioxygenase, alphaII polypeptide	-2.108	0.4	Cell structure/Motility
Aip	aryl-hydrocarbon receptor	-2.1	0.5	Signaling/Communication
MGC94635	putative secreted protein ZSIG11	-2.082	0.5	unclassified
Cad	carbamoyl-phosphate synthetase 2	-2.064	0.5	Metabolism
Arf5	ADP rybosylation factor 5	-2.056	0.2	Gene/proteine expression
Rps6ka2	ribosomal protein S6 kinase polypeptide 2	-2.048	0.4	Gene/proteine expression
Tbx2	T-box 2	-2.042	0.4	Gene/proteine expression
Zc3hdc5	zinc finger CCCH type domain containing 5	-2.021	0.4	Gene/proteine expression
Psd	pleckstrin and sec7 domain containing	-2.018	0.5	Gene/proteine expression
Crygd	crystallin gammaD	-2.017	0.5	Cell structure/Motility
XM_217744	similar to putative K-chloride cotransporter 4	-2.008	0.2	Signaling/Communication
A2m	alpha-2 macroglobulin	-2.005	0.3	Gene/proteine expression
BX883046	major histocompatibility complex	-1.992	0.4	Cell defense
D28966	mRNA for prostacyclin receptor	-1.99	0.5	Signaling/Communication
AI233699	EST	-1.987	0.6	unclassified
Mog	myelin oligodendrocyte glycoprotein	-1.986	0.4	Cell structure/Motility
Bat2	HLA-B associated transcript 2	-1.964	0.4	Cell defense
Ssh3	slingshot homolog 3	-1.96	0.3	Gene/proteine expression
Pdrp	PDRP protein	-1.959	0.5	unclassified
Per1	period homolog 1	-1.946	0.2	Gene/proteine expression
Sepw1	selenoprotein W, muscle 1	-1.946	0.3	Cell defense
Ppp3cb	protein phosphatase 3	-1.944	0.4	Signaling/Communication
Evl	enabled vasodilator stimulated phosphoprotein	-1.927	0.5	Cell structure/Motility
LOC303039	similar to KIAA0869 protein	-1.924	0.4	unclassified
Ppt2	palmitoyl protein thioesterase 2	-1.924	0.3	Signaling/Communication
Pnldc1	poly(A)-specific ribonuclease-like domain containing 1	-1.919	0.4	Gene/proteine expression
RGD1306222	similar to 1810034B16 RIK protein	-1.917	0.5	unclassified
RGD1310143	similar to RIKEN cDNA DO30028016	-1.915	0.4	unclassified
Creb3l2	cAMP responsive element binding protein 3-like2	-1.904	0.5	Gene/proteine expression
Usp20	ubiquitin specific protease 20	-1.902	0.5	Gene/proteine expression
LOC290300	similar to tumor necrosis factor receptor superfamily, member 19 isoform 2 precursor	-1.896	0.3	Signaling/Communication
XM_238549	similar to cytoskeletal protein 49	-1.889	0.4	Cell structure/Motility
Gfra2	glial cell line derived neutrophic factor family receptor alpha2	-1.885	0.7	Signaling/Communication
Dcamkl1	double cortin and calcium/calmodulin-dependent protein kinase-like1	-1.88	0.3	Cell structure/Motility
Gripap1	GRIP1 associated protein	-1.873	0.4	Metabolism
Ckap4	cytoskeleteon-associated protein 4	-1.86	0.3	Cell structure/Motility
Creld1	cysteine-rich with EGF-like domains 1	-1.86	0.5	unclassified
C12orf10	MYG1 protein	-1.86	0.6	unclassified
Ril	reversion-induced LIM (RIL) protein	-1.855	0.6	Signaling/Communication
Wars	tryptophanyl-tRNA synthetase	-1.854	0.1	Gene/proteine expression
Pgbd5	piggybac transposable element derived 5	-1.845	0.6	unclassified
