Probe Set ID (U133A)	Gene Title	Fold Change	q-value (%)	Gene Symbol
201170_s_at	basic helix-loop-helix domain containing, class B, 2	2.10	1.25	BHLHB2
201505_at	laminin, beta 1	2.54	1.25	LAMB1
201743_at	CD14 antigen	2.16	1.25	CD14
201852_x_at	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	2.45	1.25	COL3A1
201858_s_at	proteoglycan 1, secretory granule	2.02	1.25	PRG1
202207_at	ADP-ribosylation factor-like 7	2.00	1.25	ARL7
202310_s_at	collagen, type I, alpha 1	2.84	1.25	COL1A1
202404_s_at	collagen, type I, alpha 2	2.36	1.25	COL1A2
202856_s_at	solute carrier family 16 (monocarboxylic acid transporters), member 3	2.17	1.25	SLC16A3
202859_x_at	interleukin 8	2.05	1.25	IL8
202912_at	adrenomedullin	4.06	1.25	ADM
202917_s_at	S100 calcium binding protein A8 (calgranulin A)	2.88	1.25	S100A8
202998_s_at	lysyl oxidase-like 2	2.08	3.18	LOXL2
203698_s_at	frizzled-related protein	2.35	6.82	FRZB
203789_s_at	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	2.21	6.82	SEMA3C
204073_s_at	chromosome 11 open reading frame 9	0.41	1.25	C11orf9
204260_at	chromogranin B (secretogranin 1)	0.48	1.25	CHGB
204378_at	breast carcinoma amplified sequence 1	0.46	1.25	BCAS1
204621_s_at	nuclear receptor subfamily 4, group A, member 2	2.21	1.25	NR4A2
204622_x_at	nuclear receptor subfamily 4, group A, member 2	2.03	1.25	NR4A2
204677_at	cadherin 5, type 2, VE-cadherin (vascular epithelium)	2.03	5.11	CDH5
204748_at	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	2.04	3.18	PTGS2
204851_s_at	doublecortex; lissencephaly, X-linked (doublecortin)	0.46	1.25	DCX
205479_s_at	plasminogen activator, urokinase	2.87	2.33	PLAU
205625_s_at	calbindin 1, 28kDa	0.45	5.11	CALB1
206115_at	early growth response 3	2.04	3.18	EGR3
206140_at	LIM homeobox 2	3.90	6.82	LHX2
206190_at	G protein-coupled receptor 17	0.42	1.25	GPR17
206359_at	suppressor of cytokine signaling 3	2.44	1.25	SOCS3
206622_at	thyrotropin-releasing hormone	0.48	1.25	TRH
206785_s_at	killer cell lectin-like receptor subfamily C, member 1	0.44	1.25	KLRC1
206862_at	zinc finger protein 254	0.26	5.11	ZNF539
207144_s_at	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 1	2.29	3.18	CITED1
207323_s_at	myelin basic protein	0.38	1.25	MBP
207574_s_at	growth arrest and DNA-damage-inducible, beta	2.45	1.25	GADD45B
208394_x_at	endothelial cell-specific molecule 1	2.47	1.25	ESM1
209072_at	myelin basic protein	0.20	1.25	MBP
209101_at	connective tissue growth factor	2.03	1.25	CTGF
209183_s_at	decidual protein induced by progesterone	2.26	2.33	C10orf10
209304_x_at	growth arrest and DNA-damage-inducible, beta	2.66	1.25	GADD45B
209305_s_at	growth arrest and DNA-damage-inducible, beta	2.59	1.25	GADD45B
209642_at	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	2.05	3.18	BUB1
209803_s_at	tumor suppressing subtransferable candidate 3	2.31	1.25	PHLDA2
209875_s_at	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	2.28	1.25	SPP1
210016_at	myelin transcription factor 1-like	0.49	1.25	MYT1L
210033_s_at	sperm associated antigen 6	2.35	9.31	SPAG6
210095_s_at	insulin-like growth factor binding protein 3	2.33	1.25	IGFBP3
210198_s_at	proteolipid protein 1 (Pelizaeus-Merzbacher disease, spastic paraplegia 2, uncomplicated)	0.46	1.25	PLP1
210495_x_at	fibronectin 1	2.19	1.25	FN1
210512_s_at	vascular endothelial growth factor	2.71	1.25	VEGF
210809_s_at	osteoblast specific factor 2 (fasciclin I-like)	3.40	1.25	POSTN
211161_s_at	gb:AF130082.1 /DEF=Homo sapiens clone FLC1492 PRO3121 mRNA, complete cds. /FEA=mRNA /PROD=PRO3121 /DB_XREF=gi:11493468 /UG=Hs.119571 collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant) /FL=gb:AF130082.1	2.92	1.25	---
211424_x_at	DKFZP586A0522 protein	0.37	2.33	DKFZP586A0522
211527_x_at	vascular endothelial growth factor	3.15	1.25	VEGF
211651_s_at	laminin, beta 1	2.39	1.25	LAMB1
211685_s_at	neurocalcin delta	0.48	1.25	NCALD
211719_x_at	fibronectin 1	2.41	1.25	FN1
211964_at	collagen, type IV, alpha 2	2.21	1.25	COL4A2
211966_at	collagen, type IV, alpha 2	2.06	1.25	COL4A2
211980_at	collagen, type IV, alpha 1	2.50	1.25	COL4A1
211981_at	collagen, type IV, alpha 1	2.14	1.25	COL4A1
212110_at	KIAA0062 protein	2.17	1.25	SLC39A14
212143_s_at	Insulin-like growth factor binding protein 3 {3 region} [human, tuberous sclerosis cells, mRNA Partial, 704 nt]	2.22	1.25	IGFBP3
212171_x_at	vascular endothelial growth factor	2.78	1.25	VEGF
212464_s_at	fibronectin 1	2.24	1.25	FN1
212664_at	tubulin, beta, 5	0.46	1.25	TUBB5
212724_at	ras homolog gene family, member E	2.49	2.33	ARHE
212999_x_at	major histocompatibility complex, class II, DQ beta 1	2.05	3.18	HLA-DQB1
213479_at	neuronal pentraxin II	3.03	1.25	NPTX2
214797_s_at	PCTAIRE protein kinase 3	0.46	1.25	PCTK3
214836_x_at	similar to [Human Ig rearranged gamma chain mRNA, V-J-C region and complete cds.], gene product	2.91	9.31	---
215076_s_at	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	2.36	1.25	COL3A1
215225_s_at	G protein-coupled receptor 17	0.32	1.25	GPR17
216248_s_at	nuclear receptor subfamily 4, group A, member 2	2.03	1.25	NR4A2
216442_x_at	similar to hypothetical protein FLJ20958	2.27	1.25	FN1
217523_at	CD44 antigen (homing function and Indian blood group system)	2.10	1.25	CD44
218542_at	chromosome 10 open reading frame 3	5.66	3.18	C10orf3
218623_at	HMP19 protein	0.44	1.25	HMP19
219429_at	fatty acid hydroxylase domain containing 1	0.38	1.25	FA2H
219732_at	hypothetical protein FLJ20300	0.49	1.25	PRG-3
219949_at	leucine-rich repeat-containing 2	2.03	6.82	LRRC2
220088_at	complement component 5 receptor 1 (C5a ligand)	2.31	1.25	C5R1
220269_at	hypothetical protein FLJ23049	2.28	9.31	FLJ23049
220491_at	hepcidin antimicrobial peptide	2.68	1.25	HAMP
221491_x_at	major histocompatibility complex, class II, DR beta 3	2.49	2.33	HLA-DRB3
222008_at	collagen, type IX, alpha 1	0.50	1.25	COL9A1
222161_at	N-acetylated alpha-linked acidic dipeptidase 2	0.49	1.25	NAALAD2
41577_at	protein phosphatase 1, regulatory (inhibitor) subunit 16B	0.49	1.25	PPP1R16B
60474_at	chromosome 20 open reading frame 42	0.48	1.25	C20orf42
