Probe Set	GenBank	Symbol	CB-derived MCs	PB-derived MCs	Lung-derived MCs	Ratio 1 (C versus P)	Ratio 2 (C versus P)	Ratio 3 (C versus P)	Ratio 4 (C versus P)	p-Value
219922_s_at	NM_021070.1	LTBP3	0.32	3.88	3.26	0.08	0.1	1.19	0.09	0.004
214464_at	NM_003607.1	CDC42BPA	0.55	6.32	5.52	0.09	0.1	1.14	0.09	0.008
222134_at	AL050350	DDO	0.17	1.07	1.97	0.16	0.09	0.54	0.11	0.028
203619_s_at	NM_012306.1	FAIM2	0.94	5.7	10.88	0.17	0.86	0.52	0.11	0.004
210324_at	M17263.1	C8G	0.77	8.63	4.44	0.09	0.17	1.94	0.12	0.008
219557_s_at	NM_020645.1	NRIP3	2.95	22.6	26.37	0.13	0.11	0.86	0.12	0.008
214156_at	AL050090.1	MYRIP	1.28	6.17	14.53	0.21	0.09	0.43	0.12	0.008
211734_s_at	BC005912.1	FCER1A	6.05	46.9	47.01	0.13	0.13	1	0.13	0.004
203854_at	NM_000204.1	IF	0.75	4.77	6.51	0.16	0.12	0.73	0.13	0.048
213229_at	BF590131	DICER1	2.82	17.73	22.63	0.16	0.12	0.78	0.14	0.008
202082_s_at	NM_003003.1	SEC14L1	0.53	4.39	2.68	0.12	0.21	1.68	0.15	0.028
202191_s_at	NM_005890.1	GAS7	1.95	11.76	13.75	0.17	0.14	0.86	0.15	0.016
210549_s_at	U58913.1	CCL23	0.66	4.43	4.05	0.15	0.16	1.1	0.16	0.048
204048_s_at	NM_014721.1	C6orf56	2.28	13.95	14.69	0.16	0.16	0.95	0.16	0.004
218857_s_at	NM_025080.1	ASRGL1	2.29	14.97	13.79	0.15	0.17	1.09	0.16	0.004
