Locus LinkID	Accession number	Gene symbol	Sequence Description	Fold change	p-value(FDR)
6347	NM_002982	CCL2	chemokine (C-C motif) ligand 2 (CCL2)	-15.41	6.70E-42
7123	NM_003278	TNA	tetranectin (plasminogen binding protein) (TNA)	-8.34	2.50E-13
1282	NM_001845	COL4A1	collagen, type IV, alpha 1 (COL4A1)	-7.83	6.70E-42
7057	NM_003246	THBS1	thrombospondin 1 (THBS1)	-7.81	6.70E-42
5054	M16006	SERPINE1	plasminogen activator inhibitor-1 (PAI-1) mRNA, complete cds.	-7.38	6.70E-42
7368	AL137342	UGT8	mRNA; cDNA DKFZp761G1111 (from clone DKFZp761G1111).	-6.68	2.20E-08
1906	NM_001955	EDN1	endothelin 1 (EDN1)	-5.33	1.30E-37
64399	AY009951	HHIP	hedgehog-interacting protein mRNA, complete cds.	-4.7	3.20E-34
22918	NM_012072	C1QR1	complement component 1, q subcomponent, receptor 1 (C1QR1)	-4.37	3.50E-24
1848	NM_001946	DUSP6	dual specificity phosphatase 6 (DUSP6), transcript variant 1	-4.25	6.70E-42
131583	AF147314	FAM43A	full length insert cDNA clone YA84H07.	-4.04	5.80E-11
7980	NM_006528	TFPI2	tissue factor pathway inhibitor 2 (TFPI2)	-3.96	4.10E-03
285580	AF131822	FLJ90723	clone 24905 mRNA sequence.	-3.75	1.50E-40
367	L29496	AR	androgen receptor mRNA, complete cds.	-3.68	5.70E-03
NA	AL117595	NA	mRNA; cDNA DKFZp564C2063 (from clone DKFZp564C2063).	-3.59	2.50E-41
23768	NM_013231	FLRT2	fibronectin leucine rich transmembrane protein 2 (FLRT2)	-3.57	9.20E-24
81567	AK025006	TXNDC5	cDNA: FLJ21353 fis, clone COL02771.	-3.53	4.30E-14
2791	NM_004126	GNG11	guanine nucleotide binding protein (G protein), gamma 11 (GNG11)	-3.39	6.70E-42
2171	NM_001444	FABP5	fatty acid binding protein 5 (psoriasis-associated) (FABP5)	-3.37	3.20E-29
9976	NM_005127	CLECSF2	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 2 (activation-induced) (CLE	-3.2	2.80E-07
5898	NM_005402	RALA	v-ral simian leukemia viral oncogene homolog A (ras related) (RALA)	-3.14	1.40E-35
3399	D28449	ID3	mRNA for helix-loop-helix protein 1R21, 5UTR (sequence from the 5cap to the start codon).	-3.06	2.50E-20
388	D16875	RHOB	HepG2 3 region cDNA, clone hmd1f06.	-3.03	1.20E-27
10409	NM_006317	BASP1	brain abundant, membrane attached signal protein 1 (BASP1)	-3.02	1.30E-07
5881	NM_005052	RAC3	ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3) (RAC3)	-2.96	7.40E-11
79705	AK026772	LRRK1	cDNA: FLJ23119 fis, clone LNG07978.	-2.95	7.70E-15
1636	S81361	ACE	angiotensin I-converting enzyme [, gastric HGT-1 cell line, mRNA Partial, 405 nt].	-2.95	2.20E-27
2798	NM_000406	GNRHR	gonadotropin-releasing hormone receptor (GNRHR)	-2.91	2.20E-14
57509	AB033114	MTUS1	mRNA for KIAA1288 protein, partial cds.	-2.9	2.40E-24
3576	M17017	IL8	beta-thromboglobulin-like protein mRNA, complete cds.	-2.9	1.40E-10
51705	NM_016242	EMCN	endomucin (EMCN)	-2.84	1.30E-08
1490	NM_001901	CTGF	connective tissue growth factor (CTGF)	-2.83	2.90E-21
7289	NM_003324	TULP3	tubby like protein 3 (TULP3)	-2.82	6.20E-13
NA	NM_014102	NA	NA	-2.81	2.50E-11
27122	NM_013253	DKK3	dickkopf homolog 3 (Xenopus laevis) (DKK3)	-2.79	1.80E-09
29798	NM_013310	C2orf27	hypothetical protein AF038169 (AF038169)	-2.79	6.70E-42
9454	NM_004838	HOMER3	homer homolog 3 (Drosophila) (HOMER3)	-2.79	2.10E-20
5157	NM_006207	PDGFRL	platelet-derived growth factor receptor-like (PDGFRL)	-2.78	2.70E-09
161198	AF161403	C14orf27	HSPC285 mRNA, partial cds.	-2.74	1.90E-27
NA	AF147305	NA	full length insert cDNA clone YA80A03.	-2.72	1.40E-11
10587	NM_006440	TXNRD2	thioredoxin reductase 2 (TXNRD2), nuclear gene encoding mitochondrial protein, transcript variant 1	-2.72	1.80E-12
27	AK025877	ABL2	cDNA: FLJ22224 fis, clone HRC01703.	-2.71	9.00E-14
652	NM_001202	BMP4	bone morphogenetic protein 4 (BMP4), transcript variant 1	-2.69	1.90E-12
64943	AF131781	FLJ12442	clone 24901 mRNA sequence, complete cds.	-2.66	1.70E-24
23308	AF289028	ICOSLG	transmembrane protein B7-H2 ICOS ligand mRNA, complete cds.	-2.66	6.00E-16
