Probes	Probe description	Glass	BSA	Ln	Fn	ColIV	Normal (N=15)a	Ta (N=25)a	T2–4 (N=21)a	Probe description
221731_x_at	Chondroitin sulfate proteoglycan 2 (versican)	0b	0	1b	1	1	158c	330	807	Matrix-dependent probes (laminin, fibronectin and collagen IV)
204620_s_at	Chondroitin sulfate proteoglycan 2 (versican)	0	0	1	1	1	234	448	1061	Matrix-dependent probes (laminin, fibronectin and collagen IV)
202237_at	Nicotinamide N-methyltransferase (NNMT)	0	0	0	1	1	187	129	453	Matrix-dependent probes (laminin, fibronectin and collagen IV)
209173_at	Putative secreted protein XAG mRNA	0	0	0	1	1	863	1076	630	Matrix-dependent probes (laminin, fibronectin and collagen IV)
202668_at	Ephrin-B2	0	0	0	1	1	118	186	401	Matrix-dependent probes (laminin, fibronectin and collagen IV)
202016_at	Mesoderm specific transcript (mouse) homolog (MEST)	0	0	0	1	1	86	288	401	Matrix-dependent probes (laminin, fibronectin and collagen IV)
202628_s_at	Plasminogen activator inhibitor type 1	0	0	1	0	0	133	84	228	Matrix-dependent probes (laminin, fibronectin and collagen IV)
210495_x_at	Fibronectin 1	0	0	0	1	0	1299	903	2908	Matrix-dependent probes (laminin, fibronectin and collagen IV)
204470_at	GRO1 oncogene (melanoma growth-stimulating activity, a)	0	0	0	1	0	66	69	132	Matrix-dependent probes (laminin, fibronectin and collagen IV)
201842_s_at	EGF-containing fibulin-like extracellular matrix protein 1	0	0	0	0	1	210	234	234	Matrix-dependent probes (laminin, fibronectin and collagen IV)
205157_s_at	Keratin 17 (KRT17)	0	0	0	0	1	406	538	1871	Matrix-dependent probes (laminin, fibronectin and collagen IV)
209386_at	Transmembrane 4 superfamily member 1	0	0	0	0	1	323	181	501	Matrix-dependent probes (laminin, fibronectin and collagen IV)
212992_at	CLONE ¼&#3;IMAGE:2464769	0	0	0	0	1	66	54	217	Matrix-dependent probes (laminin, fibronectin and collagen IV)
209699_x_at	Dihydrodiol dehydrogenase mRNA	0	0	0	0	1	1668	2566	1226	Matrix-dependent probes (laminin, fibronectin and collagen IV)
204151_x_at	Aldo-keto reductase family 1, member C1 (AKR1C1)	0	0	0	0	1	1983	3067	1399	Matrix-dependent probes (laminin, fibronectin and collagen IV)
216594_x_at	Chlordecone reductase homolog (clone HAKRc)	0	0	0	0	1	1554	2562	1115	Matrix-dependent probes (laminin, fibronectin and collagen IV)
200600_at	Moesin (MSN)	0	0	0	0	1	173	169	258	Matrix-dependent probes (laminin, fibronectin and collagen IV)
217762_s_at	RAB31, member RAS oncogene family	0	0	0	0	1	219	212	468	Matrix-dependent probes (laminin, fibronectin and collagen IV)
201130_s_at	E-Cadherin	0	0	0	0	1	53	134	76	Matrix-dependent probes (laminin, fibronectin and collagen IV)
206595_at	Cystatin EM (CST6)	0	0	0	0	1	34	43	178	Matrix-dependent probes (laminin, fibronectin and collagen IV)
212859_x_at	Metallothionein 1E (MT1E)	1	1	0	0	0	863	1076	1630	Matrix-independent probes (BSA and glass)
212464_s_at	Fibronectin 1	1	0	0	0	0	1100	788	2865	Matrix-independent probes (BSA and glass)
208791_at	Clusterin (testosterone-repressed prostate message 2)	1	0	0	0	0	848	457	292	Matrix-independent probes (BSA and glass)
202609_at	Epidermal growth factor receptor pathway substrate 8 (EPS8)	0	1	0	0	0	324	568	319	Matrix-independent probes (BSA and glass)
