Column ID	Fold-Change (EXP vs. CTRL)	p-value (EXP vs. CTRL)	Gene Symbol	RefSeq Transcript ID
1457769_at	6.53	0.0004729	H60a	NM_010400
1423259_at	4.08	0.0005778	Id4 /// LOC100045546	NM_031166 /// XM_001474498
1450928_at	3.93	0.000304	LOC100045546	XM_001474498
1436448_a_at	3.21	0.0021274	Ptgs1	NM_008969
1438441_at	2.99	0.0019079	Id4	NM_031166
1423260_at	2.64	0.0144621	Id4 /// LOC100045546	NM_031166 /// XM_001474498
1423414_at	2.6	0.0035688	Ptgs1	NM_008969
1417956_at	2.6	0.0104396	Cidea	NM_007702
1418754_at	2.58	0.0063066	Adcy8	NM_009623
1422346_at	2.53	0.0011297	Nkx2-1	NM_009385
1437687_x_at	2.53	0.0039867	Fkbp9	NM_012056
1452114_s_at	2.41	0.0269625	Igfbp5	NM_010518
1440145_at	2.3	0.0192772	H60a	NM_010400
1424270_at	2.18	0.0055479	Dclk1	NM_001111051 /// NM_001111052 /// NM_001111053 /// NM_019978
1418979_at	2.18	0.0007484	Akr1c14	NM_134072
1429625_at	2.18	0.0005359	2900054C01Rik	---
1456934_at	2.11	0.0006602	Calb1	NM_009788
1428383_a_at	2.1	0.0074322	2310021P13Rik	NM_027996
1451289_at	2.09	0.0003946	Dclk1	NM_001111051 /// NM_001111052 /// NM_001111053 /// NM_019978
1452599_s_at	2.06	0.008954	AI413582	NM_001002895
1417504_at	2.05	0.0073705	Calb1	NM_009788
1448738_at	2	0.0087922	Calb1	NM_009788
1424271_at	1.99	0.0024831	Dclk1	NM_001111051 /// NM_001111052 /// NM_001111053 /// NM_019978
1426255_at	1.98	0.0037154	Nefl	NM_010910
1417956_at	1.97	0.0115069	Cidea	NM_007702
1443378_s_at	1.97	0.024844	Adam1a	NM_172126
1417411_at	1.97	0.0162617	Nap1l5	NM_021432
1433825_at	1.94	0.0082062	Ntrk3	NM_008746 /// NM_182809
1428114_at	1.94	0.0043281	Slc14a1	NM_028122
1418876_at	1.93	0.000768	Foxd1	NM_008242
1455872_at	1.93	0.0128198	BC065085	NM_177628
1442769_at	1.89	0.0060097	8030451F13Rik	NM_175418
1448640_at	1.87	0.0113838	Slc14a1	NM_028122
1460444_at	1.86	0.0073083	Arrb1	NM_177231 /// NM_178220
1436659_at	1.86	0.0012811	Dclk1	NM_001111051 /// NM_001111052 /// NM_001111053 /// NM_019978
1452147_at	1.85	0.000282	Sec24c	NM_172596
1453055_at	1.85	0.0288857	Sema6d	NM_172537 /// NM_199238 /// NM_199239 /// NM_199240 /// NM_199241
