AFFYID	SYMBOL	LOCUS	GENENAME	p-value	WT Fold ?	p55-/-p75+/+ Fold ?	p55+/+p75-/- Fold ?	DKO Fold ?
1415677_at	Dhrs1	52585	dehydrogenase/reductase (SDR family) member 1	0.0485	0.96	1.42	1.19	0.97
1415741_at	Tparl	21982	TPA regulated locus	0.0354	0.96	1.16	1.15	1.07
1415750_at	Tbl3	213773	transducin (beta)-like 3	0.0466	1.09	1.55	1.31	1.14
1415975_at	Carhsp1	52502	calcium regulated heat stable protein 1	0.0203	0.85	0.98	1.43	1.04
1416105_at	Nnt	18115	nicotinamide nucleotide transhydrogenase	0.0178	0.95	1.11	1.04	0.64
1416158_at	Nr2f2	11819	nuclear receptor subfamily 2, group F, member 2	0.0400	0.92	1.26	0.81	0.53
1416374_at	Ap3m1	55946	adaptor-related protein complex 3, mu 1 subunit	0.0336	1.16	1.19	1.19	0.83
1416480_a_at	Hig1	56295	hypoxia induced gene 1	0.0067	1.45	0.96	1.03	1.22
1416494_at	Ndufs5	170658	NADH dehydrogenase (ubiquinone) Fe-S protein 5	0.0326	1.04	0.98	1.05	1.22
1416544_at	Ezh2	14056	enhancer of zeste homolog 2 (Drosophila)	0.0304	1.58	1.82	1.45	0.71
1416637_at	Slc4a2	20535	solute carrier family 4 (anion exchanger), member 2	0.0237	0.70	1.19	0.91	0.95
1416675_s_at	Plcd	18799	phospholipase C, delta	0.0076	0.65	0.92	0.77	0.44
1416683_at	Plxnb2	140570	plexin B2	0.0031	0.88	1.09	1.16	0.84
1416738_at	Brap	72399	BRCA1 associated protein	0.0179	1.10	1.20	1.29	0.78
1416852_a_at	Ncdn	26562	neurochondrin	0.0097	1.18	1.28	1.28	0.69
1417014_at	Hspb8	80888	heat shock 27kDa protein 8	0.0215	0.96	0.88	0.90	1.08
1417060_at	Ppp1r11	76497	protein phosphatase 1, regulatory (inhibitor) subunit 11	0.0049	0.76	1.36	0.92	0.74
1417081_a_at	Syngr2	20973	synaptogyrin 2	0.0418	1.10	1.05	1.08	0.79
1417379_at	Iqgap1	29875	IQ motif containing GTPase activating protein 1	0.0459	0.90	0.81	0.63	0.85
1417600_at	Slc15a2	57738	solute carrier family 15 (H+/peptide transporter), member 2	0.0435	2.67	1.22	1.33	2.06
1417622_at	Slc12a2	20496	solute carrier family 12, member 2	0.0197	0.93	1.02	0.99	0.74
1418238_at	Ivd	56357	isovaleryl coenzyme A dehydrogenase	0.0187	1.10	1.16	1.10	0.87
1418375_at	D10Wsu93e	110962	DNA segment, Chr 10, Wayne State University 93, expressed	0.0434	0.48	0.95	0.65	0.59
1418518_at	Furin	18550	furin (paired basic amino acid cleaving enzyme)	0.0198	0.80	1.57	0.91	0.84
1418595_at	S3-12	57435	plasma membrane associated protein, S3-12	0.0024	0.83	0.91	1.00	0.67
1418637_at	Etv3	27049	ets variant gene 3	0.0294	0.63	0.47	0.74	1.00
1418972_at	Bcl10	12042	B-cell leukemia/lymphoma 10	0.0143	1.14	0.83	0.58	0.91
1419039_at	Cyp2d22	56448	cytochrome P450, family 2, subfamily d, polypeptide 22	0.0046	1.06	1.04	1.33	0.71
1419435_at	Aox1	11761	aldehyde oxidase 1	0.0480	1.03	1.24	1.12	0.96
1419543_a_at	Sfrs10	20462	splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	0.0368	0.86	0.98	1.18	0.88
1419753_at	Nfx1	74164	nuclear transcription factor, X-box binding 1	0.0153	0.59	1.11	1.53	1.12
1420855_at	Eln	13717	elastin	0.0491	1.15	0.78	0.66	0.78
1420992_at	Ankrd1	107765	ankyrin repeat domain 1 (cardiac muscle)	0.0420	0.97	0.79	0.75	0.90
1421904_at	Ncoa6ip	116940	nuclear receptor coactivator 6 interacting protein	0.0225	0.96	0.91	0.96	1.27
1422455_s_at	Nsf	18195	N-ethylmaleimide sensitive fusion protein	0.0103	0.76	1.40	1.12	0.70
1422474_at	Pde4b	18578	phosphodiesterase 4B, cAMP specific	0.0469	0.66	0.87	0.81	0.64
1422555_s_at	Gna13	14674	guanine nucleotide binding protein, alpha 13	0.0436	0.85	0.93	0.75	1.11
1422742_at	Hivep1	110521	human immunodeficiency virus type I enhancer binding protein 1	0.0475	0.85	0.63	0.81	1.02
1422882_at	Sypl	19027	synaptophysin-like protein	0.0010	0.83	1.73	1.09	0.63
1422912_at	Bmp4	12159	bone morphogenetic protein 4	0.0084	0.76	1.34	0.96	0.84
1422993_s_at	Refbp2	56009	RNA and export factor binding protein 2	0.0426	1.02	0.86	1.01	1.23
