Probe Set ID	Gene Symbol	Gene Title	Fold change([GFP+CD133+] vs [GFP-CD133-])	Regulation([GFP+CD133+] vs [GFP-CD133-])	Fold change([GFP-CD133+] vs [GFP-CD133-])	Regulation ([GFP-CD133+] vs [GFP-CD133-])	Fold change([GFP+CD133+] vs [GFP-CD133+])	Regulation([GFP+CD133+] vs [GFP-CD133+])
1439518_at	Mmrn2	multimerin 2	10.466713	down	10.432515	up	1.0032779	down
1423285_at	Coch	coagulation factor C homolog (Limulus polyphemus)	9.075164	down	9.066111	up	1.0009985	down
1448688_at	Podxl	podocalyxin-like	7.4680057	down	7.355289	up	1.0153246	down
1456768_a_at	Mmrn2	multimerin 2	6.2173996	down	7.237326	up	1.1640439	up
1427122_at	Copg2as2	coatomer protein complex, subunit gamma 2, antisense 2	12.341164	down	7.0032153	up	1.7622138	down
1417484_at	Ibsp /// LOC100046052	integrin binding sialoprotein /// similar to Integrin binding sialoprotein	8.754587	down	6.1774044	up	1.4171951	down
1449135_at	Sox18	SRY-box containing gene 18	3.3862243	down	5.984895	up	1.7674241	up
1433919_at	Asb4	ankyrin repeat and SOCS box-containing protein 4	5.965401	down	5.842156	up	1.0210959	down
1449146_at	Notch4	Notch gene homolog 4 (Drosophila)	4.858572	down	5.7920136	up	1.1921227	up
1434572_at	Hdac9	histone deacetylase 9	4.3577466	down	5.765932	up	1.3231452	up
1442033_at	C1qtnf9	C1q and tumor necrosis factor related protein 9	9.528464	down	5.723154	up	1.6648976	down
1436367_at		Transcribed locus	4.622205	down	5.5448446	up	1.1996104	up
1421345_at	Lrat	lecithin-retinol acyltransferase (phosphatidylcholine-retinol-O-acyltransferase)	5.296553	down	5.514471	up	1.0411434	up
1454966_at	Itga8	integrin alpha 8	3.0800574	down	5.452669	up	1.770314	up
1418979_at	Akr1c14	aldo-keto reductase family 1, member C14	4.163845	down	5.426249	up	1.3031821	up
1449379_at	Kdr	kinase insert domain protein receptor	4.000382	down	5.2533226	up	1.3132051	up
1426206_at	Robo4	roundabout homolog 4 (Drosophila)	8.85339	down	5.1036196	up	1.7347277	down
1438030_at	Rasgrp3	RAS, guanyl releasing protein 3	7.9816127	down	5.096005	up	1.566249	down
1456521_at		Transcribed locus	8.671501	down	5.078977	up	1.7073321	down
1418606_at	Hoxd10	homeo box D10	6.2404156	down	5.063062	up	1.2325379	down
1449280_at	Esm1 /// LOC632677	endothelial cell-specific molecule 1 /// similar to Endothelial cell-specific molecule 1 precursor (ESM-1 secretory protein) (ESM-1)	8.3966255	down	5.026076	up	1.6706126	down
1427123_s_at	Copg2as2	coatomer protein complex, subunit gamma 2, antisense 2	8.028885	down	4.8668647	up	1.6497037	down
1421170_a_at	Plcb1	phospholipase C, beta 1	2.4749944	down	4.7742586	up	1.9289978	up
1444841_at			4.5779963	down	4.7087812	up	1.0285683	up
1456263_at	Notch4	Notch gene homolog 4 (Drosophila)	3.4978175	down	4.6892943	up	1.3406343	up
1418059_at	Eltd1	EGF, latrophilin seven transmembrane domain containing 1	8.058413	down	4.675632	up	1.7234917	down
1423422_at	Asb4	ankyrin repeat and SOCS box-containing protein 4	4.0494246	down	4.387014	up	1.0833672	up
1419759_at	Abcb1a	ATP-binding cassette, sub-family B (MDR/TAP), member 1A	5.2555594	down	4.3200197	up	1.216559	down
1454086_a_at	Lmo2 /// LOC100048263	LIM domain only 2 /// similar to LIM domain only 2	3.7949555	down	4.314529	up	1.1369116	up
1434914_at	Rab6b	RAB6B, member RAS oncogene family	2.2452636	down	4.202192	up	1.8715805	up
1438027_at			6.1415944	down	4.167055	up	1.4738452	down
1416564_at	Sox7	SRY-box containing gene 7	5.9636474	down	4.077052	up	1.4627353	down
1428549_at	Ccdc3	coiled-coil domain containing 3	3.6268854	down	4.000108	up	1.1029043	up
1438020_at	Hapln1	hyaluronan and proteoglycan link protein 1	2.5965037	down	3.979125	up	1.5324934	up
1438227_at	She	src homology 2 domain-containing transforming protein E	4.3046713	down	3.9690998	up	1.0845461	down
1427489_at	Itga8	integrin alpha 8	2.1103113	down	3.9543319	up	1.8738146	up
1425781_a_at	Plcb1	phospholipase C, beta 1	1.9846656	down	3.9326086	up	1.9814968	up
