Gene	Function	1st group, fold change posttreatment versus pretreatment	2nd group, fold change posttreatment versus pretreatment	2nd group, adjusted P
IFN-induced protein with tetratricopeptide repeats 3 (IFIT3)	Antiviral response	12	33.4	<0.001
Ubiquitin specific protease 18 (USP18)	Protein catabolism	5.8	42.8	<0.001
IFN-induced protein 44 (IFI44)	Invasive growth, antiviral response	5.5	9.5	<0.001
2-5-oligoadenylate synthetase-like (OASL)	Double-stranded RNA binding, DNA binding	5	16.2	<0.001
IFN regulatory factor 7 (IRF7)	Transcription factor, antiviral response	3.7	5.2	<0.001
Zinc finger, CCHC domain containing 2 (ZCCHC2)	Nucleic acidic binding	3.2	4.9	<0.001
EST sequence	Unknown	3	6.7	<0.001
Tumor necrosis factor receptor superfamily, member 6 (TNFRSF6)	Apoptosis	3	4.9	<0.001
Metallothionein 1H (MT1H)	Metal ion binding	2.8	3.2	<0.001
IFN-stimulated gene 20 kDa (ISG20)	Cell proliferation, exonuclease activity	2.7	4.5	<0.001
Zinc finger CCCH type domain containing 1 (ZC3HDC1)	Nucleic acidic binding	2.5	5.1	<0.001
Three prime repair exonuclease 1 (TREX1)	DNA repair	2.4	4	<0.001
Transporter 1, ATP-binding cassette, subfamily B (TAP1)	Antigen presentation	2.4	3.6	<0.001
Hypothetical protein FLJ11286	Unknown	2.4	3.5	<0.001
Promyelocytic leukemia (PML)	Transcription factor, cell growth	2.2	5.4	<0.001
GTP cyclohydrolase 1 (GCH1)	Neurotransmitter	2.6	2.5	0.001
IFN-induced transmembrane protein 3 (IFITM3)	Immune response	2.3	1.8	0.001
Metallothionein 1E (MT1E)	Metal ion binding	2.1	2.8	0.001
Lectin, galactoside-binding, soluble, 3 binding protein (LGALS3BP)	Cell adhesion, scavenger receptor	2.1	2	0.002
Serine palmitoyltransferase, long chain base subunit 2 (SPTLC2)	Acyltransferase	2.5	2.3	0.006
Nuclear factor, interleukin 3 regulated (NFIL3)	Cellular Survival	3.7	2.8	0.01
G protein-coupled receptor 43 (GPR43)	Rhodopsin-like receptor	2.3	2.7	0.17
SCO cytochrome oxidase deficient homologue 2 (SCO2)	Electron transport	2.1	1.2	0.27
