Affymetrix identifier	Gene Symbol	N-fold	p-value
211734_s_at	FCER1A	-5.8	0.02544
210164_at	GZMB	-5.6	0.041
210163_at	CXCL11	-4.9	0.01707
219971_at	IL21R	-4.3	0.02682
216191_s_at	TRD@	-3.8	0.006189
207339_s_at	LTB	-3.7	0.002272
218723_s_at	RGC32	-3.5	0.02431
211864_s_at	FER1L3	-3.4	0.0129
209969_s_at	STAT1	-3.4	0.02344
204533_at	CXCL10	-3.3	0.01676
203559_s_at	ABP1	-3.2	0.01886
205128_x_at	PTGS1	-2.9	0.005898
203940_s_at	KIAA1036	-2.8	0.009216
205898_at	CX3CR1	-2.8	0.01386
200644_at	MLP	-2.7	0.00571
204440_at	CD83	-2.7	0.03862
209301_at	CA2	-2.7	0.0431
220146_at	TLR7	-2.6	0.02
205861_at	SPIB	-2.6	0.04522
205554_s_at	DNASE1L3	-2.6	0.01852
202270_at	GBP1	-2.6	0.01168
221463_at	CCL24	-2.5	0.02753
205237_at	FCN1	-2.5	0.02052
213475_s_at	ITGAL	-2.5	0.02864
1405_i_at	CCL5	-2.5	0.01564
204070_at	RARRES3	-2.4	0.01129
201242_s_at	ATP1B1	-2.4	0.03461
205241_at	SCO2	-2.4	0.01793
203485_at	RTN1	-2.3	0.01991
202688_at	TNFSF10	-2.2	0.03766
209555_s_at	CD36	-2.2	0.01657
205081_at	CRIP1	-2.2	0.02586
200788_s_at	PEA15	-2.1	0.004997
203386_at	TBC1D4	-2.1	0.01822
210140_at	CST7	-2.1	0.02781
200629_at	WARS	-2.1	0.01705
214022_s_at	IFITM1	-2.1	0.03953
203922_s_at	CYBB	-2.0	0.02217
201762_s_at	PSME2	-2.0	0.00781
203915_at	CXCL9	-2.0	0.03009
204999_s_at	ATF5	-2.0	0.04786
201697_s_at	DNMT1	-2.0	0.03665
206420_at	IGSF6	-2.0	0.009844
210004_at	OLR1	-2.0	0.01717
211581_x_at	LST1	-2.0	0.009353
