Probesets	Symbol	Title
1415850_at	Rasa3	RAS p21 protein activator 3
1415877_at	Dpysl3	dihydropyrimidinase-like 3
1415890_at	Papss1	3-phosphoadenosine 5-phosphosulfate synthase 1
1415897_a_at	Mgst1	microsomal glutathione S-transferase 1
1415923_at	Ndn	necdin
1415943_at	Sdc1	syndecan 1
1415949_at	Cpe	carboxypeptidase E
1415973_at	---	0 day neonate cerebellum cDNA, RIKEN full-length enriched library, clone:C230...
1415986_at	Clcn4-2	chloride channel 4-2
1416006_at	Mdk	midkine
1416007_at	Satb1	special AT-rich sequence binding protein 1
1416008_at	Satb1	special AT-rich sequence binding protein 1
1416009_at	Tspan3	tetraspanin 3
1416034_at	Cd24a	CD24a antigen
1416048_at	Phc2	polyhomeotic-like 2 (Drosophila)
1416053_at	Lrrn1	leucine rich repeat protein 1, neuronal
1416081_at	Smad1	MAD homolog 1 (Drosophila)
1416122_at	Ccnd2	cyclin D2
1416123_at	Ccnd2	cyclin D2
1416124_at	Ccnd2	cyclin D2
1416155_at	Hmgb3	high mobility group box 3
1416158_at	Nr2f2	nuclear receptor subfamily 2, group F, member 2
1416159_at	Nr2f2	nuclear receptor subfamily 2, group F, member 2
1416160_at	Nr2f2	nuclear receptor subfamily 2, group F, member 2
1416221_at	Fstl1	follistatin-like 1
1416354_at	Rbmx	RNA binding motif protein, X chromosome
1416390_at	Rcbtb2	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing p...
1416406_at	Pea15	phosphoprotein enriched in astrocytes 15
1416407_at	Pea15	phosphoprotein enriched in astrocytes 15
1416482_at	Ttc3	tetratricopeptide repeat domain 3
1416483_at	Ttc3	tetratricopeptide repeat domain 3
1416484_at	Ttc3	tetratricopeptide repeat domain 3
1416522_a_at	Grcc10	gene rich cluster, C10 gene
1416614_at	Cri1	CREBBP/EP300 inhibitory protein 1
1416621_at	Llgl1	lethal giant larvae homolog 1 (Drosophila)
1416723_at	Tcf4	transcription factor 4
1416724_x_at	Tcf4	transcription factor 4
1416731_at	Top2b	topoisomerase (DNA) II beta
1416760_at	Galntl1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransfer...
1416761_at	---	---
1416845_at	Tmem132a	transmembrane protein 132A
1416855_at	Gas1	growth arrest specific 1
1417051_at	Pcdh8	protocadherin 8
1417073_a_at	Qk	quaking
1417092_at	Pthr1	parathyroid hormone receptor 1
1417112_at	Arl2bp	ADP-ribosylation factor-like 2 binding protein
1417128_at	Plekho1	pleckstrin homology domain containing, family O member 1
1417129_a_at	Mrg1	myeloid ecotropic viral integration site-related gene 1
1417278_a_at	Nkd1; LOC634379; LOC671838	naked cuticle 1 homolog (Drosophila); similar to naked cuticle 1 homolog; sim...
1417363_at	Zfp61	zinc finger protein 61
1417372_a_at	Peli1	pellino 1
1417376_a_at	Igsf4a	immunoglobulin superfamily, member 4A
1417377_at	Igsf4a	immunoglobulin superfamily, member 4A
1417378_at	Igsf4a	immunoglobulin superfamily, member 4A
1417389_at	Gpc1	glypican 1
1417414_at	39328	septin 3
1417471_s_at	D1Ertd622e	DNA segment, Chr 1, ERATO Doi 622, expressed
1417486_at	Shd	src homology 2 domain-containing transforming protein D
1417493_at	Bmi1	B lymphoma Mo-MLV insertion region 1
1417519_at	Plagl2	pleiomorphic adenoma gene-like 2
1417527_at	Ap3m2	adaptor-related protein complex 3, mu 2 subunit
1417558_at	Fyn	Fyn proto-oncogene
1417677_at	Opn3	opsin (encephalopsin)
1417723_at	Ube2j1	ubiquitin-conjugating enzyme E2, J1
1417846_at	Ulk2	Unc-51 like kinase 2 (C. elegans)
1417847_at	Ulk2	Unc-51 like kinase 2 (C. elegans)
1417848_at	Zfp704	zinc finger protein 704
1417862_at	A830059I20Rik	RIKEN cDNA A830059I20 gene
1417900_a_at	Vldlr	very low density lipoprotein receptor
1417932_at	Il18	interleukin 18
1417978_at	Eif4e3	eukaryotic translation initiation factor 4E member 3
1417985_at	Nrarp	Notch-regulated ankyrin repeat protein
1417986_at	Nrarp	Notch-regulated ankyrin repeat protein
1418018_at	Cpd	carboxypeptidase D
1418084_at	Nrp1	neuropilin 1
1418101_a_at	Rtn3	reticulon 3
1418128_at	Adcy6	adenylate cyclase 6
1418153_at	Lama1	laminin, alpha 1
1418157_at	Nr2f1	nuclear receptor subfamily 2, group F, member 1
1418164_at	Stx2	syntaxin 2
1418170_a_at	Zcchc14	zinc finger, CCHC domain containing 14
1418195_at	Galnt10	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransfer...
1418209_a_at	Pfn2	profilin 2
1418210_at	Pfn2	profilin 2
1418253_a_at	Hspa4l	heat shock protein 4 like
1418258_s_at	Dynll2	dynein light chain LC8-type 2
1418285_at	Efnb1	ephrin B1
1418286_a_at	Efnb1	ephrin B1
1418297_at	Dpysl4	dihydropyrimidinase-like 4
1418298_s_at	Dpysl4	dihydropyrimidinase-like 4
1418299_at	Dpysl4	dihydropyrimidinase-like 4
