Entrez ID	Symbol	Gene name	Fold change (log 2) XGvCL	CLvsCLX	XGvsCLX	Adjusted P XGvCL	CLvsCLX	XGvsCLX
2261	FGFR3	fibroblast growth factor receptor 3	5.65	-0.4	5.25	0	0.91	0
94235	GNG8	guanine nucleotide binding protein (G protein), g8	4.94	-0.04	4.9	0	1	0
3306	HSPA2	heat shock 70kDa protein 2	4.84	-0.7	4.14	0.01	0.9	0.02
283120	H19	H19, imprinted maternally expressed transcript	4.96	-1.54	3.56	0	0.52	0.02
283131	TncRNA	trophoblast-derived noncoding RNA	4.11	-0.17	4.39	0	0.84	0
64065	PERP	PERP, TP53 apoptosis effector	4.43	-0.98	3.9	0.02	0.84	0.03
4821	NKX2-2	NK2 homeobox 2	4.17	-0.27	3.91	0.03	0.98	0.03
999	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	4.09	-0.31	3.79	0.04	0.97	0.05
55466	DNAJA4	DnaJ(Hsp40) homologue, subfamily A, member 4	4.14	-0.31	3.74	0	0.25	0
4070	TACSTD2	tumor-associated calcium signal transducer 2	3.96	-0.22	3.67	0.01	0.4	0.02
7852	CXCR4	chemokine (C-X-C motif) receptor 4	4.22	-1.09	3.38	0	0.62	0.01
1299	COL9A3	collagen, type IX, a3	3.71	0.12	3.83	0	0.98	0
57007	CXCR7	chemokine (C-X-C motif) receptor 7	4.89	-0.25	2.64	0	0.53	0
6662	SOX9	SRY (sex determining region Y)-box 9	3.74	-0.29	3.54	0.03	0.97	0.03
54492	LOC54492	hypothetical LOC54492	3.82	-0.38	3.44	0.02	0.95	0.03
2820	GPD2	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	5.5	-0.5	1.75	0	0.92	0
164633	CABP7	calcium binding protein 7	3.47	0.17	3.64	0.02	0.98	0.02
219844	HYLS1	hydrolethalus syndrome 1	3.66	-0.24	3.42	0.01	0.97	0.02
3481	IGF2	insulin-like growth factor 2 (somatomedin A)	2.54	-0.26	4.44	0.01	0.45	0.02
5349	FXYD3	FXYD domain containing ion transport regulator 3	3.58	-0.38	3.28	0.02	0.85	0.03
4246	SCGB2A1	secretoglobin, family 2A, member 1	3.55	-0.28	3.28	0.01	0.96	0.01
5617	PRL	prolactin	4.06	-1.32	2.74	0.01	0.59	0.04
3963	LGALS7	lectin, galactoside-binding, soluble, 7 (galectin 7)	3.23	0.28	3.51	0.05	0.97	0.03
25878	MXRA5	matrix-remodeling associated 5	3.3	0.05	3.35	0	0.99	0
10653	SPINT2	serine peptidase inhibitor, Kunitz type, 2	3.46	-0.36	3.1	0.03	0.96	0.04
2977	GUCY1A2	guanylate cyclase 1, soluble, a2	-2.07	0.26	-1.81	0.01	0.92	0.02
255231	MCOLN2	mucolipin 2	-1.6	-0.7	-2.31	0.03	0.72	0.02
8715	NOL4	nucleolar protein 4	-2.19	0.39	-1.8	0.01	0.87	0.03
3709	ITPR2	inositol 1,4,5-triphosphate receptor, type 2	-1.87	-0.84	-2.11	0.01	0.53	0
11001	SLC27A2	solute carrier family 27 ( fatty acid transporter), member 2	-1.84	-0.33	-2.17	0.04	0.91	0.02
54530	C1orf218	chromosome 1 open reading frame 218	-2.26	0.42	-1.84	0.01	0.87	0.04
6507	SLC1A3	(glial high affinity glutamate transporter), member 3	-1.89	-0.35	-2.25	0.03	0.62	0.01
5028	P2RY1	purinergic receptor P2Y, G-protein coupled, 1	-1.35	0.85	-2.8	0.05	0.44	0.02
7325	UBE2E2	ubiquitin-conjugating enzyme E2E 2	-2.25	-0.76	-1.91	0.02	0.51	0.03
169200	TMEM64	transmembrane protein 64	-2.22	-0.25	-2.03	0.01	0.38	0.04
5308	PITX2	paired-like homeodomain 2	-2.16	0.06	-2.1	0.02	0.99	0.03
51678	MPP6	membrane protein, palmitoylated 6	-2.18	-0.05	-2.22	0.02	0.99	0.02
1491	CTH	cystathionase (cystathionine g-lyase)	-2.54	1.24	-1.86	0	0.25	0.03
79071	ELOVL6	ELOVL family member 6	-2.54	0.49	-2.05	0.01	0.85	0.03
153	ADRB1	adrenergic, h1-, receptor	-2.34	0.14	-2.36	0.02	0.74	0.02
401097	LOC401097	Similar to LOC166075	-2.42	-0.29	-2.71	0.04	0.95	0.02
80144	FRAS1	Fraser syndrome 1	-2.33	-0.52	-2.82	0.03	0.57	0.01
594855	CPLX3	complexin 3	-2.89	1.08	-2.26	0.01	0.74	0.03
3049	HBQ1	hemoglobin, theta 1	-2.28	-0.6	-2.88	0.03	0.81	0.01
54941	RNF125	ring finger protein 125	-2.35	-0.47	-2.82	0.01	0.82	0
6096	RORB	retinoic acid receptor–related orphan receptor B	-2.65	0.8	-2.57	0.01	0.45	0.01
285368	PRRT3	proline-rich transmembrane protein 3	-2.91	0.54	-2.37	0.01	0.87	0.04
84864	MINA	MYC induced nuclear antigen	-2.69	0.55	-2.68	0.04	0.85	0.04
29953	TRHDE	thyrotropin-releasing hormone degrading enzyme	-3.05	0.4	-2.64	0	0.86	0
8835	SOCS2	suppressor of cytokine signaling 2	-3.82	1.16	-2.66	0	0.55	0.02
