Category	Gene Symbol	Description	Cytoband	Probe set ID	Function
Protein synthesis	MRPL42	Mitochondrial ribosomal protein L42	chr12q22	217919_s_at	Protein synthesis within the mitochondrion
Protein synthesis	MRPL54	Mitochondrial ribosomal protein L54	chr19p13.3	225797_at	Protein synthesis within the mitochondrion
Down-regulated	MRPL47	Mitochondrial ribosomal protein L47	chr3q26.33	223480_s_at	Protein synthesis within the mitochondrion
Down-regulated	MRPS23	Mitochondrial ribosomal protein S23	chr17q22-q23	223156_at	Protein synthesis within the mitochondrion
Down-regulated	EIF3S9	eukaryotic translation initiation factor 3, subunit 9 ?, 116 kDa	chr7p22.2	236274_at	Initiation of protein synthesis (EIF3 multiprotein complex)
Signaling	ALG5	Asparagine-linked glycosylation 5 homologue	chr13q13.3	218203_at	Protein glucosylation
Signaling	DNAJC19	DnaJ (Hsp40) homologue, subfamily C, member 19	chr3q26.33	225359_at	Importation of mithochondrial protein
Signaling	HBLD2	HESB-like domain containing 2	chr9q21.33	221425_s_at	Iron-sulfur cluster biogenesis
Signaling	GART	Phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	chr21q22.1	230097_at	De novopurine biosynthesis
Signaling	NUP37	Nucleoporin 37 kDa	chr12q23.2	218622_at	Intracellular protein transport across nuclear membrane
Signaling	RNF7	Ring finger protein 7	chr3q22-q24	224439_x_at	Subunit of SKP1-cullin/CDC53-F box protein ubiquitin ligases
Signaling	DC2	DC2 protein	chr4q25	223001_at	Protein glycosylation
Signaling	USP15	Ubiquitin-specific peptidase 15	chr12q14	210681_s_at	Protein degradation
Signaling	COMMD6	COMM domain containing 6	-	225312_at	Inhibition nuclear factor-?B signaling
Signaling	UBL5	Ubiquitin-like 5	chr19p13.3	218011_at	Ubiquitination
Apoptosis	MRPL41	Mitochondrial ribosomal protein L41	chr9q34.3	225425_s_at	Stabilization of p53 protein, cell cycle arrest [p21 (WAF1/CIP1) and p27 (Kip1) dependent]
Apoptosis	PDCD10	Programmed cell death 10	chr3q26.1	210907_s_at	Initiation of apoptosis
Apoptosis	PDCD5	Programmed cell death 5	chr19q12-	227751_at	Initiation of apoptosis
Differentiation program	NACA	Nascent polypeptide-associated complex ? polypeptide	chr12q23-q24.1	222018_at	Erythroid differentiation
Cell cycle	FAM82B	Family with sequence similarity 82, member B	chr8q21.3	218549_s_at	Regulation of microtubule dynamic
RNA splicing	CCNL1	Cyclin L1	chr3q25.32	1555411_a_at	Pre-mRNA processing
RNA splicing	PRPF39	PRP39 pre-mRNA processing factor 39 homologue (S. cerevisiae)	chr14q21.3	220553_s_at	Pre-mRNA processing
RNA splicing	LSM3	LSM3 homologue, U6 small nRNA associated (S. cerevisiae)	chr3p25.1	202209_at	Pre-mRNA processing
RNA splicing	SFRS7	Splicing factor, arginine/serine-rich 7, 35 kDa	chr2p22.1	213649_at	Regulation of RNA splicing
RNA splicing	PRPF4B	PRP4 pre-mRNA processing factor 4 homologue B (yeast)	chr6p25.2	202127_at	Pre-mRNA processing
Oxidative phosphorylation	ATP5S	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s (factor B)	chr14q22.1	206992_s_at	Subunit of mitochondrial ATP synthase
Oxidative phosphorylation	NDUFA2	NADH dehydrogenase (ubiquinone) 1? subcomplex, 2,	chr5q31	209224_s_at	Components of the complex I multisubunit enzyme
Oxidative phosphorylation	ATP5J2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2	chr7q22.1	202961_s_at	Subunit of mitochondrial ATP synthase
Unknown	IMMP1L	IMP1 inner mitochondrial membrane peptidase-like	chr11p13	230556_at	Proteolysis
Unknown	ASTE1	Asteroid homologue 1 (Drosophila)	chr3q22.1	221135_s_at	Unknown
Unknown	MGC61571	Hypothetical protein MGC61571	chr3p24.1	228283_at	Unknown
Unknown	WDR53	WD repeat domain 53	chr3q29	227814_at	Unknown
Unknown	DKFZP686A10121	Hypothetical protein	chr7q21.13	234311_s_at	Unknown
Unknown	CHCHD8	Coiled-coil-helix-coiled-coil-helix domain containing 8	chr11q13.4	220647_s_at	Unknown
Unknown	FLJ32745	Hypothetical protein FLJ32745	chr2q13	235644_at	Unknown
Unknown	CHURC1	Churchill domain containing 1	chr14q23.3	233268_s_at	Unknown
Unknown	XTP3TPA	XTP3-transactivated protein A	chr16p11.2	218069_at	Unknown
Unknown	FLJ37953	Hypothetical protein FLJ37953	chr2q33.1	235181_at	Unknown
Unknown	SNORD50A	Small nucleolar RNA, C/D box 50A	chr6q14.3	244669_at	Unknown
Unknown	LOC644053	Hypothetical protein LOC644053	chr1q41	235466_s_at	Unknown
Unknown	TMEM141	Transmembrane protein 141	chr9q34.3	225568_at	Unknown
Unknown	C8orf59	Chromosome 8 open reading frame 59	chr8q21.2	226165_at	Unknown
