Gene name	NCBI Genebank accession no.	Fold change 4 h	12 h	24 h
Mbl2	NM_010776.1	0.81	0.61	0.68
Matn2	NM_016762.1	0.86	0.66	0.8
Ephx1	BC029636.1	0.83	0.63	0.77
Smarca1	NM_053123.1	0.77	0.64	0.93
Cyp39a1	NM_018887.1	0.65	0.54	0.93
Sdh1	NM_146126.1	0.67	0.67	0.82
Tgtp	NM_011579.1	0.65	0.44	0.63
Chd3	NM_146019.1	0.67	0.65	0.84
Tef	NM_153484.1	0.6	0.72	0.92
Scel	AE014176.1	0.55	0.84	1.24
Arhgap18	NM_176837	0.64	0.74	0.85
Slc39a10	NM_172653.1	0.63	0.82	0.84
Prkcm	NM_002742.1	0.67	0.77	0.93
Pmp22	NM_008885.1	0.62	0.77	0.87
Fts	NM_010241.1	0.63	0.79	0.9
Acadm	NM_007382.1	0.66	0.81	0.91
Slc39a10	NM_172653.1	0.61	0.85	0.9
Lphn2	XM_131258.1	0.67	0.85	0.9
Sema3a	XM_131903.1	0.55	0.75	0.85
Adamts5	NM_007038.1	0.41	0.6	0.71
Sdpr	NM_138741.1	0.42	0.66	0.76
Armcx3	NM_027870.1	0.6	0.76	0.98
Frmd4b	BC031369.1	0.61	0.67	0.91
Adamts1	D67076.1	0.57	0.65	0.75
Add3	BC037116.1	0.65	0.77	0.96
Sap30	NM_021788.1	0.66	0.91	1.01
Sap30	NM_021788.1	0.63	0.82	1.01
