Symbol	Description	Ratio P7/P2	Ratio P14/P7	Function
Nhlh1	Nescient helixñloopñhelix 1	19.39	0.13	Transcription Factors
Insm1	Insulinoma-associated 1	10.96	0.19	Transcription Factors
Myb	Myeloblastosis oncogene	5.64	0.13	Transcription Factors
Nfib	Nuclear factor I/B	3.9	0.44	Transcription Factors
Mycn	v-myc myelocytomatosis viralñrelated oncogene, neuroblastoma-derived (avian)	3.78	0.14	Transcription Factors
Lhx1	LIM homeobox protein 1	3.41	0.17	Transcription Factors
Pax6	Paired box gene 6	3.36	0.43	Transcription Factors
Tead2	TEA domain family member 2	3.2	0.25	Transcription Factors
Gli2	GLI-Kruppel family member GLI2	2.82	0.32	Transcription Factors
Sox18	SRY-box containing gene 18	2.82	0.36	Transcription Factors
E2f8	E2F transcription factor 8	2.68	0.35	Transcription Factors
Trp53	Transformation-related protein 53	2.64	0.27	Transcription Factors
Ccna2	Cyclin A2	8.91	0.1	Cell cycle, cell division, repair, DNA replication, and proliferation
Ccnb1	Cyclin B1	8.7	0.15	Cell cycle, cell division, repair, DNA replication, and proliferation
Mki67	Antigen identified by monoclonal antibody Ki 67	8.26	0.18	Cell cycle, cell division, repair, DNA replication, and proliferation
Cks2	CDC28 protein kinase regulatory subunit 2	8.12	0.09	Cell cycle, cell division, repair, DNA replication, and proliferation
Aspm	Asp (abnormal spindle)-like, microcephalyñassociated (Drosophila)	7.48	0.13	Cell cycle, cell division, repair, DNA replication, and proliferation
Nusap1	Nucleolar and spindle-associated protein 1	7.17	0.11	Cell cycle, cell division, repair, DNA replication, and proliferation
Cdc20	Cell division cycle 20 homolog (Saccharomyces cerevisiae)	6.89	0.11	Cell cycle, cell division, repair, DNA replication, and proliferation
Ect2	ect2 oncogene	6.82	0.14	Cell cycle, cell division, repair, DNA replication, and proliferation
Cdca7	Cell division cycle associated 7	6.44	0.16	Cell cycle, cell division, repair, DNA replication, and proliferation
Bub1	Budding uninhibited by benzimidazoles 1 homolog (S. cerevisiae)	6.36	0.14	Cell cycle, cell division, repair, DNA replication, and proliferation
Cdc6	Cell division cycle 6 homolog (S. cerevisiae)	6.36	0.14	Cell cycle, cell division, repair, DNA replication, and proliferation
Cdca8	Cell division cycleñassociated 8	6.05	0.17	Cell cycle, cell division, repair, DNA replication, and proliferation
Pold1	Polymerase (DNA-directed), delta 1, catalytic subunit	5.55	0.18	Cell cycle, cell division, repair, DNA replication, and proliferation
Ccnb2	Cyclin B2	5.17	0.15	Cell cycle, cell division, repair, DNA replication, and proliferation
Cdc2a	Cell division cycle 2 homolog A (Shizosaccharomyces pombe)	5.03	0.14	Cell cycle, cell division, repair, DNA replication, and proliferation
Uhrf1	Ubiquitin-like, containing PHD and RING finger domains, 1	4.89	0.17	Cell cycle, cell division, repair, DNA replication, and proliferation
Nek2	NIMA (never in mitosis gene a)ñrelated expressed kinase 2	4.87	0.27	Cell cycle, cell division, repair, DNA replication, and proliferation
Cdk2ap1	CDK2 (cyclin-dependent kinase 2)ñassociated protein 1	4.7	0.49	Cell cycle, cell division, repair, DNA replication, and proliferation
Cdca7l	Cell division cycleñassociated 7 like	4.12	0.22	Cell cycle, cell division, repair, DNA replication, and proliferation
Fen1	Flap structureñspecific endonuclease 1	4.07	0.25	Cell cycle, cell division, repair, DNA replication, and proliferation
Mad2l1	MAD2 (mitotic arrest-deficient, homolog)ñlike 1 (yeast)	3.49	0.25	Cell cycle, cell division, repair, DNA replication, and proliferation
Ccnf	Cyclin F	3.45	0.29	Cell cycle, cell division, repair, DNA replication, and proliferation
Cdc25c	Cell division cycle 25 homolog C (S. cerevisiae)	3.38	0.28	Cell cycle, cell division, repair, DNA replication, and proliferation
Rfc4	Replication factor C (activator 1) 4	3.14	0.23	Cell cycle, cell division, repair, DNA replication, and proliferation
Rad51ap1	RAD51-associated protein 1	3.09	0.28	Cell cycle, cell division, repair, DNA replication, and proliferation
Brca1	Breast cancer 1	2.64	0.38	Cell cycle, cell division, repair, DNA replication, and proliferation
Xrcc5	X-ray repair-complementing defective repair in Chinese hamster cells 5	2.61	0.58	Cell cycle, cell division, repair, DNA replication, and proliferation
Cks1b	CDC28 protein kinase 1b	2.56	0.16	Cell cycle, cell division, repair, DNA replication, and proliferation
Pcna	Proliferating cell nuclear antigen	2.54	0.36	Cell cycle, cell division, repair, DNA replication, and proliferation
Mfap4	Microfibrillar-associated protein 4	9.57	0.11	Cell adhesion, extracellular matrix, junctions, cell migration, and axon guidance
Anln	Anillin, actin binding protein (scraps homolog, Drosophila)	7.42	0.37	Cell adhesion, extracellular matrix, junctions, cell migration, and axon guidance
Efs	Embryonal Fynñassociated substrate	5.34	0.34	Cell adhesion, extracellular matrix, junctions, cell migration, and axon guidance
Plxnb2	Plexin B2	3.74	0.18	Cell adhesion, extracellular matrix, junctions, cell migration, and axon guidance
Kif2c	Kinesin family member 2C	6.79	0.14	Cytoskeleton and cytoskeleton binding
Kif11	Kinesin family member 11	5.84	0.16	Cytoskeleton and cytoskeleton binding
Kif20a	Kinesin family member 20A	5.41	0.2	Cytoskeleton and cytoskeleton binding
Tnnt1	Troponin T1, skeletal, slow	4.95	0.51	Cytoskeleton and cytoskeleton binding
Birc5	Baculoviral IAP repeatñcontaining 5	4.9	0.18	Cytoskeleton and cytoskeleton binding
Kif4	Kinesin family member 4	4.35	0.22	Cytoskeleton and cytoskeleton binding
Kif23	Kinesin family member 23	4.07	0.22	Cytoskeleton and cytoskeleton binding
Vil2	Villin 2	3.74	0.4	Cytoskeleton and cytoskeleton binding
