Gen Symbol	Fold Change	Log Odds
Dcpp1	19.03	10.12
Cxcl7	8.13	4.10
Prap1	5.97	8.68
Gdpd3	4.77	12.60
Sprrl2	4.60	12.70
Sprrl7	3.82	9.20
Sprrl5	3.82	12.44
Camk2b	3.79	9.72
Ccl8	3.79	12.03
Mmp3	3.77	13.41
Tchh	3.40	9.54
Sprrl3	3.30	11.68
Ccl7	2.93	9.62
Mmp11	2.93	3.87
Thbs2	2.74	6.98
Retnla	2.72	8.94
Coch	2.72	9.89
Pim1	2.68	9.14
Sprrl9	2.64	7.74
Krt25	2.49	5.62
Krtap16-10	2.47	8.78
Krt33a	2.46	7.85
Mup1	2.46	2.92
Rasd2	2.37	9.35
Krtap15	2.30	7.84
Ccl11	2.24	3.17
Crisp1	2.20	8.83
S100g	2.18	5.50
Aldh1a1	2.15	8.13
Krt27	2.15	6.52
Gstt1	2.14	5.73
Cpe	2.13	5.52
Ddit4l	2.13	8.27
Gstm1	2.13	4.31
Serpine2	2.10	3.57
Uox	2.05	6.24
Cfi	2.05	6.79
Gdf10	2.04	3.43
Cyp2e1	2.04	6.05
Acaa1b	2.02	6.16
Mitf	2.02	6.95
C3	2.01	4.52
Tmem71	2.00	3.06
Uts2	2.00	5.46
Hp	1.99	7.40
Cxcl2	1.99	5.63
Defb6	1.98	3.47
Krt71	1.97	4.50
Il1b	1.96	5.85
Mgl1	1.94	4.53
Krtap16-1	1.93	8.76
Angptl2	1.92	6.78
Cyr61	1.91	6.48
Slc24a3	1.91	3.99
Cxcl12	1.90	4.83
Ldhb	1.87	4.09
Cfd	1.87	8.17
Prg1	1.85	5.19
Sfrp4	1.82	8.08
Ccl27	1.82	4.62
Gpnmb	1.80	5.43
Mmp10	1.79	5.69
Clca2	1.79	4.32
Ifi27	1.77	5.46
Tmem176b	1.76	6.16
Sulf2	1.76	3.38
Gabrp	1.75	7.49
Hsd11b1	1.74	6.54
Cmtm3	1.74	6.06
Cd14	1.74	4.66
Prss22	1.74	7.44
Nppc	1.73	6.99
Pla2g2e	1.73	5.25
Myl1	1.73	4.68
Ltbp1	1.72	3.56
Dbp	1.72	5.11
Ear1	1.72	3.69
Sox4	1.72	3.32
Cd1d1	1.72	5.50
Zfp52	1.71	3.41
Tpsab1	1.71	5.77
Alox5ap	1.71	6.29
Bace1	1.70	3.33
Abca1	1.69	6.03
Gp49a	1.68	4.65
Mcart1	1.68	5.12
F2r	1.68	3.28
Ggtla1	1.68	4.33
Gmfg	1.67	3.51
Krt85	1.66	4.64
Pla2g7	1.66	3.68
Id3	1.65	5.43
Rtp4	1.64	3.26
Sgcg	1.63	6.85
Krtap14	1.63	4.73
Rps6	1.63	4.13
Upk3a	1.63	5.00
Cadps2	-1.63	3.67
Tgoln1	-1.63	5.37
Akr1c13	-1.63	5.10
Slc12a8	-1.63	6.62
Sh3bgrl2	-1.63	3.91
Lss	-1.64	6.02
Atp12a	-1.64	3.53
Lrmp	-1.64	5.88
Abcb1a	-1.65	4.67
Ndufs5	-1.65	4.73
Tmem97	-1.65	4.02
Dsc1	-1.65	3.09
Slc35a1	-1.66	3.68
Entpd5	-1.66	5.43
Trim31	-1.66	5.42
Slc26a2	-1.66	4.36
Slc5a1	-1.66	4.27
Krt20	-1.66	4.86
Ero1l	-1.67	4.16
P4ha2	-1.67	3.75
Slc20a1	-1.67	6.79
Gale	-1.67	6.30
Mgst2	-1.67	5.92
Prdx6	-1.67	4.68
Slc5a9	-1.69	4.15
Galnt3	-1.70	7.06
Me2	-1.70	7.02
Srp54	-1.71	3.40
Trex2	-1.71	6.52
Bnip3	-1.71	5.60
Erbb3	-1.71	4.31
Chad	-1.71	7.21
