Unigene	Gene name	Symbol	Hypoxia	AdCA5	Function
Hs.302085	Prostaglandin I2(prostacyclin) synthase	PTGIS	11.5	16.4	Oxidoreductases
Hs.302085	Prostaglandin I2(prostacyclin) synthase	PTGIS	3.1	5	Oxidoreductases
Hs.443906	Prolyl hydroxylase domain-containing protein 3	EGLN3	4.6	5	Oxidoreductases
Hs.318567	N-myc downstream regulated gene 1	NDRG1	2.2	3.7	Oxidoreductases
Hs.88474	Prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	PTGS1	2.3	2.8	Oxidoreductases
Hs.302085	Prostaglandin I2(prostacyclin) synthase	PTGIS	2.5	2.3	Oxidoreductases
Hs.88474	Prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	PTGS1	1.6	2.2	Oxidoreductases
Hs.130946	Prolyl hydroxylase domain-containing protein 2	EGLN1	2.4	2.1	Oxidoreductases
Hs.352733	Peptidylglycine alpha-amidating monooxygenase	PAM	1.7	1.9	Oxidoreductases
Hs.10949	ERO1-like	ERO1L	1.7	1.8	Oxidoreductases
Hs.179526	Thioredoxin interacting protein	TXNIP	2.6	1.7	Oxidoreductases
Hs.352733	Peptidylglycine alpha-amidating monooxygenase	PAM	1.6	1.7	Oxidoreductases
Hs.352733	Peptidylglycine alpha-amidating monooxygenase	PAM	1.8	1.7	Oxidoreductases
Hs.83354	Lysyl oxidase-like 2	LOXL2	1.7	1.6	Oxidoreductases
Hs.102267	Lysyl oxidase	LOX	2.7	7.1	Collagens/modifying enzymes
Hs.102267	Lysyl oxidase	LOX	2.4	6.7	Collagens/modifying enzymes
Hs.104772	Procollagen proline 4-hydroxylase, alpha 2	P4HA2	2	4.6	Collagens/modifying enzymes
Hs.232115	Collagen, type 1, alpha 2	COL1A2	4.5	4.1	Collagens/modifying enzymes
Hs.41270	Procollagen lysine hydroxylase 2	PLOD2	2.2	3.5	Collagens/modifying enzymes
Hs.433695	Collagen, type V, alpha 1	COL5A1	2.3	3	Collagens/modifying enzymes
Hs.76768	Procollagen proline 4-hydroxylase, alpha 1	PRHA1	3.4	2.6	Collagens/modifying enzymes
Hs.433695	Collagen, type V, alpha 1	COL5A1	2.4	2.6	Collagens/modifying enzymes
Hs.41270	Procollagen lysine hydroxylase 2	PLOD2	1.8	2.6	Collagens/modifying enzymes
Hs.413175	Collagen, type XVIII, alpha 1	COL18A1	1.8	2	Collagens/modifying enzymes
Hs.149809	Collagen, type IX, alpha 1	COL9A1	1.7	1.8	Collagens/modifying enzymes
Hs.437173	Collagen, type IV, alpha 1	COL4A1	1.6	1.7	Collagens/modifying enzymes
Hs.407912	Collagen, type IV, alpha 2	COL4A2	1.6	1.7	Collagens/modifying enzymes
Hs.75093	Procollagen lysine hydroxylase	PLOD	2	1.5	Collagens/modifying enzymes
Hs.413175	Collagen, type XVIII, alpha 1	COL18A1	1.6	1.5	Collagens/modifying enzymes
Hs.9613	Angiopoietin-like 4	ANGPTL4	17.5	14.9	Growth factors/cytokines
Hs.25590	Stanniocalcin 1	STC1	3.1	12.2	Growth factors/cytokines
Hs.9613	Inhibin, beta A (activin A, activin AB alpha)	INHBA	10.2	11.6	Growth factors/cytokines
Hs.73793	Vascular endothelial growth factor	VEGF	6.7	8.8	Growth factors/cytokines
Hs.279497	Inhibin, beta E	INHBE	2.2	4.8	Growth factors/cytokines
Hs.155223	Stanniocalcin 2	STC2	2.3	4.3	Growth factors/cytokines
Hs.511899	Endothelin 1	EDN1	1.9	4	Growth factors/cytokines
Hs.2171	Growth differentiation factor 10	GDF10	1.5	3.3	Growth factors/cytokines
Hs.450230	Insulin-like growth factor binding protein 3	IGFBP3	2.5	3.2	Growth factors/cytokines
Hs.80420	Chemokine (C-X3-C motif) ligand 1	CX3CL1	2.1	2.9	Growth factors/cytokines
Hs.79141	Vascular endothelial growth factor C	VEGFC	2.8	2.6	Growth factors/cytokines
Hs.368996	Relaxin 1	RLN1	1.5	2.5	Growth factors/cytokines
Hs.1976	Platelet-derived growth factor B polypeptide	PDGFB	1.9	2.5	Growth factors/cytokines
Hs.73793	Vascular endothelial growth factor	VEGF	2.5	2.4	Growth factors/cytokines
Hs.73793	Vascular endothelial growth factor	VEGF	1.9	2.2	Growth factors/cytokines
Hs.252820	Placental growth factor	PGF	1.9	2.1	Growth factors/cytokines
Hs.441047	Adrenomedullin	ADM	4.2	2.1	Growth factors/cytokines
Hs.1976	Platelet-derived growth factor B polypeptide	PDGFB	2.3	1.7	Growth factors/cytokines
Hs.439141	Gamma-aminobutyric acid (GABA) A receptor, pi	GABRP	3.4	8.1	Receptors
Hs.231853	Chemokine orphan receptor 1	CMKOR1	1.7	6.4	Receptors
Hs.370422	Very low density lipoprotein receptor	VLDLR	2	5.9	Receptors
Hs.198288	Protein tyrosine phosphatase, receptor type, R	PTPRR	6	5.6	Receptors
Hs.166206	Cubilin (intrinsic factor-cobalamin receptor)	CUBN	2	4.5	Receptors
Hs.421986	Chemokine (C-X-C motif) receptor 4	CXCR4	3.1	2.9	Receptors
Hs.197029	Adenosine A2a receptor	ADORA2A	2.3	2.8	Receptors
Hs.438864	Natriuretic peptide receptor A/guanylate cyclase A	NPR1	1.8	2.7	Receptors
Hs.438669	Insulin receptor	INSR	2.3	2.5	Receptors
