Probe Set ID	A269_R11	A269_R18	A269_R28	A269_R43	A269_R46	A269_R8	Gene Title	Gene Symbol
1552316_a_at	39,326,515	42,876,716	3,908,785	27,530,248	28,552,756	2,837,375	GTPase	IMAP family member 1
1552378_s_at	6,973,134	6,936,233	71,815,495	5,702,501	5,748,506	43,469,176	retinol dehydrogenase 10 (all-trans)	RDH10
1552486_s_at	5,771,467	54,239,655	51,327,252	6,582,086	63,713,512	7,406,166	lactamase	beta
1553292_s_at	82,178	76,849,566	8,249,246	53,312,554	599,522	6,649,148	hypothetical protein FLJ25006	FLJ25006
1553411_s_at	637,757	76,576,195	7,379,285	4,986,025	2,364,867	23,424,182	sal-like 3 (Drosophila)	SALL3
1553694_a_at	66,888,556	6,262,543	6,858,467	547,936	56,330,504	55,045,652	phosphoinositide-3-kinase	class 2
1553960_at	6,577,735	6,509,579	71,057,343	8,053,724	83,845	7,581,351	chromosome 20 open reading frame 161	C20orf161
1554010_at	4,901,885	57,571,545	48,845,444	7,229,482	69,598,927	58,208,466	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	NDST1
1554018_at	49,470,053	29,524,887	39,733,682	7,489,345	7,447,681	7,544,478	glycoprotein (transmembrane) nmb	GPNMB
1554067_at	8,395,847	8,353,167	8,041,906	6,924,161	77,547,736	6,589,175	hypothetical protein FLJ32549	FLJ32549
1554393_a_at	4,529,337	46,366,606	44,182,415	5,819,354	6,378,269	59,305,787	arginine decarboxylase	ADC
1554638_at	6,297,524	7,241,126	5,834,323	5,358,178	4,716,244	42,433,314	zinc finger	FYVE domain containing 16
1554679_a_at	11,444,705	11,946,866	11,675,729	11,018,315	10,197,728	10,382,918	lysosomal associated protein transmembrane 4 beta	LAPTM4B
1555420_a_at	52,928,905	5,436,702	53,384,385	587,524	6,568,395	74,340,854	Kruppel-like factor 7 (ubiquitous)	KLF7
1558163_at	59,223,084	4,285,271	51,629,047	37,622,283	30,834,122	39,370,787	Peroxisome biogenesis factor 13	PEX13
1558164_s_at	7,601,044	73,385,377	76,397,657	55,579,214	54,921,937	64,522,667	Peroxisome biogenesis factor 13	PEX13
1558522_at	43,723,083	6,300,556	5,910,832	29,371,686	2,629,387	4,127,912	Membrane protein	palmitoylated 6 (MAGUK p55 subfamily member 6)
1558529_s_at	36,755,247	30,536,187	36,993,675	47,888,594	53,309,917	4,238,988	Homo sapiens	clone IMAGE:4778855
1558943_x_at	8,218,345	9,260,154	8,611,384	79,034,047	72,326,555	78,418,565	Hypothetical protein BC001610	LOC91661
1559190_s_at	68,741,417	70,991,898	7,867,108	60,059,824	4,688,512	532,162	MRNA; cDNA DKFZp313H0740 (from clone DKFZp313H0740)
1559490_at	53,749,075	6,114,231	5,037,485	4,218,795	4,408,639	37,139,122	leucine-rich repeats and calponin homology (CH) domain containing 3	LRCH3
1559965_at	9,535,375	7,613,374	8,164,786	7,000,144	5,439,853	54,353,623	CDNA clone IMAGE:4811567
1559966_a_at	753,286	52,997,074	59,593,015	42,399,464	29,551,957	34,758,554	CDNA clone IMAGE:4811567
1567628_at	26,987,386	26,376,505	27,318,587	81,064,005	4,039,969	64,288,926	CD74 antigen (invariant polypeptide of major histocompatibility complex	class II antigen-associated)
1569372_at	3,886,554	35,436,976	21,730,502	44,639,063	6,182,915	50,403,247	Homo sapiens	clone IMAGE:4998578
