Symbols/accession no.	Protein encoded/homolog	Fold change 8H/0H	24H/0H	24H/8H	Biological function	ISH confirmation	Cluster
Tgtp	T-cell-specific GTPase	3.95	59.66	15.1	Signal transduction	Fig. 2A	Cluster A
Numb	Numb gene homolog (Drosophila)	2.41	4.33	1.8	Signal transduction	N.D.	Cluster A
Bmpr1a	Bone morphogenetic protein receptor, type 1A	2.14	10.94	5.12	Signal transduction	Fig. 2G	Cluster A
Catnb	?-catenin	1.12	3.15	2.83	Signal transduction	N.D.	Cluster A
Tacstd2	Tumor-associated calcium signal transducer 2	16.48	32.1	1.95	Signal transduction	Fig. 2B	Cluster A
Tm4sf3	Transmembrane 4 superfamily member 3	3.4	10.52	3.09	Signal transduction	Fig. 2C	Cluster A
Vnn1	Vanin 1	1.45	9.81	6.75	Cell motility	Fig. 2H	Cluster A
Myh7	Myosin, heavy polypeptide 7, cardiac muscle, ?	29.41	78.48	2.67	Cell motility	Fig. 2I	Cluster A
Myhca	Myosin heavy chain, cardiac muscle, adult	1.74	3.9	2.24	Cell motility	N.D.	Cluster A
Tmod3	Tropomodulin 3	1.99	4.05	2.04	Cell motility	N.D.	Cluster A
Anxa1	Annexin A1	26.42	110.33	4.18	Inflammation	Fig. 2D	Cluster A
Anxa3	Annexin A3	19.75	35.92	1.82	Inflammation	Fig. 2J	Cluster A
S100a13	S100 calcium-binding protein A13	2.47	3.22	1.3	Inflammation	N.D.	Cluster A
Anxa2	Annexin A2	2.15	4.22	1.96	Inflammation	N.D.	Cluster A
Saa3	Serum amyloid A 3	9.36	35.14	3.75	Inflammation	Fig. 2K	Cluster A
Ager	Advanced glycosylation end product-specific receptor	0.96	3.46	3.6	Inflammation	N.D.	Cluster A
Il10rb	Interleukin 10 receptor, ?	1.68	4.02	2.4	Inflammation	N.D.	Cluster A
Cdh16	Cadherin 16	0.68	4.82	7.14	Cell adhesion	Data not shown	Cluster A
Ahnak	AHNAK nucleoprotein (desmoyokin)	8.56	24.6	2.87	Cell adhesion	N.D.	Cluster A
3732412D22Rik	Similar to LIM domain only 7	0.54	4.1	7.62	Proteolysis	N.D.	Cluster A
Ctsh	Cathepsin H	4.46	35.78	8.02	Proteolysis	Data not shown	Cluster A
Lmo7	LIM domain only 7	2.31	14.01	6.06	Proteolysis	Fig. 2L	Cluster A
Timp3	Tissue inhibitor of metalloproteinase 3	3.13	9.31	2.98	Proteolysis	Fig. 2E	Cluster A
Lrpap1	HBP44	0.55	5.05	9.13	Heparin binding	Fig. 2F	Cluster A
Perp-pending	p53 apoptosis effector related to Pmp22	8.4	12.91	1.54	Apoptosis	Fig. 2M	Cluster A
Prkdc	Protein kinase, DNA-activated, catalytic polypeptide	2.7	10.21	3.78	DNA-binding kinase	Data not shown	Cluster A
Cyp1b1	Cytochrome P450, 1b1, benz[a]anthracene-inducible	1.71	15.31	8.96	Metabolism	Fig. 2N	Cluster A
2310075C12Rik	PORIMIN (human homolog)	0.74	3.59	4.83	Cell death	Fig. 2O	Cluster A
Rex3	Reduced expression 3	1.05	0.23	0.22	Unknown	Ref.13	Cluster B
Jun	Jun oncogene	0.58	0.3	0.52	Transcription	N.D.	Cluster B
Ncl	Nucleolin	0.5	0.33	0.65	Transcription	N.D.	Cluster B
Cdkn1a	Cyclin-dependent kinase inhibitor 1A (P21)	5.83	1.91	0.33	Mitotic cell cycle	N.D.	Cluster C
Ache	Acetylcholinesterase	6.54	3.16	0.48	Mitotic cell cycle	N.D.	Cluster C
Akap8	A kinase (PRKA) anchor protein 8	3.19	1	0.31	Mitotic cell cycle	N.D.	Cluster C
Ldlr	Low density lipoprotein receptor	3.14	0.97	0.31	Lipid metabolism	N.D.	Cluster C
Hsd3b2	Hydroxysteroid dehydrogenase-2, ?<5>-3-?	3.83	1.8	0.47	Lipid metabolism	N.D.	Cluster C
Lss	Lanosterol synthase	3.4	1.54	0.45	Lipid metabolism	N.D.	Cluster C
HSL	Lipase, hormone sensitive	12.43	5.04	0.41	Lipid metabolism	N.D.	Cluster C
Cyp51	Cytochrome P450, 51	3.96	2.25	0.57	Lipid metabolism	N.D.	Cluster C
Scd1	Stearoyl-Coenzyme A desaturase 1	3.88	3	0.77	Lipid metabolism	N.D.	Cluster C
Nupr1	Nuclear protein 1	32.24	0.83	0.03	Transcription	N.D.	Cluster C
S100a6	S100 calcium-binding protein A6 (calcyclin)	3.27	3.28	1	Inflammation	N.D.	Cluster C
Atp51	ATP synthase, subunit g	0.16	0.38	2.4	Nucleotide biosynthesis	N.D.	Cluster D
Ctsz	Cathepsin Z	0.3	0.57	1.94	Endopeptidase	N.D.	Cluster D
Ccnb1	Cyclin B1	0.26	0.48	1.86	Cell cycle	N.D.	Cluster D
Sftpc	Surfactant-associated protein C	0.28	0.32	1.15	Respiratory gas exchange I	N.D.	Cluster D
