Gene name	Symbol	t-score	Expression
Cyclin D2	CCND2	4.69	Upregulated
Origin recognition complex, subunit 5-like	ORC5L	4.37	Upregulated
Histone deacetylase 8	HDAC8	3.36	Upregulated
Transforming growth factor, beta 3	TGFB3	3.30	Upregulated
Cyclin D1	CCND1	3.18	Upregulated
MAD2 mitotic arrest deficient-like 1	MAD2L1	2.89	Upregulated
SMAD, mothers against DPP homolog 3	SMAD3	2.63	Upregulated
Cyclin-dependent kinase 6	CDK6	1.62	Upregulated
Growth arrest and DNA-damage-inducible, beta	GADD45B	-7.93	Downregulated
Growth arrest and DNA-damage-inducible, alpha	GADD45A	-6.46	Downregulated
Cyclin-dependent kinase inhibitor 1C (p57^Kip2)	CDKN1C	-5.55	Downregulated
Cyclin-dependent kinase inhibitor 1B (p27^Kip1)	CDKN1B	-4.95	Downregulated
Budding uninhibited by benzimidazoles 3 homolog (yeast)	BUB3	-4.89	Downregulated
Proliferating cell nuclear antigen	PCNA	-4.83	Downregulated
Cell division cycle 14 homolog B	CDC14B	-4.62	Downregulated
Structural maintenance of chromosomes 1-like 1	SMC1L1	-4.21	Downregulated
Retinoblastoma protein 1	RB1	-2.64	Downregulated
