Gene Symbol	Gene Name	Regulated
APOLD1	Apolipoprotein L domain containing 1	Up
Atrogin-1	F-box protein 32 / Atrogin-1	Up
BCL6	B-cell CLL / lymphoma 6	Up
BTG1	B-cell translocation gene 1	Up
C1orf183	Chromosome 1 open reading frame 183	Up
C1orf63	Chromosome 1 open reading frame 63	Up
CCNG2	Cyclin G2	Up
CLK1	CDC-like kinase 1	Up
CTGF	Connective tissue growth factor	Up
DDIT3 / CHOP	DNA-damage-inducible transcript 3	Up
EIF1 / SUI1	Eukaryotic translation initiation factor 1	Up
GADD45B	Growth arrest and DNA-damage-inducible beta	Up
ID1	Inhibitor of DNA binding 1	Up
ID2B	Striated muscle contraction regulatory prot.	Up
IRF7	Interferon regulatory factor 7	Up
KIF1B	Kinesin family member 1B	Up
KLF6	Kruppel-like factor 6	Up
KLHL24	Kelch-like 24	Up
LOC85028	PNAS-123	Up
MIR	Myosin regulatory light chain interacting prot.	Up
MT1E	Metallothionein 1E	Up
PCMTD1	Protein-L-isoaspartate O-methyltransferase	Up
PHLDA1	Pleckstrin homology-like domain family A	Up
PNPLA8	Patatin-like phospholipase domain 8	Up
RNU2	RNA, U2 small nuclear	Up
SAT	Spermine N1-acetyltransferase	Up
STK31	Serine / threonine kinase 31	Up
TAF9	TAF9 RNA polymerase II	Up
TIEG	TGFÉ“ inducible early growth response	Up
TXNIP	Thioredoxin interacting protein	Up
ZBTB1	Zinc finger and BTB domain containing 1 cDNA DKFZp564C2063	Up
AMD1	S-adenosylmethionine decarboxylase 1	Down
AMIGO2	Adhesion molecule with Ig-like domain 2	Down
ATP13A3	ATPase type 13A3	Down
BAG2	BCL2-associated athanogene 2	Down
BDNF	Brain-derived neurotrophic factor	Down
BIRC3 / cIAP2	Baculoviral IAP repeat-containing 3	Down
CCL2	Chemokine (C-C motif) ligand 2	Down
CCND1	Cyclin D1	Down
CYP1B1	Cytochrome P450 subfamily I polypeptide 1	Down
DCK	Deoxycytidine kinase	Down
DIO2	Deiodinase, iodothyronine, type II	Down
DKFZP686E2158	Hypothetical protein LOC643155	Down
DKK1	Dickkopf homolog 1 (Xenopus laevis)	Down
DSCR1	Down syndrome critical region gene 1	Down
EDN1	Endothelin 1	Down
F3	Coagulation factor III	Down
FGF2	Fibroblast growth factor 2	Down
FST	Follistatin	Down
G0S2	Putative lymphocyte G0 / G1 switch gene	Down
GABPB2	GA binding protein transcription factor, É“2	Down
GBP1	Guanylate binding protein 1	Down
GBP3	Guanylate binding protein 3	Down
GLIPR1	Glioma pathogenesis-related protein	Down
GPR19	G protein-coupled receptor 19	Down
GRIK1	Glutamate receptor, ionotropic, kainate 1	Down
GRO3	GRO3 oncogene	Down
IGFBP5	Insulin-like growth factor binding protein 5	Down
IL7R	Interleukin 7 receptor	Down
ISG20L1	Interferon stimulated exonuclease	Down
LOC57090	HRPAP20 short form	Down
LTV1	LTV1 homolog (S. cerevisiae)	Down
MAT2A	Methionine adenosyltransferase II, alpha	Down
MMP3	Matrix metalloproteinase 3	Down
NAV3	Neuron navigator 3	Down
NCOA7	Nuclear receptor coactivator 7	Down
NOLA1	Nucleolar protein family A, member 1	Down
NTF3	Neurotrophin 3	Down
NXT1	NUTF-like export factor1	Down
PAK1IP1	PAK1 interacting protein 1	Down
PLAU	Plasminogen activator, urokinase	Down
PPIF	Peptidylprolyl isomerase F (cyclophilin F)	Down
PTRH2	Peptidyl-tRNA hydrolase 2	Down
PTX3	Pentaxin-related gene	Down
RGS20	Regulator of G-protein signalling 20	Down
SC4MOL	Sterol-C4-methyl oxidase-like	Down
SFRS3	Splicing factor, arginine / serine-rich 3	Down
SGNE1	Secretory granule, neuroendocrine protein 1	Down
SNK	Serum-inducible kinase	Down
STC2	Stanniocalcin 2	Down
TNFRSF11B	Tumor necrosis factor receptor 11b (OPG)	Down
TRIM16	Tripartite motif-containing 16	Down
TSLP	Thymic stromal lymphopoietin cDNA FLJ11812 fis, clone HEMBA1006364	Down
