Gene Symbol	Gene Name/Description	Relative expression Ratio RET9: RET-ve	P	HSEa
MAPKAPK2	Mitogen-activated protein kinase-activated protein kinase 2	3.39	0.003b
ST13	Suppression of tumorigenicity 13, Hsp70 interacting protein (HIP)	3.21	0.007b	+
HSPA1A	Heat shock 70 kDa protein 1	3.05	<0.001b	+
HSPA1B	Heat shock 70 kDa protein 1B	2.83	<0.001b	+
DNAJB2	DnaJ (Hsp40) homolog, subfamily B, member 2	2.55	0.046b	NA
FKBP4	FK506-binding protein 4 (immunophilin family)	2.16	0.007b	+
SCARA3	Scavenger receptor class A, member 3	2.11	<0.001b	NA
HSPA1L	Heat shock 70 kDa protein-like 1	2.06	<0.001b	+
HSPCA	Heat shock 90 kDa protein 1?	1.79	0.022b	+
HSPH1	Heat shock 105/110 kDa protein 1	1.65	0.011b	+
DNAJA1	DnaJ (Hsp40) homolog, subfamily A, member 1	1.47	<0.001b	+
HSPA8	Heat shock 70 kDa protein 8, constitutive	1.45	<0.001b	+
UBQLN2	Ubiquilin 2 (CHAP1)	1.45	0.015b	NA
AUH	AU RNA-binding protein/enoyl-Coenzme A hydratase	1.44	0.254	NA
HSPD1	Heat shock 60 kDa protein 1 (chaperonin)	1.34	0.021b	+
BAT3	HLA-B associated transcript 3, (Scythe)	1.17	0.131	NA
HSF1	Heat shock transcription factor 1	1.17	0.51	NA
HSPA2	Heat shock 70 kDa protein 2	1.15	0.432	NA
CDC37	CDC37 cell division cycle 37 homolog (S. cerevisiae)	1.14	0.030b	+
BAG1	BCL2-associated athanogene	1.07	0.201	NA
DNAJB1	DnaJ (Hsp40) homolog, subfamily B, member 1	1.04	0.63	+
RNF19	Ring finger protein 19, E3 ubiquitin ligase	0.43	0.001b	NA
DNAJC3	DnaJ (Hsp40) homolog, subfamily C, member 3 (P58IPK)	0.45	0.002b	NA
HSPA9B	Heat shock 70 kDa protein 9B (mortalin-2), constitutive	0.79	0.002b	NA
STCH	Stress 70 protein chaperone, microsome-associated, constitutive	0.83	0.151	NA
HSPE1	Heat shock 10 kDa protein 1 (chaperonin 10)	0.97	0.395	+
APG-1	Heat shock protein (hsp110 family)	0.98	0.674	NA
