Gene	Accession	Description	Fold down
MMP10	NM_002425	Matrix metalloproteinase 10	24.8
FLJ11889	AK021951	cDNA FLJ11889	21.6
JAG1	NM_000214	Jagged 1 (Alagille syndrome)	20.3
MARCKS	NM_002356	Myristoylated alanine-rich protein kinase C substrate	19.7
PSG11	NM_002785	Pregnancy specific beta-1-glycoprotein 11	16.1
FZD8	NM_031866	Frizzled homolog 8	15.9
INDO	NM_002164	Indoleamine-pyrrole 2,3 dioxygenase	15.9
AKR1C1	NM_001353	Aldo-keto reductase family 1, member C1	14.7
AKR1C3	NM_003739	Aldo-keto reductase family 1, member C3	13.1
PSG8	M30629	Pregnancy specific beta-1-glycoprotein 8	12.4
GPR126	AK075087	G protein-coupled receptor 126	12.1
AKR1C1	BC040210	Aldo-keto reductase family 1, member C1	11.9
CXorf26	NM_016500	Chromosome X open reading frame 26	11.5
PCDH7	NM_002589	BH-protocadherin (brain-heart)	11.2
EDNRB	NM_003991	Endothelin receptor type B	10.3
ADM	NM_001124	Adrenomedullin	10.3
TES	AK021575	Testis derived transcript (3 LIM domains)	8.8
BAMBI	NM_012342	BMP and activin membrane-bound inhibitor homolog	8.2
GSG1	NM_031289	Germ cell associated 1	8.1
PPIC	NM_000943	Peptidylprolyl isomerase C (cyclophilin C)	8
BCAN	BC010117	Brevican	7.8
CXorf26	NM_016500	Chromosome X open reading frame 26	7.2
CMYA3	AL833291	Cardiomyopathy associated 3	6.9
TDO2	NM_005651	Tryptophan 2,3-dioxygenase	6.9
C18orf4	NM_032160	Chromosome 18 open reading frame 4	6.8
CHRDL1	AK092245	Chordin-like 1	6.7
AKR1C1	BC040210	Aldo-keto reductase family 1, member C1	6.6
ROBO2	AK074780	Roundabout, axon guidance receptor, homolog 2	6.5
LAMA4	NM_002290	Laminin, alpha 4	6.1
ZFP42	NM_174900	Zinc finger protein 42	5.8
GPC3	NM_004484	Glypican 3	5.7
FOXG1B	NM_005249	Forkhead box G1B	5.6
HFL1	NM_002113	H factor (complement)-like 1	5.6
MEST	NM_002402	Mesoderm specific transcript homolog	5.4
NM_181847	NM_181847	Amphoterin induced gene 2	5.4
SCAP1	NM_003726	Src family associated phosphoprotein 1	5.2
CFH	BC037285	H factor 1 (complement)	5.2
SEMA6A	AK027471	Semaphorin 6A	5.2
