ID	Gene Name	Gene symbol	p value†	MLD‡	Position in cluster§
BC011969	KIAA1201 protein	KIAA1201	0.009	-2.5812	1
NM_032721	T-cell activation NFKB-like protein	TA-NFKBH	0.008	-2.2740	2
AF130093	Mitogen-activated protein kinase kinase kinase 4	MAP3K4	0.010	-1.8430	3
AF216644	Transmembrane protein vezatin	VEZATIN	0.010	-0.9751	4
NM_017877	Chromosome 2 open reading frame 18	C2orf18	0.008	-1.5660	5
NM_032966	Burkitt lymphoma receptor 1, GTP binding protein (chemokine (C-X-C motif) receptor 5)	BLR1	0.010	-0.8147	6
AK054976	Histidine triad nucleotide binding protein 1	HINT1	0.010	-1.1381	7
AK057080	Poly(A) binding protein, cytoplasmic 1	PABPC1	0.010	-0.8553	8
BC008647	Tetratricopeptide repeat domain 5	TTC5	0.009	-1.5508	9
NM_032388	051L04_Nasopharyngeal carcinoma-related protein		0.010	-2.3061	10
L05500	Adenylate cyclase 1 (brain)	ADCY1	0.010	-2.3019	11
AY028700	Sarcoglycan zeta	SGCZ	0.010	-1.5706	12
NM_057168	Wingless-type MMTV integration site family, member 16	WNT16	0.009	2.3244	13
AF131784	RAB27B, member RAS oncogene family	RAB27B	0.010	2.1292	14
AK024956	Homo sapiens, clone IMAGE:5194204, mRNA		0.009	3.7314	15
NM_002528	Nth endonuclease III-like 1 (E. coli)	NTHL1	0.005	1.6949	16
BC009467	Hypothetical protein BC009467	LOC158960	0.010	1.1374	17
NM_015271	Tripartite motif-containing 2	TRIM2	0.007	2.1136	18
AK022018	026J16_Homo sapiens cDNA FLJ11956 fis, clone HEMBB1000893		0.008	1.0538	19
NM_001166	Baculoviral IAP repeat-containing 2	BIRC2	0.010	0.6871	20
