Probe set ID	Higher group	Fold change	P	Gene name	Gene symbol
206658_at	Epithelioid	20.1	1.99e?20	Uroplakin 3B	UPK3B
219411_at	Epithelioid	2.1	6.20e?18	Engulfment and cell motility 3	ELMO3
215066_at	Epithelioid	2	3.21e?13	Protein tyrosine phosphatase, receptor type, F	PTPRF
209293_x_at	Epithelioid	3.9	8.78e?13	Inhibitor of DNA binding 4	ID4
209631_s_at	Epithelioid	2.8	3.52e?12	G protein–coupled receptor 37	GPR37
219640_at	Epithelioid	4.5	7.63e?12	Claudin 15	CLDN15
206281_at	Epithelioid	1.9	8.06e?12	Adenylate cyclase activating polypeptide 1	ADCYAP1
207790_at	Epithelioid	2.6	9.14e?12	Leucine-rich repeat containing 1	LRRC1
215425_at	Epithelioid	1.7	1.51e?11	BTG family, member 3	BTG3
200635_s_at	Epithelioid	2.9	3.55e?11	Protein tyrosine phosphatase, receptor type, F	PTPRF
210065_s_at	Epithelioid	7.9	4.61e?11	Uroplakin 1B	UPK1B
219127_at	Epithelioid	2.7	5.23e?11	Hypothetical protein MGC11242	MCG11242
205470_s_at	Epithelioid	5.1	1.32e?10	Kallikrein 11	KLK11
213050_at	Epithelioid	3.4	1.41e?10	Cordon-bleu homologue (mouse)	COBL
211712_s_at	Epithelioid	2.2	1.58e?10	Annexin A9	ANXA9
208470_s_at	Epithelioid	6.6	1.75e?10	Haptoglobin-related protein or haptoglobin	HPR/HP
205710_at	Epithelioid	3.5	1.88e?10	Low-density lipoprotein-related protein 2	LRP2
215015_at	Epithelioid	3	2.99e?10	Hypothetical protein LOC92558	LOC92558
210064_s_at	Epithelioid	7.2	3.01e?10	Uroplakin 1B	UPK1B
210761_s_at	Epithelioid	1.6	3.75e?10	Growth factor receptor-bound protein 7	GRB7
