Probeset	Gene symbol	Description	Relative Expression	P value
1075_f_at	IFNA16	interferon, alpha 16	0.67	0.0068
1130_at	MAP2K1	mitogen-activated protein kinase kinase 1	2.86	0.0006
1189_at	CDK8	cyclin-dependent kinase 8	-0.76	0.0094
1213_at	SRPK2	SFRS protein kinase 2	-0.49	0.0063
1388_g_at	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	-0.6	0.009
1397_at	MAP3K11	mitogen-activated protein kinase kinase kinase 11	0.92	0.009
1403_s_at	CCL5	chemokine (C-C motif) ligand 5	0.92	0.0004
152_f_at	HIST2H4	histone 2, H4	0.75	0.0087
1550_at	MRPL28	mitochondrial ribosomal protein L28	-0.73	0.0025
1551_g_at	MRPL28	mitochondrial ribosomal protein L28	2.29	0.0029
1652_at	PIM2	pim-2 oncogene	-1.11	0.0025
1685_at	SPHAR	S-phase response (cyclin-related)	1.17	0.0026
1722_at	MAP2K5	mitogen-activated protein kinase kinase 5	0.52	0.0008
1832_at	MCC	mutated in colorectal cancers	-0.43	0.0007
1877_g_at	---	---	1.07	0.0035
1913_at	CCNG2	cyclin G2	-1.46	0.0037
1920_s_at	CCNG1	cyclin G1	-0.81	0.0023
2017_s_at	CCND1	cyclin D1 (PRAD1: parathyroid adenomatosis 1)	-0.9	0.0003
2053_at	CDH2	cadherin 2, type 1, N-cadherin (neuronal)	-0.91	0
229_at	CEBPZ	CCAAT/enhancer binding protein zeta	2.62	0.001
278_at	NPR2	natriuretic peptide receptor B/guanylate cyclase B (atrionatriuretic peptide receptor B)	1.14	0
293_at	---	---	0.83	0.0006
299_i_at	---	---	0.49	0.0076
31315_at	IGLC2	Immunoglobulin lambda variable 3-21	-0.59	0.0091
31348_at	RFC1	replication factor C (activator 1) 1, 145kDa	0.51	0.0075
31472_s_at	CD44	CD44 antigen (homing function and Indian blood group system)	0.88	0.005
31488_s_at	PGK1	phosphoglycerate kinase 1	2.18	0.0017
31506_s_at	DEFA1 /// DEFA3	defensin, alpha 1, myeloid-related sequence /// defensin, alpha 3, neutrophil-specific	-0.73	0.001
31591_s_at	CFHL4 /// CFHL3	complement factor H-related 4 /// complement factor H-related 3	-0.44	0.009
31774_at	---	---	1.11	0.0002
31903_at	SS18L1	synovial sarcoma translocation gene on chromosome 18-like 1	-0.74	0.0086
31936_s_at	LKAP	limkain b1	-1	0.0027
31943_g_at	TULP3	tubby like protein 3	0.9	0.0022
31948_at	RPS21	ribosomal protein S21	1.83	0.0012
32038_s_at	SRP46	Splicing factor, arginine/serine-rich, 46kD	-0.71	0.0014
