Gene	Accession	FC ± SD	P Value
Loricrin	NM_000427	37.84 ± 6.52	2.21E-07
Retinol binding protein 4, plasma	NM_006744	35.81 ± 4.46	7.01E-06
S100 calcium binding protein A9 (calgranulin B)	NM_002965	4.36 ± 1.20	0.000851
G protein-coupled receptor 51	NM_005458	4.01 ± 0.74	0.00011
Cytochrome P450, family 19A, polypeptide 1	BC035714	3.96 ± 0.30	8.39E-07
Pyruvate dehydrogenase kinase, isoenzyme 4	NM_002612	3.23 ± 0.80	0.00529
Brain protein 44-like	NM_016098	3.00 ± 0.46	0.000131
Carbonic anhydrase II	Y00339	2.97 ± 0.32	0.000274
Adaptor-related protein complex 4, ? 1 subunit	NM_004722	2.79 ± 0.34	0.00291
Solute carrier family 25, member 4	NM_001151	2.73 ± 0.32	0.000195
PDZ and LIM domain 3	NM_014476	2.73 ± 0.26	3.87E-05
p21(CDKN1A)-activated kinase 6	NM_020168	2.71 ± 0.34	5.61E-05
jun B proto-oncogene	X51345	2.68 ± 0.47	0.000603
Glutaredoxin (thioltransferase)	X76648	2.55 ± 0.16	7.35E-05
Sperm-associated antigen 4	NM_003116	2.52 ± 0.58	0.00269
Solute carrier family 10, member 3 (P3 gene)	X12458	2.48 ± 0.45	0.0597
Protein tyrosine phosphatase, receptor type, H	NM_002842	2.41 ± 0.39	0.0025
Fibroblast growth factor receptor 1	AY585209	2.36 ± 0.32	0.000152
Claudin 4	NM_001305	2.35 ± 0.43	0.00133
Actin, ?, cardiac muscle	NM_005159	2.34 ± 0.45	0.0017
Protein kinase C, ?	NM_006255	2.32 ± 0.35	0.000463
Chemokine (C-C motif) ligand 15	NM_032964	2.26 ± 0.33	0.00025
Heme binding protein 1	NM_015987	2.23 ± 0.20	0.000473
Carbo.-acetylglucosamine-6-O sulfotransferase 2	NM_004267	2.13 ± 0.53	0.0162
Polymerase (DNA-directed), ? 4	NM_021173	2.13 ± 0.44	0.0403
Aquaporin 3	NM_004925	2.09 ± 0.29	0.000132
GM2 ganglioside activator	NM_000405	2.07 ± 0.46	0.008
Neural precursor cell expressed, down-regulated 9	NM_182966	2.05 ± 0.24	3.58E-06
Neuroblastoma, suppression of tumorigenicity 1	AY049783	2.04 ± 0.33	0.00414
Forkhead box O1A (rhabdomyosarcoma)	NM_002015	2.04 ± 0.47	0.00529
Retinoic acid induced 2	NM_021785	2.02 ± 0.31	0.000661
A kinase (PRKA) anchor protein 1	NM_139275	0.50 ± 0.2	0.00078
Ribosomal protein S6 kinase, 90 kDa, polypeptide 4	NM_003942	0.49 ± 0.2	0.00239
Fas (TNFRSF6)-associated via death domain	NM_003824	0.49 ± 0.1	0.00343
Cyclin D1 (PRAD1: parathyroid adenomatosis 1)	NM_053056	0.49 ± 0.2	0.000105
Nephroblastoma overexpressed gene	NM_002514	0.49 ± 0.2	0.0126
CCAAT/enhancer binding protein (C/EBP), ?	NM_005195	0.47 ± 0.1	0.00426
Phorbol-12-myristate-13-acetate-induced protein 1	NM_021127	0.44 ± 0.3	0.0963
Collagen, type XVI, ? 1	M92642	0.40 ± 0.2	0.0269
Angiopoietin-like 2	NM_012098	0.36 ± 0.2	0.0136
Homeo box D11	NM_021192	0.34 ± 0.2	0.00787
Killer cell lectin-like receptor subfamily C, member 3	BC053840	0.24 ± 0.2	0.00418
