Probe set id	Gene symbol	Expressional cluster number	Gene number in Fig.2	Expression in Barretts relative to the normal epithelium [Log2 R (B/N)]	Expression in ADC relative to the normal epithelium [Log2 R (T/N)]
205927_s_at	CTSE	1	1	4.55	4.83
219580_s_at	TMC5	1	2	4.21	5.46
210143_at	ANXA10	1	3	5.38	4.62
203824_at	TM4SF3	1	4	2.73	3.07
203559_s_at	ABP1	1	5	3.28	3.64
208161_s_at	ABCC3	1	6	2.43	2.7
204714_s_at	F5	1	7	2.43	3.27
209301_at	CA2	1	8	2.56	1.94
219682_s_at	TBX3	1	9	2.93	1.99
64408_s_at	CLN6	1	10	3.03	2.82
201666_at	TIMP1	1	11	1.49	2.04
220974_x_at		1	12	1.34	1.34
219327_s_at	GPRC5C	1	13	1.14	2.05
210095_s_at	IGFBP3	1	14	1.55	2.57
219956_at	GALNT6	1	15	2.77	2.27
202910_s_at	CD97	1	16	1.57	2.08
209774_x_at	CXCL2	1	17	1.48	1.65
207522_s_at	ATP2A3	1	18	2.44	1.43
202267_at	LAMC2	1	19	2.11	3.01
210314_x_at	TNFSF13	1	20	2.42	3.18
219795_at	SLC6A14	1	21	3.03	3.49
202625_at	LYN	1	22	2.09	2.4
203058_s_at	PAPSS2	1	23	1.19	1.43
210754_s_at	LYN	1	24	1.56	1.54
222303_at	ETS2	1	25	1.74	0.96
220322_at	IL1F9	1	26	1.93	0.07
205668_at	LY75	1	27	1.16	1.8
204363_at	F3	1	28	1.11	0.03
203510_at	MET	1	29	2.39	3.57
214235_at	CYP3A5	1	30	2.08	2.59
202820_at	AHR	1	31	1.86	2.59
210664_s_at	TFPI	1	32	1.17	1.33
205289_at	BMP2	1	33	1.62	2.05
201656_at	ITGA6	1	34	1.79	1.51
215177_s_at	ITGA6	1	35	1.4	1.02
221059_s_at	CHST6	1	36	2.43	3.02
205067_at	IL1B	1	37	2.42	0.84
210845_s_at	PLAUR	1	38	2.15	2.51
211924_s_at	PLAUR	1	39	1.99	2.27
206467_x_at	TNFRSF6B	1	40	1.83	2.44
209417_s_at	IFI35	1	42	1.28	2.04
201596_x_at	KRT18	1	43	1.62	1.83
204017_at	KDELR3	1	44	1.98	2.32
204989_s_at	ITGB4	1	45	1.18	1.16
207265_s_at	KDELR3	1	46	1.34	1.41
202831_at	GPX2	1	47	1.31	1.84
201189_s_at	ITPR3	1	48	1.36	1.71
202668_at	EFNB2	1	49	1.68	1.84
212282_at	MAC30	1	50	1.34	2.66
212281_s_at	MAC30	1	51	1.41	2.67
212279_at	MAC30	1	52	1	2.19
208829_at	TAPBP	1	53	0.89	1.69
211529_x_at	HLA-G	1	54	0.85	1.35
211911_x_at	HLA-B	1	55	0.93	1.34
208729_x_at	HLA-B	1	56	0.78	1.18
214459_x_at	HLA-C	1	57	0.86	1.23
203857_s_at	PDIR	1	58	0.89	1.09
211528_x_at	HLA-G	1	59	0.81	1.24
202737_s_at	LSM4	1	60	0.53	1.38
201063_at	RCN1	1	61	0.75	1.82
209762_x_at	SP110	1	62	0.63	1.31
205205_at	RELB	1	63	0.87	1.16
213258_at	TFPI	1	64	0.99	1.19
210927_x_at	JTB	1	65	0.46	1.14
218355_at	KIF4A	1	66	1.04	1.85
211048_s_at	ERP70	1	67	0.86	1.62
200699_at	KDELR2	1	68	0.94	1.69
212761_at	TCF7L2	1	69	0.77	1.24
201329_s_at	ETS2	1	70	1.01	0.17
200037_s_at	CBX3	1	71	0.34	1.47
211208_s_at	CASK	1	72	0.65	1.33
210052_s_at	TPX2	1	73	0.64	1.55
204641_at	NEK2	1	74	0.68	1.95
204670_x_at	HLA-DRB3	1	75	0.63	1.76
209312_x_at	HLA-DRB3	1	76	0.77	1.8
208306_x_at	HLA-DRB3	1	77	0.78	1.83
215193_x_at	HLA-DRB3	1	78	0.88	1.85
210982_s_at	HLA-DRA	1	79	0.73	1.53
208894_at	HLA-DRA	1	80	0.53	1.27
211126_s_at	CSRP2	2	81	-0.77	-1.84
207030_s_at	CSRP2	2	82	-0.8	-1.63
203659_s_at	RFP2	2	83	-0.81	-1.26
221960_s_at	RAB2	2	84	-0.71	-1.53
202582_s_at	RANBP9	2	85	-0.7	-1.61
209882_at	RIT1	2	86	-0.85	-1.85
201454_s_at	NPEPPS	2	87	-0.71	-1.55
204119_s_at	ADK	2	88	-0.75	-1.59
208771_s_at	LTA4H	2	89	-0.51	-1.4
200606_at	DSP	2	90	-0.32	-1.66
213572_s_at	SERPINB1	2	91	-0.39	-2.3
212268_at	SERPINB1	2	92	-0.38	-1.63
202814_s_at	HIS1	2	93	-0.46	-1.27
200697_at	HK1	2	94	-0.54	-1.47
208384_s_at	MID2	2	95	-0.66	-1.47
201192_s_at	PITPN	2	96	-0.6	-1.54
203081_at	CTNNBIP1	2	97	-0.58	-1.67
201161_s_at	CSDA	2	98	-0.54	-1.57
211749_s_at	VAMP3	2	99	-0.39	-1.23
209157_at	DNAJA2	2	100	-0.6	-1.33
208951_at	ALDH7A1	2	101	-0.71	-1.4
208950_s_at	ALDH7A1	2	102	-0.8	-1.47
201337_s_at	VAMP3	2	103	-0.62	-1.7
201612_at	ALDH9A1	2	104	-0.85	-1.56
41644_at	SASH1	2	105	-0.65	-2.01
213236_at	SASH1	2	106	-1.08	-2.48
210094_s_at	PARD3	2	107	-0.44	-1.18
221526_x_at	PARD3	2	108	-0.63	-1.18
214040_s_at	GSN	2	109	-0.93	-2.37
202054_s_at	ALDH3A2	2	110	-1.05	-1.7
202053_s_at	ALDH3A2	2	111	-1.02	-2.19
209466_x_at	PTN	2	112	-1.43	-2.06
201041_s_at	DUSP1	2	113	0.22	-1.11
201044_x_at	DUSP1	2	114	-0.11	-1.59
