Gene	Accession #	TB 72h	MPA 72h
polo-like kinase 4 (Drosophila) NM_014264	Z25433	-8.2	-3.1
cell division cycle associated 1	AF326731	-7.7	-2.1
cell division cycle 25A	AY137580	-7.7	-2.4
CHK1 checkpoint homolog (S. pombe)	NM_001274	-7.7	-2.2
CDC6 cell division cycle 6 homolog (S. cerevisiae)	NM_001254	-7.4	-2.1
DNA replication complex GINS protein PSF2	BC003186	-7.4	-3.4
MAD2 mitotic arrest deficient-like 1 (yeast)	AF394735	-7.4	-2.3
cyclin A2	NM_001237	-7.3	-2.8
replication factor C (activator 1) 3, 38kDa	NM_002915	-7.3	-2
MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	AI859865	-7.2	-2.4
kinetochore associated 2	NM_006101	-6.8	-2
chromosome condensation protein G	NM_022346	-6.2	-2.9
antigen identified by monoclonal antibody Ki-67	AU132185	-6.1	-2.1
MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	NM_006739	-6	-3.3
G-2 and S-phase expressed 1	NM_016426	-5.8	-2
S-phase kinase-associated protein 2 (p45)	BC001441	-5.6	-6.9
serine/threonine kinase 6	NM_003158	-5.4	-2.2
antigen identified by monoclonal antibody Ki-67	BF001806	-5.3	-2.4
kinesin family member 11	NM_004523	-5.3	-2.7
baculoviral IAP repeat-containing 5 (survivin)	AA648913	-5.3	-2.3
BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	AF043294	-5.2	-3.1
kinesin family member 2C	AY026505	-5.2	-2.1
NIMA (never in mitosis gene a)-related kinase 2	NM_002497	-5	-2.3
kinesin-like 7	NM_020242	-5	-2.1
CDC20 cell division cycle 20 homolog (S. cerevisiae)	NM_001255	-5	-2.1
cyclin B1	N90191	-4.9	-3
insulin-like growth factor binding protein 4	NM_001552	-4.8	-6.1
SMC2 structural maintenance of chromosomes 2-like 1 (yeast)	NM_006444	-4.7	-2.3
cell division cycle 25C	NM_001790	-4.5	-3
deoxythymidylate kinase (thymidylate kinase)	NM_012145	-4.1	-2.8
high-mobility group box 1 NM_002128	N92507	-4.1	-4.6
cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	NM_001262	-4.1	-4.3
chromatin assembly factor 1, subunit A (p150)	NM_005483	-4	-6.2
MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	NM_005915	-3.9	-2
CDC45 cell division cycle 45-like (S. cerevisiae)	NM_003504	-3.9	-3.4
polymerase (DNA directed), epsilon 3 (p17 subunit)	BC004170	-3.9	-2.7
transcription factor Dp-1 NM_007111	AI950069	-3.8	-4.2
parathyroid hormone-like hormone	BC005961	-3.7	-3.4
chromosome condensation-related SMC-associated protein 1	AK022511	-3.6	-2.3
M-phase phosphoprotein 1	NM_016195	-3.5	-2.1
cell division cycle 2, G1 to S and G2 to M	AA749427	-3.4	-2.3
glioma-amplified sequence-41	NM_006530	-3.4	-2.2
CHK1 checkpoint homolog (S. pombe)	NM_001274	-3.3	-2.6
kinesin family member 22	AC_002301	-3.2	-2.4
polo-like kinase 1 (Drosophila)	NM_005030	-3	-2.1
primase, polypeptide 2A, 58kDa	NM_000947	-3	-2
M-phase phosphoprotein 9	NM_022782	-3	-2.2
transcription factor A, mitochondrial	BE552470	-2.9	-3
CSE1 chromosome segregation 1-like (yeast)	AF053640	-2.8	-2
Nijmegen breakage syndrome 1 (nibrin)	AF049895	-2.8	-2.4
origin recognition complex, subunit 5-like (yeast)	NM_002553	-2.5	-2.2
interleukin enhancer binding factor 3, 90kDa	BG032366	-2.5	-3.3
hepatoma-derived growth factor, related protein 3	BE703418	-2.4	-2.1
chromosome condensation 1	NM_001269	-2.4	-2.7
cell division cycle 25C	AF277724	-2.4	-2.4
SET translocation (myeloid leukemia-associated)	Z95126	-2.3	-4
Wilms tumor 1	NM_024426	-2.3	-2.7
chondroitin sulfate proteoglycan 6 (bamacan)	AI373676	-2.3	-2.6
polybromo 1	AF197569	-2.3	-2.2
RAN, member RAS oncogene family	BF112006	-2.2	-2
cullin 2	U83410	-2.2	-2
RNA binding motif protein 14	NM_006328	-2.2	-2.2
stromal antigen 1	AW168948	-2.2	-2.2
deleted in lymphocytic leukemia, 1	NM_005887	-2.2	-3
putative endoplasmic reticulum multispan transmembrane protein	BF475369	-2.2	-2.7
sterile alpha motif and leucine zipper containing kinase AZK	AW069181	-2.2	-3
replication factor C (activator 1) 5, 36.5kDa	BG260658	-2.2	-2.2
proliferation-associated 2G4, 38kDa	AL136460	-2	-2.3
