E/PS	E/MMT	UniGene	Gene	Map	Description
8.027	19.501	Hs.104696	KIAA1324	1p13.3-p13.2	Maba1
6.279	5.01	Hs.420036	GAD1	2q31	Glutamate decarboxylase 1 (brain, 67 kDa)
5.819	19.348	Hs.115838		16p13.11	Homo sapiens cDNA FLJ44282 fis, clone TRACH2003516
5.745	9.057	Hs.82961	TFF3	21q22.3	Trefoil factor 3 (intestinal)
5.603	16.175	Hs.226391	AGR2	7p21.3	Anterior gradient 2 homologue (Xenopus laevis)
4.989	8.53	Hs.155651	FOXA2	20p11	Forkhead box A2
4.627	8.343	Hs.48403	FLJ10847	17p11.2	Hypothetical protein FLJ10847
4.204	4.452	Hs.46452	SCGB2A2	11q13	Secretoglobin, family 2A, member 2
3.807	8.202	Hs.24879	PPAP2C	19p13	Phosphatidic acid phosphatase type 2C
3.784	8.29	Hs.145807	TMC5	16p13.11	Transmembrane channel–like 5
3.692	5.524	Hs.104696	KIAA1324	1p13.3-p13.2	Maba1
3.617	3.865	Hs.99348	DLX5	7q22	Distal-less homeo box 5
3.406	7.984	Hs.200286	DKFZp547I048	1p31.1	Hypothetical protein DKFZp547I048
3.223	6.239	Hs.6168	KIAA0703	16q24.1	KIAA0703 gene product
3.185	4.521	Hs.158857	RASSF6	4q21.21	Ras association (RalGDS/AF-6) domain family 6
3.172	4.746	Hs.445072	ARGBP2	4q35.1	Arg/Abl-interacting protein ArgBP2
3.107	3.655	Hs.89404	MSX2	5q34-q35	Msh homeo box homologue 2 (Drosophila)
2.633	4.25	Hs.512682	CEACAM1	19q13.2	Carcinoembryonic antigen–related cell adhesion molecule 1
2.589	3.198	Hs.288240	IL20RA	6q22.33-q23.1	Interleukin 20 receptor ?
2.572	8.822	Hs.116992	HGD	3q21-q23	Homogentisate 1,2-dioxygenase (homogentisate oxidase)
2.547	2.755	Hs.211587	PLA2G4A	1q25	Phospholipase A2, group IVA (cytosolic, calcium-dependent)
2.487	2.187	Hs.306278	CD44	11p13	CD44 antigen (homing function and Indian blood group system)
