Cluster	RefSeq no.	Symbol	Gene name and type	Affymetrix	expression	Mapped	Function
AJ010108	NM_021515	Ak1	adenylate kinase 1	-2.075	up	Yes	Cell cycle, growth and maintenance, apoptosis
U00937	NM_007836	Gadd45a	growth arrest and DNA-damage-inducible 45 alpha	-0.6	up	Yes	Cell cycle, growth and maintenance, apoptosis
AW048937	NM_007669	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	-2.8	up	Yes	Cell cycle, growth and maintenance, apoptosis
U09507	NM_007669	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	-1.325	up	Yes	Cell cycle, growth and maintenance, apoptosis
X61452	NM_011129	4-Sep	septin 4	-2.5	NA	NA	Cell cycle, growth and maintenance, apoptosis
AF091432	NM_009830	Ccne2	cyclin E2	1.2	down	Yes	Cell cycle, growth and maintenance, apoptosis
X75483	NM_009828	Ccna2	cyclin A2	1.2	up	Yes	Cell cycle, growth and maintenance, apoptosis
L49507	NM_009831	Ccng1	cyclin G1	-2.65	up	Yes	Cell cycle, growth and maintenance, apoptosis
L29480	NM_173169	Stk18	serine/threonine kinase 18	1.15	NA	NA	Cell cycle, growth and maintenance, apoptosis
X69620	XM_148966	Inhbb	inhibin beta-B	-5.5	NA	NA	Cell cycle, growth and maintenance, apoptosis
U20735	NM_008416	Junb	Jun-B oncogene	-1.45	up	Yes	Cell cycle, growth and maintenance, apoptosis
J04596	NM_008176	Cxcl1	chemokine (C-X-C motif) ligand 1	-2.125	up	Yes	Cell cycle, growth and maintenance, apoptosis
J04596	NM_008176	Cxcl1	chemokine (C-X-C motif) ligand 1	-2.275	up	Yes	Cell cycle, growth and maintenance, apoptosis
X71922	NM_010514	Igf2	insulin-like growth factor 2	-1.025	up	Yes	Cell cycle, growth and maintenance, apoptosis
U09504	NM_178060	Thra	thyroid hormone receptor alpha	1.2	NA	NA	Cell cycle, growth and maintenance, apoptosis
U88328	NM_007707	Socs3	suppressor of cytokine signaling 3	-2.4	up	Yes	Cell cycle, growth and maintenance, apoptosis
D76440	NM_010882	Ndn	necdin	1.525	NA	Yes	Cell cycle, growth and maintenance, apoptosis
L22472	NM_007527	Bax	Bcl2-associated X protein	-0.95	up	Yes	Cell cycle, growth and maintenance, apoptosis
M83649	NM_007987	Tnfrsf6	tumor necrosis factor receptor superfamily, member 6	-2.425	up	Yes	Cell cycle, growth and maintenance, apoptosis
M83649	NM_007987	Tnfrsf6	tumor necrosis factor receptor superfamily, member 6	-1.475	up	Yes	Cell cycle, growth and maintenance, apoptosis
X54542	NM_031168	Il6	interleukin 6	-1.25	up or down	Yes	Cell cycle, growth and maintenance, apoptosis
X82786	XM_133912	Mki67	antigen identified by monoclonal antibody Ki 67	1.5	up	Yes	Cell cycle, growth and maintenance, apoptosis
AL021127	NM_019405	Cetn2	centrin 2	-1.8	NA	NA	Cell adhesion, signal transduction and cell-cell signaling
AF064749	NM_009935	Col6a3	procollagen, type VI, alpha 3	1.45	up	Yes	Cell adhesion, signal transduction and cell-cell signaling
X52046	NM_009930	Col3a1	procollagen, type III, alpha 1	1.175	up	Yes	Cell adhesion, signal transduction and cell-cell signaling
X66976	NM_007739	Col8a1	procollagen, type VIII, alpha 1	1.65	NA	NA	Cell adhesion, signal transduction and cell-cell signaling
D38162	NM_007729	Col11a1	procollagen, type XI, alpha 1	1.325	NA	NA	Cell adhesion, signal transduction and cell-cell signaling
Z35168	XM_136081	Col4a5	procollagen, type IV, alpha 5	1.175	up	Yes	Cell adhesion, signal transduction and cell-cell signaling
L19932	NM_009369	Tgfbi	transforming growth factor, beta induced	-2.625	up	Yes	Cell adhesion, signal transduction and cell-cell signaling
L07803	NM_011581	Thbs2	thrombospondin 2	-1.05	up	Yes	Cell adhesion, signal transduction and cell-cell signaling
X13986	NM_009263	Spp1	secreted phosphoprotein 1	-1.475	up	Yes	Cell adhesion, signal transduction and cell-cell signaling
AF100778	NM_016873	Wisp2	WNT1 inducible signaling pathway protein 2	1.375	NA	NA	Cell adhesion, signal transduction and cell-cell signaling
M27960	NM_010557	Il4ra	interleukin 4 receptor, alpha	-1.5	NA	NA	Cell adhesion, signal transduction and cell-cell signaling
L32838	NM_031167	Il1rn	interleukin 1 receptor antagonist	-3.225	up	Yes	Cell adhesion, signal transduction and cell-cell signaling
X63099	NM_008126	Gjb3	gap junction membrane channel protein beta 3	2.6	NA	NA	Cell adhesion, signal transduction and cell-cell signaling
U27267	NM_009141	Cxcl5	chemokine (C-X-C motif) ligand 5	-1.875	NA	NA	Cell adhesion, signal transduction and cell-cell signaling
U49513	NM_011338	Ccl9	chemokine (C-C motif) ligand 9	-1.925	NA	NA	Cell adhesion, signal transduction and cell-cell signaling
X77952	NM_007932	Eng	endoglin	1.175	up	Yes	Cell adhesion, signal transduction and cell-cell signaling
AJ243964	NM_015814	Dkk3	dickkopf homolog 3 (Xenopus laevis)	1.225	NA	NA	Cell adhesion, signal transduction and cell-cell signaling
D78382	NM_009427	Tob1	transducer of ErbB-2.1	-1.425	NA	NA	Cell adhesion, signal transduction and cell-cell signaling
AJ009862	NM_011577	Tgfb1	transforming growth factor, beta 1	-2.85	up	Yes	Cell adhesion, signal transduction and cell-cell signaling
U74079	NM_012030	Slc9a3r1	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulator 1	-1.475	NA	NA	Cell adhesion, signal transduction and cell-cell signaling
