Probe ID	Vector only signal	Clone 21 only signal	Fold change	Description
201009_s_at	641.3	53.5	12.5	Up-regulated by 1,25-dihydroxyvitamin D-3
206662_at	197.5	16.9	11.8	Glutaredoxin (thioltransferase)
201010_s_at	757.9	71.3	10.5	Up-regulated by 1,25-dihydroxyvitamin D-3
214599_at	311.7	29.6	10.5	Involucrin
202363_at	1,269.30	131.4	9.7	Testican-1 mRNA
203440_at	369.1	46.8	7.9	Cadherin 2, type 1, N-cadherin (neuronal)
201008_s_at	774.7	107	7.2	Up-regulated by 1,25-dihydroxyvitamin D-3
207826_s_at	948.1	146.3	6.5	Inhibitor of DNA binding 3, dominant-negative helix-loop-helix protein
219274_at	132.8	22.2	6	Transmembrane 4 superfamily member (tetraspan NET-2)
201426_s_at	2,733	504.3	5.4	Vimentin
205822_s_at	200.3	39.6	5.1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)
209122_at	1,826.50	368.8	5	Adipose differentiation-related protein
207935_s_at	142.4	29.4	4.9	Keratin 13
