ProbeSetID	Symbol	Cytoband	strWlcxn	P-value	FDR
209026_x_at	TUBB	6p21.33	5.13394871	2.84E-07	0.0041
211714_x_at	TUBB	6p21.33	5.035663656	4.76E-07	0.0041
201198_s_at	PSMD1	2q37.1	4.920034181	8.65E-07	0.0041
202334_s_at	UBE2B	5q23-q31	-4.920034181	8.65E-07	0.0041
207895_at	NAALADL1	11q12	-4.908471233	9.18E-07	0.0041
222281_s_at	C1orf186	1q32.1	-4.8275306	1.38E-06	0.0051
210592_s_at	SAT1	Xp22.1	-4.73502702	2.19E-06	0.0057
200052_s_at	ILF2	1q21.3	4.717682599	2.39E-06	0.0057
211814_s_at	CCNE2	8q22.1	4.703228914	2.56E-06	0.0057
200755_s_at	CALU	7q32	4.665649335	3.08E-06	0.0057
214845_s_at	CALU	7q32	4.659867861	3.16E-06	0.0057
203039_s_at	NDUFS1	2q33-q34	4.636741966	3.54E-06	0.0057
214475_x_at	CAPN3	15q15.1-q21.1	-4.636741966	3.54E-06	0.0057
202156_s_at	CUGBP2	10p13	-4.619397545	3.85E-06	0.0057
209056_s_at	CDC5L	6p21	4.619397545	3.85E-06	0.0057
211890_x_at	CAPN3	15q15.1-q21.1	-4.573145754	4.80E-06	0.0061
209882_at	RIT1	1q22	4.567364281	4.94E-06	0.0061
210944_s_at	CAPN3	15q15.1-q21.1	-4.567364281	4.94E-06	0.0061
217770_at	PIGT	20q12-q13.12	4.538456912	5.67E-06	0.0066
1053_at	RFC2	7q11.23	4.52111249	6.15E-06	0.0068
203455_s_at	SAT1	Xp22.1	-4.492205122	7.05E-06	0.0071
202487_s_at	H2AFV	7p13	4.480642174	7.44E-06	0.0071
201452_at	RHEB	7q36	4.477751437	7.54E-06	0.0071
218187_s_at	C8orf33	8q24.3	4.4748607	7.65E-06	0.0071
209188_x_at	DR1	1p22.1	4.451734805	8.52E-06	0.0073
201199_s_at	PSMD1	2q37.1	4.440171858	8.99E-06	0.0073
208310_s_at	FSTL1	3q13.33	4.434390384	9.23E-06	0.0073
220840_s_at	C1orf112	1q24.2	4.434390384	9.23E-06	0.0073
203812_at	SLIT3	5q35	-4.417045963	1.00E-05	0.0077
202107_s_at	MCM2	3q21	4.399701541	1.08E-05	0.0077
201897_s_at	CKS1B	1q21.2	4.393920067	1.11E-05	0.0077
203329_at	PTPRM	18p11.2	-4.388138594	1.14E-05	0.0077
202157_s_at	CUGBP2	10p13	-4.376575646	1.21E-05	0.0077
202240_at	PLK1	16p12.1	4.376575646	1.21E-05	0.0077
204243_at	RLF	1p32	4.376575646	1.21E-05	0.0077
214550_s_at	TNPO3	7q32.1	4.353449751	1.34E-05	0.0083
203845_at	PCAF	3p24	-4.324542382	1.53E-05	0.0092
215227_x_at	ACP1	2p25	4.318760908	1.57E-05	0.0092
202335_s_at	UBE2B	5q23-q31	-4.295635013	1.74E-05	0.0095
201453_x_at	RHEB	7q36	4.28985354	1.79E-05	0.0095
209326_at	SLC35A2	Xp11.23-p11.22	4.28985354	1.79E-05	0.0095
203091_at	FUBP1	1p31.1	4.284072066	1.84E-05	0.0095
210007_s_at	GPD2	2q24.1	4.278290592	1.88E-05	0.0095
222253_s_at	DKFZP434P211	22q11.22	-4.278290592	1.88E-05	0.0095
203270_at	DTYMK	2q37.3	4.266727644	1.98E-05	0.0095
221591_s_at	FAM64A	17p13.2	4.263836908	2.01E-05	0.0095
210821_x_at	CENPA	2p24-p21	4.246492486	2.17E-05	0.0095
204667_at	FOXA1	14q12-q13	4.243601749	2.20E-05	0.0095
208799_at	PSMB5	14q11.2	4.243601749	2.20E-05	0.0095
211594_s_at	MRPL9	NA	4.243601749	2.20E-05	0.0095
218903_s_at	OBFC2B	12q13.2	4.237820276	2.26E-05	0.0095
201127_s_at	ACLY	17q12-q21	4.226257328	2.38E-05	0.0095
201236_s_at	BTG2	1q32	-4.220475854	2.44E-05	0.0095
211505_s_at	STAU1	20q13.1	4.208912907	2.57E-05	0.0095
213646_x_at	TUBA1A	12q12-q14.3	4.208912907	2.57E-05	0.0095
213937_s_at	FTSJ1	Xp11.23	4.208912907	2.57E-05	0.0095
211858_x_at	GNAS	20q13.3	4.200240696	2.67E-05	0.0095
203119_at	CCDC86	11q12.2	4.197349959	2.70E-05	0.0095
201714_at	TUBG1	17q21	4.191568485	2.77E-05	0.0095
