GeneBank Accession 	Gene Description 	Symbol 	Normal Mean 	Tumor Mean 	Fold Change 	P value 	Functional Category
D17291	regenerating protein I beta	REG1B	6286	13	-499.46	0.000095	Cell Growth/Division 
X67318	carboxypeptidase A1	CPA1	3928	121	-32.57	0.003205	Cell Growth/Division 
AI763065	regenerating islet-derived 1 alpha	REG1A	5641	334	-16.88	0.000001	Cell Growth/Division 
D29990	solute carrier family 7, member 2	SLC7A2	2988	445	-6.72	0.002204	Cell Growth/Division 
AB017430	kinesin-like 4	KIFF22	1223	316	-3.87	0.000177	Cell Growth/Division 
Z25884	chloride channel 1	CLCN1	2511	655	-3.84	0.00013	Cell Growth/Division 
X81438	amphiphysin	AMPH	2686	752	-3.57	0.000002	Cell Growth/Division 
L03785	myosin, light polypeptide 5	MYL5	207	59	-3.51	0.000233	Cell Growth/Division 
W28062	guanine nucleotide-exch. Prot. 2	ARFGEF2	66	19	-3.46	0.003602	Cell Growth/Division 
X52486	uracil-DNA glycosylase 2	UNG2	2555	756	-3.38	0.000514	Cell Growth/Division 
M81933	cell division cycle 25A	CDC25A	312	96	-3.25	0.000005	Cell Growth/Division 
M69136	chymase 1	CMA1	360	115	-3.13	0.004413	Cell Growth/Division 
U90543	butyrophilin	BTN2A1	685	226	-3.04	0.000023	Cell Growth/Division 
X69086	utrophin	UTRN	1325	457	-2.9	0.000011	Cell Growth/Division 
AF039241	histone deacetylase 5	HDAC5	1124	393	-2.86	0.000319	Cell Growth/Division 
U49392	allograft inflammatory factor 1	AIF1	165	58	-2.82	0.000105	Cell Growth/Division 
U81992	pleiomorphic adenoma gene-like 1	PLAGL1	330	118	-2.8	0.004717	Cell Growth/Division 
L26336	heat shock 70kD protein 2	HSPA2	90	32	-2.79	0.000689	Cell Growth/Division 
F27891	cytochrome c oxidase subunit VIa	COX6A2	872	313	-2.79	0.000342	Cell Growth/Division 
D87673	heat shock transcription factor 4	HSF4	1964	721	-2.73	0.000453	Cell Growth/Division 
X97795	RAD54-like	RAD54L	392	144	-2.72	0.001345	Cell Growth/Division 
X92689	UDP-N-acetyl-alpha-D-galactosamine	GALNT3	80	32	-2.5	0.000243	Cell Growth/Division 
Y08683	carnitine palmitoyltransferase I	CPT1B	1038	420	-2.47	0.000573	Cell Growth/Division 
U40622	X-ray repair complementing defective repair 4	XRCC4	177	72	-2.45	0.000678	Cell Growth/Division 
U64315	excision repair, complementation group 4	ERCC4	2122	868	-2.44	0.000045	Cell Growth/Division 
AB020337	beta 1,3-galactosyltransferase	B3GALT5	1489	635	-2.34	0.002613	Cell Growth/Division 
U40152	origin recognition complex	ORC1L	3671	1702	-2.16	0.001425	Cell Growth/Division 
M10943	metallothionein 1F	MT1F	5691	2653	-2.14	0.001707	Cell Growth/Division 
X79882	major vault protein	MVP	758	376	-2.02	0.001719	Cell Growth/Division 
AF035960	transglutaminase 5	TGM5	3097	1542	-2.01	0.002951	Cell Growth/Division 
S81914	immediate early response 3	IER3	2209	480	-4.6	0.000307	Cell Death/Apoptosis 
D80007	programmed cell death 11	PDCD11	457	129	-3.55	0.002358	Cell Death/Apoptosis 
AF013956	chromobox homolog 4	CBX4	1599	492	-3.25	0.00034	Cell Death/Apoptosis 
U33284	protein tyrosine kinase 2 beta	PTK2B	693	237	-2.93	0.000763	Cell Death/Apoptosis 
U90919	likely partner of ARF1	APA1	2687	1021	-2.63	0.000015	Cell Death/Apoptosis 
X57110	Cas-Br-M retroviral transforming	CBL	1889	784	-2.41	0.000033	Cell Death/Apoptosis 
AL050161	pro-oncosis receptor	PORIMIN	1178	497	-2.37	0.00031	Cell Death/Apoptosis 
U40380	presenilin 1	PSEN1	1301	569	-2.29	0.00012	Cell Death/Apoptosis 
D83699	harakiri, BCL2 interacting protein	HRK	768	338	-2.27	0.001321	Cell Death/Apoptosis 
U07563	v-abl viral oncogene homolog 1	ABL1	1415	631	-2.24	0.000248	Cell Death/Apoptosis 
M95712	v-raf oncogene homolog B1	BRAF	338	157	-2.16	0.004207	Cell Death/Apoptosis 
M16441	lymphotoxin alpha	LTA	2106	985	-2.14	0.000239	Cell Death/Apoptosis 
AF035444	pleckstrin homology-like domain, family A, member 2	PHLDA2	334	166	-2.01	0.001759	Cell Death/Apoptosis 
J00306	somatostatin	SST	7701	284	-27.09	0	Signal Transduction 
AI636761	somatostatin	SST	7224	598	-12.09	0.000001	Signal Transduction 
AB011143	GRB2-associated binding protein 2	GAB2	2237	402	-5.57	0.001816	Signal Transduction 
M93056	serine (or cysteine) proteinase inhibitor	SERPINB1	505	105	-4.8	0.004637	Signal Transduction 
X68830	islet amyloid polypeptide	IAPP	2231	477	-4.68	0.001221	Signal Transduction 
AB029014	RAB6 interacting protein 1	RAB6IP1	824	181	-4.56	0.000155	Signal Transduction 
AI198311	neuropeptide Y	NPY	610	154	-3.96	0.004817	Signal Transduction 
M28210	member RAS oncogene family	RAB3A	2566	672	-3.82	0.000048	Signal Transduction 
J04040	glucagon	GCG	8620	2351	-3.67	0.000396	Signal Transduction 
AF030335	purinergic receptor P2Y	P2RY11	2314	680	-3.4	0.000058	Signal Transduction 
M29335	major histocompatibility complex	HLA-DOA	906	268	-3.39	0.00159	Signal Transduction 
L38517	Indian hedgehog homolog	IHH	3013	897	-3.36	0.000055	Signal Transduction 
U95367	gamma-aminobutyric acid A receptor, pi	GABRP	668	202	-3.3	0.000837	Signal Transduction 
W28558	pleiotropic regulator 1	PLRG1	704	216	-3.26	0.000068	Signal Transduction 
L08485	gamma-aminobutyric acid A receptor, alpha 5	GABRA5	342	107	-3.2	0.000336	Signal Transduction 
AF004231	leukocyte immunoglobulin-like receptor	LILRB2	93	30	-3.08	0.001105	Signal Transduction 
AF055033	insulin-like growth factor binding protein 5	IGFBP5	126	43	-2.96	0.000257	Signal Transduction 
AJ010119	ribosomal protein S6 kinase	RPS6KA4	1532	522	-2.94	0.000201	Signal Transduction 
U46194	Human renal cell carcinoma antigen	RAGE	2057	754	-2.73	0.000324	Signal Transduction 
L13858	son of sevenless homolog 2	SOS2	964	354	-2.72	0.000268	Signal Transduction 
Z29572	tumor necrosis factor receptor superfamily	TNFRSF17	184	68	-2.69	0.000178	Signal Transduction 
U01134	fms-related tyrosine kinase 1	FLT1	910	379	-2.4	0.003257	Signal Transduction 
D78156	RAS p21 protein activator 2	RASA2	327	144	-2.26	0.002332	Signal Transduction 
U77783	glutamate receptor	GRIN2D	518	240	-2.15	0.001379	Signal Transduction 
D49394	5-hydroxytryptamine receptor 3A	HTR3A	197	98	-2.02	0.002493	Signal Transduction 
Z30425	nuclear receptor subfamily 1, group I, member 3	NR1I3	1008	356	-2.83	0.000329	Nucleic Acid Binding 
U18760	nuclear factor I/X	NFIX	5796	2216	-2.62	0.000711	Nucleic Acid Binding 
