Probe Set	EMC Average	Non-EMC Average	Fold Difference	Higher Group	P-value	P-value adjusted	Q-value	Gene	Location	Gene Description
220115_s_at	2294	20	117	EMC	3.00E-66	7.00E-62	2.00E-62	CDH10	chr5p14-p13	cadherin 10, type 2 (T2-cadherin)
205204_at	11380	174	65	EMC	1.00E-46	3.00E-42	5.00E-43	NMB	chr15q22-qter	neuromedin B
209301_at	2408	51	48	EMC	4.00E-24	1.00E-19	2.00E-21	CA2	chr8q22	carbonic anhydrase II
205475_at	1308	30	44	EMC	2.00E-20	5.00E-16	8.00E-18	SCRG1	chr4q31-q32	scrapie responsive protein 1
204602_at	1248	32	40	EMC	2.00E-69	5.00E-65	3.00E-65	DKK1	chr10q11.2	dickkopf homolog 1 (Xenopus laevis)
217967_s_at	1825	53	35	EMC	9.00E-13	2.00E-08	1.00E-10	C1orf24	chr1q25	chromosome 1 open reading frame 24
204235_s_at	942	28	34	EMC	1.00E-19	3.00E-15	4.00E-17	GULP1	chr2q32.3-q33	GULP, engulfment adaptor PTB domain containing 1
217997_at	1316	39	34	EMC	4.00E-16	8.00E-12	8.00E-14	PHLDA1	chr12q15	pleckstrin homology-like domain, family A, member 1
207930_at	1398	44	32	EMC	8.00E-45	2.00E-40	3.00E-41	LCN1	chr9q34	lipocalin 1 (tear prealbumin)
205637_s_at	2713	91	30	EMC	3.00E-23	6.00E-19	1.00E-20	SH3GL3	chr15q24	SH3-domain GRB2-like 3
201242_s_at	1471	51	29	EMC	1.00E-07	3.00E-03	6.00E-06	ATP1B1	chr1q24	ATPase, Na+/K+ transporting, beta 1 polypeptide
215646_s_at	1777	66	27	EMC	7.00E-08	1.00E-03	3.00E-06	CSPG2	chr5q14.3	chondroitin sulfate proteoglycan 2 (versican) /// chondroitin sulfate proteoglycan 2 (versican)
204237_at	849	32	27	EMC	3.00E-11	7.00E-07	3.00E-09	GULP1	chr2q32.3-q33	GULP, engulfment adaptor PTB domain containing 1
217996_at	1306	52	25	EMC	3.00E-11	7.00E-07	3.00E-09	PHLDA1	chr12q15	pleckstrin homology-like domain, family A, member 1
219643_at	367	15	25	EMC	2.00E-23	3.00E-19	8.00E-21	LRP1B	chr2q21.2	low density lipoprotein-related protein 1B (deleted in tumors)
201116_s_at	3753	152	25	EMC	5.00E-11	1.00E-06	5.00E-09	CPE	chr4q32.3	carboxypeptidase E
221760_at	1463	59	25	EMC	5.00E-11	1.00E-06	5.00E-09	MAN1A1	chr6q22	Mannosidase, alpha, class 1A, member 1
211571_s_at	2879	117	25	EMC	1.00E-08	2.00E-04	6.00E-07	CSPG2	chr5q14.3	chondroitin sulfate proteoglycan 2 (versican)
205923_at	867	39	22	EMC	7.00E-09	2.00E-04	5.00E-07	RELN	chr7q22	reelin
212063_at	2838	134	21	EMC	6.00E-07	1.00E-02	2.00E-05	CD44	chr11p13	CD44 antigen (homing function and Indian blood group system)
215913_s_at	494	26	19	EMC	2.00E-37	5.00E-33	3.00E-34	GULP1	chr2q32.3-q33	GULP, engulfment adaptor PTB domain containing 1
