probeset	M	Gene Title	Gene Symbol	Ensembl	Entrez Gene	SwissProt	RefSeq Protein ID	RefSeq Transcript ID
233011_at	-2.429275246	Annexin A1	ANXA1	NA	301	P04083 /// Q5TZZ9	NP_000691.1	NM_000700
205830_at	-2.158403364	calmegin	CLGN	ENSG00000153132	1047	O14967	NP_004353.1	NM_004362
223381_at	-1.94712985	cell division cycle associated 1	CDCA1	ENSG00000143228	83540	Q8WU69 /// Q96HJ4 /// Q96Q78 /// Q9BZD4	NP_113611.1 /// NP_663735.1	NM_031423 /// NM_145697
229092_at	-1.938120894	Nuclear receptor subfamily 2, group F, member 2	NR2F2	NA	7026	P24468 /// Q3KQR7	NP_066285.1	NM_021005
204962_s_at	-1.904813712	centromere protein A	CENPA	ENSG00000115163	1058	P49450 /// Q96FF4 /// Q9BVW2	NP_001035891.1 /// NP_001800.1	NM_001042426 /// NM_001809
205767_at	-1.852471882	epiregulin	EREG	ENSG00000124882	2069	O14944 /// Q6FH69	NP_001423.1	NM_001432
204822_at	-1.82857144	TTK protein kinase	TTK	ENSG00000112742	7272	P33981 /// Q15272 /// Q9BW51	NP_003309.2	NM_003318
224428_s_at	-1.803054094	cell division cycle associated 7 /// cell division cycle associated 7	CDCA7	ENSG00000144354	83879	Q53EW5 /// Q658K4 /// Q658N4 /// Q8NBY9 /// Q96BV8 /// Q96SP5 /// Q9BWT1	NP_114148.3 /// NP_665809.1	NM_031942 /// NM_145810
1556175_at	-1.800463335	hypothetical protein BC002770	LOC92154	NA	92154	Q765P7 /// Q8TB44 /// Q9BUA8	NP_612392.1	NM_138383
209642_at	-1.767366416	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	BUB1	ENSG00000169679	699	O43683	NP_004327.1	NM_004336
1555758_a_at	-1.762700287	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	CDKN3	ENSG00000100526	1033	Q16667 /// Q3SYQ4 /// Q53ZU6 /// Q5U0M4 /// Q6P1N8 /// Q86SK4 /// Q86SK7 /// Q86SK8 /// Q9BPV5 /// Q9BY34 /// Q9C043 /// Q9C044 /// Q9C045 /// Q9C046 /// Q9C048 /// Q9C050	NP_005183.2	NM_005192
215629_s_at	-1.758329033	deleted in lymphocytic leukemia, 2 /// deleted in lymphocytic leukemia 2-like	DLEU2 /// DLEU2L	NA	79469 /// 8847	O43262 /// Q7Z2U1	NA	NR_002612 /// NR_002771
205681_at	-1.728285035	BCL2-related protein A1	BCL2A1	ENSG00000140379	597	Q16548 /// Q6FGZ4 /// Q6FH19 /// Q86W13	NP_004040.1	NM_004049
204146_at	-1.721515407	RAD51 associated protein 1	RAD51AP1	ENSG00000111247	10635	Q96B01	NP_006470.1	NM_006479
203764_at	-1.721246173	discs, large homolog 7 (Drosophila)	DLG7	ENSG00000126787	9787	Q15398 /// Q86T11	NP_055565.2	NM_014750
209189_at	-1.720165058	v-fos FBJ murine osteosarcoma viral oncogene homolog	FOS	ENSG00000170345	2353	P01100 /// Q6FG41	NP_005243.1	NM_005252
228323_at	-1.706916679	cancer susceptibility candidate 5	CASC5	NA	57082	Q8NG31	NP_653091.2 /// NP_733468.2	NM_144508 /// NM_170589
207165_at	-1.698413216	hyaluronan-mediated motility receptor (RHAMM)	HMMR	ENSG00000072571	3161	O75330 /// Q2VPE6 /// Q32N02 /// Q6NSC0 /// Q6PG44 /// Q6PIR6	NP_036616.1 /// NP_036617.1	NM_012484 /// NM_012485
206022_at	-1.694283915	Norrie disease (pseudoglioma)	NDP	ENSG00000124479	4693	Q00604	NP_000257.1	NM_000266
212543_at	-1.691950737	absent in melanoma 1	AIM1	ENSG00000112297	202	Q6P5P8 /// Q9Y4K1	NP_001615.1	NM_001624
232278_s_at	-1.682654074	DEP domain containing 1	DEPDC1	ENSG00000024526	55635	Q69YG3 /// Q9H9I3 /// Q9NX21 /// Q9NXA5 /// Q9NXZ0	NP_060249.2	NM_017779
229437_at	-1.660651446	BIC transcript	BIC	NA	114614	NA	NA	NR_001458
228619_x_at	-1.627249307	TIP41, TOR signalling pathway regulator-like (S. cerevisiae)	TIPRL	ENSG00000143155	261726	O75663 /// Q5HYB2 /// Q8IZ86	NP_001026970.1 /// NP_690866.1	NM_001031800 /// NM_152902
230165_at	-1.624404529	shugoshin-like 2 (S. pombe)	SGOL2	ENSG00000163535	151246	Q2TB36 /// Q562F6	NP_689737.3	NM_152524
209891_at	-1.624303329	spindle pole body component 25 homolog (S. cerevisiae)	SPBC25	ENSG00000152253	57405	Q9HBM1	NP_065726.1	NM_020675
219148_at	-1.623518122	PDZ binding kinase	PBK	ENSG00000168078	55872	Q96KB5	NP_060962.2	NM_018492
218542_at	-1.622433586	centrosomal protein 55kDa	CEP55	ENSG00000138180	55165	Q53EZ4	NP_060601.2	NM_018131
206632_s_at	-1.618472229	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B	APOBEC3B	ENSG00000179750	9582	Q20WL1 /// Q6ICH2 /// Q9UH17	NP_004891.3	NM_004900
242890_at	-1.607942126	Helicase, lymphoid-specific	HELLS	NA	3070	Q3LID1 /// Q6I7N7 /// Q6I7N8 /// Q76H75 /// Q76H76 /// Q76H77 /// Q76H78 /// Q76H79 /// Q76H80 /// Q76H81 /// Q76H82 /// Q7Z397 /// Q7Z5X2 /// Q8N6P4 /// Q9H4P5 /// Q9NRZ9 /// Q9NW36	NP_060533.2	NM_018063
222958_s_at	-1.584257399	DEP domain containing 1	DEPDC1	ENSG00000024526	55635	Q69YG3 /// Q9H9I3 /// Q9NX21 /// Q9NXA5 /// Q9NXZ0	NP_060249.2	NM_017779
228640_at	-1.572735451	CDNA clone IMAGE:4800096	NA	NA	NA	NA	NA	NA
218663_at	-1.569708486	chromosome condensation protein G	HCAP-G	ENSG00000109805	64151	Q3MJE0 /// Q6NUR1 /// Q9BPX3	NP_071741.2	NM_022346
229538_s_at	-1.54674557	IQ motif containing GTPase activating protein 3	IQGAP3	ENSG00000183856	128239	Q86VI3	NP_839943.2	NM_178229
202870_s_at	-1.540676727	CDC20 cell division cycle 20 homolog (S. cerevisiae)	CDC20	ENSG00000117399	991	Q12834 /// Q5JUY4	NP_001246.1	NM_001255
203276_at	-1.536546164	lamin B1	LMNB1	ENSG00000113368	4001	P20700 /// Q6DC98	NP_005564.1	NM_005573
204472_at	-1.534594466	GTP binding protein overexpressed in skeletal muscle	GEM	ENSG00000164949	2669	P55040	NP_005252.1 /// NP_859053.1	NM_005261 /// NM_181702
236641_at	-1.53436939	kinesin family member 14	KIF14	ENSG00000118193	9928	Q15058 /// Q4G0A5	NP_055690.1	NM_014875
211990_at	-1.525819901	major histocompatibility complex, class II, DP alpha 1	HLA-DPA1	ENSG00000206225 /// ENSG00000206291 /// ENSG00000168384	3113	P20036 /// Q59GQ1 /// Q95HB9	NP_291032.2	NM_033554
204641_at	-1.520103724	NIMA (never in mitosis gene a)-related kinase 2	NEK2	ENSG00000117650	4751	P51955 /// Q5I1Z9	NP_002488.1	NM_002497
203213_at	-1.519312428	cell division cycle 2, G1 to S and G2 to M	CDC2	ENSG00000170312	983	P06493 /// Q3B785 /// Q5H9N4	NP_001777.1 /// NP_203698.1	NM_001786 /// NM_033379
238756_at	-1.510782037	Growth arrest-specific 2 like 3	GAS2L3	NA	283431	Q86XJ1	NP_777602.1	NM_174942
229490_s_at	-1.502711454	Transcribed locus, strongly similar to NP_839943.2 IQ motif containing GTPase activating protein 3 [Homo sapiens]	NA	NA	NA	NA	NA	NA
239680_at	-1.49479074	NA	NA	ENSG00000092470	NA	NA	NA	NA
205296_at	-1.489495514	NA	NA	ENSG00000080839	NA	NA	NA	NA
219918_s_at	-1.489153348	asp (abnormal spindle)-like, microcephaly associated (Drosophila)	ASPM	ENSG00000066279	259266	Q4G1H0 /// Q4G1H1 /// Q4G1H2 /// Q8IZT6	NP_060606.2	NM_018136
244396_at	-1.475238632	Ras-GTPase-activating protein SH3-domain-binding protein	G3BP	ENSG00000145907	10146	Q13283 /// Q32P45 /// Q53HH4 /// Q5HYE9 /// Q5U0Q1 /// Q6FI03 /// Q6ZP53	NP_005745.1 /// NP_938405.1	NM_005754 /// NM_198395
225655_at	-1.469469428	ubiquitin-like, containing PHD and RING finger domains, 1	UHRF1	ENSG00000034063	29128	Q2HIX7 /// Q96T88	NP_037414.2	NM_013282
213963_s_at	-1.468462197	Sin3A-associated protein, 30kDa	SAP30	NA	8819	O75446	NP_003855.1	NM_003864
218662_s_at	-1.467293996	chromosome condensation protein G	HCAP-G	ENSG00000109805	64151	Q3MJE0 /// Q6NUR1 /// Q9BPX3	NP_071741.2	NM_022346
237114_at	-1.462737284	Trafficking protein particle complex 3	TRAPPC3	NA	27095	O43617	NP_055223.1	NM_014408
219493_at	-1.4607044	SHC SH2-domain binding protein 1	SHCBP1	ENSG00000171241	79801	Q8NEM2	NP_079021.2	NM_024745
213226_at	-1.454928684	cyclin A2	CCNA2	ENSG00000145386	890	P20248 /// P62988 /// Q2M3U6 /// Q5U5U6 /// Q6LER8	NP_001228.1	NM_001237
205347_s_at	-1.451567708	thymosin-like 8	TMSL8	ENSG00000158164	11013	Q99406	NP_068832.1	NM_021992
201295_s_at	-1.443448614	WD repeat and SOCS box-containing 1 /// similar to 40S ribosomal protein S16	WSB1 /// LOC401876	ENSG00000109046	26118 /// 401876	Q53HK4 /// Q8NC76 /// Q9UG25 /// Q9Y656 /// Q9Y6I7	NP_056441.6 /// NP_599027.1 /// XP_497534.1	NM_015626 /// NM_134265 /// XM_497534
222608_s_at	-1.44291528	anillin, actin binding protein	ANLN	ENSG00000011426	54443	Q9NQW6	NP_061155.2	NM_018685
219937_at	-1.437025313	thyrotropin-releasing hormone degrading enzyme	TRHDE	ENSG00000072657	29953	Q9UKU6	NP_037513.1	NM_013381
208894_at	-1.408122037	major histocompatibility complex, class II, DR alpha /// major histocompatibility complex, class II, DR alpha	HLA-DRA	ENSG00000206243	3122	O19716 /// O19720 /// P01903 /// Q29868 /// Q30118 /// Q59GE3	NP_061984.2	NM_019111
204444_at	-1.400724641	kinesin family member 11	KIF11	ENSG00000138160	3832	P52732 /// Q59GZ5	NP_004514.2	NM_004523
224480_s_at	-1.398263834	lysophosphatidic acid acyltransferase theta /// lysophosphatidic acid acyltransferase theta	LPAAT-THETA	ENSG00000138678	84803	Q53EU6 /// Q68CJ4 /// Q6GPI6 /// Q8NI66 /// Q96NA3	NP_116106.2	NM_032717
231735_s_at	-1.394651057	PRO1073 protein	PRO1073	ENSG00000184027	29005	Q9UHZ2	NA	NA
201291_s_at	-1.388768235	topoisomerase (DNA) II alpha 170kDa	TOP2A	ENSG00000131747	7153	P11388	NP_001058.2	NM_001067
227350_at	-1.384182946	Helicase, lymphoid-specific	HELLS	ENSG00000119969	3070	Q3LID1 /// Q6I7N7 /// Q6I7N8 /// Q76H75 /// Q76H76 /// Q76H77 /// Q76H78 /// Q76H79 /// Q76H80 /// Q76H81 /// Q76H82 /// Q7Z397 /// Q7Z5X2 /// Q8N6P4 /// Q9H4P5 /// Q9NRZ9 /// Q9NW36	NP_060533.2	NM_018063
218755_at	-1.38176878	kinesin family member 20A	KIF20A	ENSG00000112984	10112	O95235	NP_005724.1	NM_005733
242979_at	-1.369384864	Transcribed locus	NA	NA	NA	NA	NA	NA
238516_at	-1.368213691	bone morphogenetic protein receptor, type II (serine/threonine kinase)	BMPR2	ENSG00000204217	659	Q13161 /// Q13873 /// Q597H5	NP_001195.2	NM_001204
220651_s_at	-1.36665741	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)	MCM10	ENSG00000065328	55388	Q3MIR3 /// Q7L590 /// Q7LD55 /// Q96GX4 /// Q96NB6 /// Q9H0D7 /// Q9H3P9	NP_060988.3 /// NP_877428.1	NM_018518 /// NM_182751
218585_s_at	-1.366538971	denticleless homolog (Drosophila)	DTL	ENSG00000143476	51514	Q96SN0 /// Q9NW03 /// Q9NW34 /// Q9NWM5 /// Q9NZJ0	NP_057532.1	NM_016448
204120_s_at	-1.364689364	adenosine kinase	ADK	ENSG00000156110	132	P55263 /// Q86U79	NP_001114.2 /// NP_006712.2	NM_001123 /// NM_006721
204709_s_at	-1.364244974	kinesin family member 23	KIF23	ENSG00000137807	9493	Q02241 /// Q8WVP0	NP_004847.2 /// NP_612565.1	NM_004856 /// NM_138555
1555772_a_at	-1.346594472	cell division cycle 25A	CDC25A	ENSG00000164045	993	P30304	NP_001780.2 /// NP_963861.1	NM_001789 /// NM_201567
228729_at	-1.340893977	cyclin B1	CCNB1	ENSG00000134057	891	P14635 /// Q5TZP9 /// Q9BPX9 /// Q9BWU7 /// Q9BWU8 /// Q9BWU9 /// Q9BWV0	NP_114172.1	NM_031966
235476_at	-1.339409901	tripartite motif-containing 59	TRIM59	ENSG00000068885	286827	Q7Z3C3 /// Q8IWR1	NP_775107.1	NM_173084
