Genbank accession no.	Gene symbol	Gene title	Treatment 1649a	Treatment BP	Treatment DBP
NM_000104	CYP1B1	Cytochrome P450, family 1, subfamily B, polypeptide 1	1.8 ± 0.07	2.5 ± 0.28	?0.2 ± 0.21
M92934	CTGF	Connective tissue growth factor	2.0 ± 0.70	0.6 ± 0.49	1.8 ± 0.91
BC004490	FOS	v-fos FBJ murine osteosarcoma viral oncogene homologue	1.7 ± 0.28	?0.3 ± 0.21	0.9 ± 1.20
NM_001554	CYR61	Cysteine-rich, angiogenic inducer, 61	1.3 ± 0.49	0.1 ± 0.28	1.0 ± 0.77
NM_004417	DUSP1	Dual specificity phosphatase 1	1.2 ± 0.42	?0.1 ± 0.07	0.9 ± 0.77
BF594446	MCL1	Myeloid cell leukemia sequence 1 (BCL2 related)	1.2 ± 0.28	0.5 ± 1.06	0.8 ± 0.14
U73936	JAG1NS	Jagged 1 (Alagille syndrome) involved in cell communication	2.0 ± 0.84	2.0 ± 0.99	2.6 ± 0.35
NM_015869	PPARG	Peroxisome proliferative activated receptor, ?	1.2 ± 0.14	1.7 ± 0.21	0.9 ± 0.07
BG491844	JUN	v-jun sarcoma virus 17 oncogene homologue (avian)	1.0 ± 0.00	0.3 ± 0.14	0.4 ± 0.28
AI091047	SLC2A1	Solute carrier family 2 (facilitated glucose transporter), member 1	1.7 ± 0.00	0.3 ± 0.92	0.8 ± 0.00
