Entrez gene ID	Gene symbol	Gene name	Log2 ratio
6624	FSCN1	Fascin homologue 1, actin-bundling protein (Strongylocentrotus purpuratus)	-3.95
10447	FAM3C	Family with sequence similarity 3, member C	-3.26
203547	LOC203547	Hypothetical protein LOC203547	-3.17
2519	FUCA2	Fucosidase, alpha-L-2, plasma	-2.88
51280	GOLM1	Golgi membrane protein 1	-2.85
56674	TMEM9B	TMEM9 domain family, member B	-2.85
5094	PCBP2	Poly(rC)-binding protein 2	-2.81
84841	MGC15634	Hypothetical protein MGC15634	-2.8
2764	GMFB	Glia maturation factor, beta	-2.63
91452	ACBD5	Acyl-coenzyme A-binding domain containing 5	-2.61
7048	TGFBR2	Transforming growth factor, beta receptor II (70/80 kDa)	-2.57
8508	NIPSNAP1	Nipsnap homologue 1 (Caenorhabditis elegans)	-2.55
23075	SWAP70	SWAP-70 protein	-2.54
92675	DTD1	D-tyrosyl-tRNA deacylase 1 homologue (Saccharomyces cerevisiae)	-2.53
27250	PDCD4	Programmed cell death 4 (neoplastic transformation inhibitor)	-2.52
57552	AADACL1	Arylacetamide deacetylase-like 1	-2.49
4697	NDUFA4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9 kDa	-2.46
5530	PPP3CA	Protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform	-2.39
51199	NIN	Ninein (GSK3B-interacting protein)	-2.26
89894	TMEM116	transmembrane protein 116	-2.03
