Probe Set ID	Gene Symbol	Gene Title	Adjusted P-value	Average Expression Ratio
229851_s_at	C11orf54	chromosome 11 open reading frame 54	< 0.0001	0.14
201188_s_at	ITPR3	inositol 1,4,5-triphosphate receptor, type 3	< 0.0001	0.28
232069_at	KIF26A	kinesin family member 26A	< 0.0001	0.14
241585_at	LRRC4C	leucine rich repeat containing 4C	< 0.0001	0.1
244763_at	MTRF1	mitochondrial translational release factor 1	< 0.0001	0.13
239801_at	RNF40	ring finger protein 40	< 0.0001	0.36
241642_x_at	LOC100133905 /// TLK1	hypothetical protein LOC100133905 /// tousled-like kinase 1	0.00015	0.44
203923_s_at	CYBB	cytochrome b-245, beta polypeptide	0.00028	0.15
228966_at	PANK2	Pantothenate kinase 2	0.00028	0.16
211280_s_at	NRF1	nuclear respiratory factor 1	0.00032	0.14
225270_at	NEO1	neogenin homolog 1 (chicken)	0.00038	0.37
1560019_at	MGC11082	hypothetical LOC84777	0.00041	0.18
214420_s_at	CYP2C9	Cytochrome P450, family 2, subfamily C, polypeptide 9	0.00075	0.23
200999_s_at	CKAP4	cytoskeleton-associated protein 4	0.0011	0.32
216511_s_at	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)	0.0013	0.12
207860_at	NCR1	natural cytotoxicity triggering receptor 1	0.0019	0.2
1554643_at	RGS11	regulator of G-protein signaling 11	0.0026	0.29
238738_at	PSMD7	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 7	0.003	0.1
214625_s_at	MINK1	misshapen-like kinase 1 (zebrafish)	0.0031	0.36
217103_at	LDLR	low density lipoprotein receptor	0.0033	0.26
1569156_at	ZNF846	zinc finger protein 846	0.004	0.24
206409_at	TIAM1	T-cell lymphoma invasion and metastasis 1	0.0042	0.22
210835_s_at	CTBP2	C-terminal binding protein 2	0.0044	0.39
230528_s_at	MGC2752	hypothetical LOC65996	0.0046	0.19
1557881_at	C10orf44	chromosome 10 open reading frame 44	0.0059	0.23
1563035_x_at	GPD1	glycerol-3-phosphate dehydrogenase 1 (soluble)	0.0061	0.15
213828_x_at	H3F3A /// H3F3B /// LOC440926	H3 histone, family 3A /// H3 histone, family 3B (H3.3B) /// H3 histone, family 3A pseudogene	0.0061	0.27
218115_at	ASF1B	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	0.0064	0.26
241910_x_at	ARL17P1	ADP-ribosylation factor-like 17 pseudogene 1	0.0066	0.28
225625_at	ALKBH2	alkB, alkylation repair homolog 2 (E. coli)	0.0071	0.43
231496_at	FCAMR	Fc receptor, IgA, IgM, high affinity	0.0083	0.1
244848_at	CHD1L	Chromodomain helicase DNA binding protein 1-like	0.0086	0.39
224063_at	NLN	neurolysin (metallopeptidase M3 family)	0.0093	0.25
238263_at	LOC285965	hypothetical protein LOC285965	0.01	0.15
222078_at	PKLR	pyruvate kinase, liver and RBC	0.01	0.38
208764_s_at	ATP5G2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)	0.01	0.29
234710_s_at	PARP6	poly (ADP-ribose) polymerase family, member 6	0.011	0.3
214043_at	PTPRD	protein tyrosine phosphatase, receptor type, D	0.011	0.31
1564373_a_at	LOC283887	hypothetical protein LOC283887	0.011	0.21
201181_at	GNAI3	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	0.011	0.17
1552906_at	FMR1NB	fragile X mental retardation 1 neighbor	0.011	0.21
1554663_a_at	NUMA1	nuclear mitotic apparatus protein 1	0.012	0.2
242847_at	C11orf30	chromosome 11 open reading frame 30	0.012	0.21
223509_at	CLDN2	claudin 2	0.012	0.15
1564796_at	EMP1	epithelial membrane protein 1	0.012	0.16
220512_at	DLC1	deleted in liver cancer 1	0.014	0.32
1559128_at	HSDL2	hydroxysteroid dehydrogenase like 2	0.016	0.12
232849_at	LOC100128988	similar to hCG2018847	0.016	0.31
233751_at	ZFHX3	zinc finger homeobox 3	0.016	0.14
213352_at	TMCC1	transmembrane and coiled-coil domain family 1	0.016	0.36
223739_at	PADI1	peptidyl arginine deiminase, type I	0.017	0.38
214751_at	ZNF468	zinc finger protein 468	0.017	0.21
224772_at	NAV1	neuron navigator 1	0.018	0.35
223296_at	SLC25A33	solute carrier family 25, member 33	0.02	0.3
223007_s_at	C9orf5	chromosome 9 open reading frame 5	0.021	0.16
220523_at	EFHC2	EF-hand domain (C-terminal) containing 2	0.021	0.26
232696_at	LOC648556	uncharacterized gastric protein ZA43P	0.021	0.38
210271_at	NEUROD2	neurogenic differentiation 2	0.022	0.26
208633_s_at	MACF1	microtubule-actin crosslinking factor 1	0.023	0.36
1560676_at	LOC283514	similar to seven in absentia 2	0.025	0.18
215114_at	SENP3	SUMO1/sentrin/SMT3 specific peptidase 3	0.026	0.29
211466_at	NFIB	nuclear factor I/B	0.026	0.26
236222_at	C3orf15	chromosome 3 open reading frame 15	0.027	0.27
203273_s_at	TUSC2	tumor suppressor candidate 2	0.027	0.18
232864_s_at	AFF4	AF4/FMR2 family, member 4	0.029	0.42
203604_at	ZNF516	zinc finger protein 516	0.033	0.45
224359_s_at	HOOK3	hook homolog 3 (Drosophila)	0.033	0.09
208755_x_at	H3F3A /// H3F3B /// LOC440926	H3 histone, family 3A /// H3 histone, family 3B (H3.3B) /// H3 histone, family 3A pseudogene	0.034	0.36
215339_at	NKTR	natural killer-tumor recognition sequence	0.034	0.28
218974_at	SOBP	sine oculis binding protein homolog (Drosophila)	0.036	0.21
207637_at	LOC100129448 /// WSCD2	hypothetical protein LOC100129448 /// WSC domain containing 2	0.037	0.22
233317_at	CD9	CD9 molecule	0.037	0.11
212075_s_at	CSNK2A1	casein kinase 2, alpha 1 polypeptide	0.038	0.19
219605_at	ZNF3	zinc finger protein 3	0.039	0.27
201935_s_at	EIF4G3	eukaryotic translation initiation factor 4 gamma, 3	0.04	0.38
207359_at	CAMKK2	calcium/calmodulin-dependent protein kinase 2, beta	0.041	0.27
229912_at	SDK1	sidekick homolog 1, cell adhesion molecule (chicken)	0.044	0.36
1558743_at	ZNF620	zinc finger protein 620	0.044	0.29
227443_at	C9orf150	chromosome 9 open reading frame 150	0.045	0.33
212344_at	SULF1	sulfatase 1	0.045	0.25
1554309_at	EIF4G3	eukaryotic translation initiation factor 4 gamma, 3	0.047	0.25
227556_at	NME7	non-metastatic cells 7, protein expressed in (nucleoside-diphosphate kinase)	0.048	0.37
201488_x_at	KHDRBS1	KH domain containing, RNA binding, signal transduction associated 1	0.049	0.26
221736_at	KIAA1219	KIAA1219	0.049	0.15
240217_s_at			< 0.0001	0.17
1556784_at			< 0.0001	0.17
1557551_at			< 0.0001	0.22
228985_at			0.00082	0.33
243279_at			0.001	0.11
241278_at			0.001	0.28
220856_x_at			0.0012	0.55
237590_at			0.0014	0.16
1561418_at			0.0014	0.22
1556394_a_at			0.0015	0.11
236691_at			0.0017	0.21
241042_at			0.0017	0.02
232159_at			0.0047	0.25
243966_at			0.0068	0.11
241892_at			0.0078	0.39
233365_at			0.0092	0.38
1566209_at			0.01	0.2
236447_at			0.011	0.35
241133_at			0.011	0.2
1557623_at			0.012	0.15
1561596_at			0.012	0.18
236303_at			0.012	0.27
215993_at			0.016	0.37
1559653_at			0.016	0.45
233710_at			0.016	0.3
238556_at			0.021	0.16
