Gene name	Title	Fold decrease
PLOD	Procollagen-lysine	3
PLOD2	Procollagen-lysine 2	6.5
TGFA	Transforming growth factor, a	2.5
SLC2A1 / Glut-1	Glucose transporter, member1	3.7
BNIP3	BCL2/adenovirus E1B interacting protein 3	4
P4HA1	Proline4-hydroxylase a polypeptide 1	8
PLAU / u-PA	Plasminogen activator, urokinase	2.5
PLAT / t-PA	Plasminogen activator, tissue	6.1
Serpin31 / PA-1	Serine proteinase inhibitor, member 1	1.9
CDKN1B / P27KKI	Cyclin-dependent kinase inhibitor 1B	2
COL5A1	Collagen, type V, a1	3.2
COL5A2	Collagen, type V, a2	13
DEC1 / BHLHB2	Basichelix-loop-helix domain containing, class	7
TGM2	Transglutaminase 2	4.9
ADM	Adrenomedullin	3.2
STC1	Stanniocalcin 1	9.8
AK3	Adenylate kinase 3	3
CA9	Carbonic anhydrase IX	137
PDGFRB	Platelet-derived growth factor receptor, polypeptide	9.2
PDGFRA	Platelet-derived growth factor receptor,a polypeptide	32
HDAC1	Histone deacetylase 1	2.3
VEGFC	Vascular endothelial growth factor C	2.1
CITED / P35SRJ	Cbp/p300-interacting transactivator 2	9.8
