Probe	Symbol	Entrez	Centroid	FDR	Absolutely Present or Absent?	Description
1452403_a_at	oc90	18256	0	0	A	otoconin 90
1416049_at	gldc	104174	2	0	A	glycine decarboxylase
1449799_s_at	pkp2	67451	3	0	A	plakophilin 2
1451835_at	sox21	223227	3	0	A	SRY-box containing gene 21
1417507_at	cyb561	13056	3	0	--	cytochrome b-561
1423691_x_at	krt2-8	16691	3	0	--	keratin complex 2, basic, gene 8
1435989_x_at	loc434261	434261	3	0	--	similar to cytokeratin EndoA - mouse
1452320_at	loc545422	545422	3	0	--	similar to low density lipoprotein receptor-related protein 2
1428882_at	2510001i10rik	74781	4	0	A	RIKEN cDNA 2510001I10 gene
1428935_at	canx	12330	4	0.000398012	A	calnexin
1418925_at	celsr1	12614	4	0	A	cadherin EGF LAG seven-pass G-type receptor 1
1449014_at	lactb	80907	4	0	A	lactamase, beta
1451425_a_at	mkrn1	54484	4	0	A	makorin, ring finger protein, 1
1420808_at	ncoa4	27057	4	0	A	nuclear receptor coactivator 4
1416967_at	sox2	20674	4	0	A	SRY-box containing gene 2
1424006_at	2310044p18rik	69684	4	0.001062271	--	RIKEN cDNA 2310044P18 gene
1436243_at	a930004k21rik	228564	4	0	--	RIKEN cDNA A930004K21 gene
1422252_a_at	cdc25c	12532	4	0	--	cell division cycle 25 homolog C (S. cerevisiae)
1449317_at	cflar	12633	4	0.00303228	--	CASP8 and FADD-like apoptosis regulator
1425617_at	dhx9	13211	4	0.000903429	--	DEAH (Asp-Glu-Ala-His) box polypeptide 9
1418401_a_at	dusp16	70686	4	0	--	dual specificity phosphatase 16
1417738_at	rab25	53868	4	0	--	RAB25, member RAS oncogene family
1448389_at	wdr5	140858	4	0	--	WD repeat domain 5
1427683_at	egr2	13654	5	0	P	early growth response 2
1437170_x_at	pdlim1	54132	5	0	P	PDZ and LIM domain 1 (elfin) /// similar to Pdlim1 protein
1417447_at	tcf21	21412	5	0	P	transcription factor 21
1426725_s_at	ets1	23871	5	0	--	E26 avian leukemia oncogene 1, 5 domain
1416103_at	ywhaz	22631	5	0	--	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide
1455484_at	2600009p04rik	66572	6	0	P	RIKEN cDNA 2600009P04 gene
1452946_a_at	3222401m22rik	74013	6	0	P	RIKEN cDNA 3222401M22 gene
1450042_at	arx	11878	6	0	P	aristaless related homeobox gene (Drosophila)
1448088_at	c78228	97230	6	0.000398012	P	expressed sequence C78228
1420348_at	lhx5	16873	6	0	P	LIM homeobox protein 5
1450258_a_at	elavl4	15572	6	0	--	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)
1418199_at	hemgn	93966	6	0	--	hemogen
1449319_at	rspo1	192199	6	0	--	R-spondin homolog (Xenopus laevis)
1415978_at	tubb3	22152	6	0	--	tubulin, beta 3
1418673_at	snai2	20583	7	0	P	snail homolog 2 (Drosophila)
1452382_at	1452382_at	1452382_at	7	0	--	---
1449434_at	car3	12350	7	0	--	carbonic anhydrase 3
1426208_x_at	plagl1	22634	7	0	--	pleiomorphic adenoma gene-like 1
1425528_at	prrx1	18933	7	0	--	paired related homeobox 1
1438651_a_at	agtrl1	23796	8	0.000398012	--	angiotensin receptor-like 1
1438743_at	cyp7a1	13122	8	0	--	cytochrome P450, family 7, subfamily a, polypeptide 1
1426295_at	hapln1	12950	8	0	--	hyaluronan and proteoglycan link protein 1
1424797_a_at	pitx2	18741	8	0.000398012	--	paired-like homeodomain transcription factor 2
1448949_at	car4	12351	9	0	--	carbonic anhydrase 4
1455898_x_at	slc2a3	20527	9	0	--	solute carrier family 2 (facilitated glucose transporter), member 3
1436392_s_at	tcfap2c	21420	9	0	--	transcription factor AP-2, gamma
1420797_at	otog	18419	10	0	--	otogelin
1427004_at	fbxo2	230904	11	0	A	F-box only protein 2
1415935_at	smoc2	64074	12	0	A	SPARC related modular calcium binding 2
1450673_at	col9a2	12840	12	0	--	procollagen, type IX, alpha 2
1416697_at	dpp4	13482	12	0	--	dipeptidylpeptidase 4
1436244_a_at	tle2	21886	13	0	A	transducin-like enhancer of split 2, homolog of Drosophila E(spl)
1416183_a_at	ldh2	16832	13	0	--	lactate dehydrogenase 2, B chain
1422064_a_at	zbtb20	56490	13	0	--	zinc finger and BTB domain containing 20
1448272_at	btg2	12227	14	0	A	B-cell translocation gene 2, anti-proliferative
1416926_at	trp53inp1	60599	14	0	A	transformation related protein 53 inducible nuclear protein 1
1425985_s_at	masp1	17174	14	0	--	mannan-binding lectin serine peptidase 1
1429584_at	mynn	80732	14	0	--	myoneurin
1420996_at	plxna3	18846	14	0	--	plexin A3
1424356_a_at	metrnl	210029	15	0	A	meteorin, glial cell differentiation regulator-like
1417504_at	calb1	12307	15	0	--	calbindin-28K
1421114_a_at	dspg3	13516	15	0	--	dermatan sulphate proteoglycan 3
1452014_a_at	igf1	16000	15	0	--	insulin-like growth factor 1
1427489_at	itga8	241226	15	0	--	integrin alpha 8
1422523_at	si	20431	15	0.00303228	--	silver
1419672_at	spock1	20745	15	0.000398012	--	sparc/osteonectin, cwcv and kazal-like domains proteoglycan 1
1431213_a_at	1300007c21rik	433762	16	0	P	RIKEN cDNA 1300007C21 gene /// similar to Retrovirus-related POL polyprotein (Endonuclease) /// similar to Retrovirus-related Pol polyprotein (Endonuclease)
1423853_at	6330527o06rik	76161	16	0	P	RIKEN cDNA 6330527O06 gene
1416652_at	aspn	66695	16	0	P	asporin
1418603_at	avpr1a	54140	16	0	P	arginine vasopressin receptor 1A
1422606_at	c1qtnf3	81799	16	0	P	C1q and tumor necrosis factor related protein 3
1448352_at	luzp1	269593	16	0.00303228	P	leucine zipper protein 1
1422011_s_at	xlr	22441	16	0	P	X-linked lymphocyte-regulated complex /// RIKEN cDNA 3830403N18 gene
1417225_at	arl6ip5	65106	16	0	A	ADP-ribosylation factor-like 6 interacting protein 5
1448250_at	9030425e11rik	71566	16	0	--	RIKEN cDNA 9030425E11 gene
1415832_at	agtr2	11609	16	0	--	angiotensin II receptor, type 2
1455869_at	camk2b	12323	16	0	--	Calcium/calmodulin-dependent protein kinase II, beta (Camk2b), mRNA
1450652_at	ctsk	13038	16	0	--	cathepsin K
1418028_at	dct	13190	16	0	--	dopachrome tautomerase
1427183_at	efemp1	216616	16	0	--	epidermal growth factor-containing fibulin-like extracellular matrix protein 1
1423407_a_at	fbln2	14115	16	0	--	fibulin 2
1451047_at	itm2a	16431	16	0	--	integral membrane protein 2A
1448416_at	mgp	17313	16	0	--	matrix Gla protein
1417133_at	pmp22	18858	16	0	--	peripheral myelin protein
1435162_at	prkg2	19092	16	0	--	protein kinase, cGMP-dependent, type II
1456642_x_at	s100a10	20194	16	0	--	S100 calcium binding protein A10 (calpactin)
1448861_at	traf5	22033	16	0	--	Tnf receptor-associated factor 5
1448145_at	wwp2	66894	16	0	--	WW domain containing E3 ubiquitin protein ligase 2
1421433_at	zfhx4	80892	16	0	--	zinc finger homeodomain 4
