Gene	Regulation	GO categories	Gene type
 SQSTM1	Up	Ubiquitin-dependent protein catabolism	STY-specific genes
 PSMD3	Up	26S proteasome	STY-specific genes
 UBE1	Up	Ubiquitin cycle, DNA replication	STY-specific genes
 UBE2M	Up	Ubiquitin cycle	STY-specific genes
 USP10	Down	Ubiquitin-dependent protein catabolism	STY-specific genes
 NRD1	Down	Proteolysis and peptidolysis	STY-specific genes
 PPID	Down	FK506 binding, cyclophilin-type peptidyl-prolyl cis-trans isomerase activity, protein folding	STY-specific genes
 RAB9A	Up	Vesicle and protein transport, signal transduction	NC-specific genes
 PSCD1	Up	Vesicle-mediated transport	NC-specific genes
 PHLDA1	Up	Vesicle-mediated transport	NC-specific genes
 FARP2	Down	Cytoskeleton	NC-specific genes
 GDI1	Down	Vesicle and protein transport, signal transduction,	NC-specific genes
 CCL2/MCP1	Up	Cell signalling, response to pathogenic bacteria, inflammatory response, JAK-STAT cascade	O-specific genes
 CCL20/MIP3A	Up	Immune response, inflammatory response, signal transduction, cell–cell signalling	O-specific genes
 CXCL1/GRO?	Up	Inflammatory response, immune response, actin cytoskeleton reorganization	O-specific genes
 CXCL2/GRO?	Up	Immune response, G-protein coupled receptor protein signalling, inflammatory response	O-specific genes
 CXCL3/GRO?	Up	Chemotaxis, immune response, inflammatory response, G-protein coupled receptor signalling	O-specific genes
 CXCL5	Up	Cell proliferation, immune/inflammatory response	O-specific genes
 PTGS2	Up	Prostaglandin biosynthesis, inflammatory response	O-specific genes
 I?B?/MAD3	Up	Regulation of NF-kB, apoptosis	O-specific genes
 NFKB1	Up	Transcription factor, inflammatory response	O-specific genes
 NFKB2	Up	Transcription factor, inflammatory response	O-specific genes
 RELB	Up	Transcription factor, transcription corepressor activity	O-specific genes
 IRF1	Up	Regulation of transcription, immune response	O-specific genes
 IL6	Up	Cytokine activity	O-specific genes
 IL8	Up	Immune response, cell signalling	O-specific genes
 ICAM1	Up	Cell–cell adhesion	O-specific genes
 TNFAIP3	Up	Apoptosis inhibitor activity, DNA binding, zinc ion binding	O-specific genes
 ZFP36	Up	DNA binding, single-stranded RNA binding	O-specific genes
 JUNB	Up	Transcription factor, Pol II promoter-specific	O-specific genes
 TNFRSF6B	Down	Oncogenesis, anti-apoptosis	O-specific genes
