GeneSymbol	Gene name	GO terms	Mitogen Withdrawal	Contact Inhibition	Loss of Adhesion	20 dy Confluence	Time
DCN	decorin	extracellular matrix	+				14 hours
BDNF	brain-derived neurotrophic factor	secreted signaling	+				14 hours
CXCL2	chemokine (C-X-C motif) ligand 2	secreted signaling	+				14 hours
GDF5 	growth differentiation factor 5	secreted signaling	+				14 hours
IGFBP3 	insulin-like growth factor binding protein 3 	secreted signaling	+				14 hours
WNT2 	wingless-type MMTV integration site family member 2 	secreted signaling	+				14 hours
SERPINF1 	serpin peptidase inhibitor, clade F	angiogenesis inhibition		+			14 hours
ITGA8	integrin, alpha 8	cell surface protein		+			14 hours
CALCRL  	calcitonin receptor-like	cell surface receptor		+			14 hours
GHRHR	growth hormone releasing hormone receptor	cell surface receptor		+			14 hours
IL6 	interleukin 6	secreted signaling		+			14 hours
IL2RG	interleukin 2 receptor, gamma	cell surface receptor			+		14 hours
NPR3	natriuretic peptide receptor C/guanylate cyclase C	cell surface receptor	+	+			14 hours
AR	androgen receptor	cell surface receptor		+	+		14 hours
GRIA4	glutamate receptor, ionotrophic, AMPA 4	cell surface receptor	+	+	+		14 hours
ITGA2	integrin, alpha 2	cell surface protein	-				14 hours
PLAUR	plasminogen activator, urokinase receptor	cell surface receptor	-				14 hours
COL13A1	collagen, type XIII, alpha 1	extracellular matrix	-				14 hours
MFAP2 	microfibrillar-associated protein 2	extracellular matrix	-				14 hours
MMP10	matrix metallopeptidase 10	extracellular matrix	-				14 hours
NOS2A	nitric oxide synthase 2A	nitric oxide signaling	-				14 hours
STC1  	stanniocalcin 1	secreted protein	-				14 hours
IL11 	interleukin 11	secreted signaling	-				14 hours
NPPA 	natriuretic peptide precursor A	secreted signaling	-				14 hours
PLAT 	plasminogen activator, tissue	secreted signaling	-				14 hours
PLAU	plasminogen activator, urokinase	secreted signaling	-				14 hours
SEMA3A	semophorin 3A	secreted signaling	-				14 hours
FGF4	fibroblast growth factor 4	secreted signaling			-		14 hours
SEMA3B	semaphorin 3B	secreted signaling			-		14 hours
HAS2	hyaluronan synthase 2	extracellular matrix	-	-			14 hours
FGF5	fibroblast growth factor 5	secreted signaling		-	-		14 hours
VEGFC	vascular endothelial growth factor C	angiogenesis	-	-	-		14 hours
ANGPT1 	angiopoietin 1	angiogenesis	+				4 days
CYR61	cysteine-rich, angiogenic inducer, 61	angiogenesis	+				4 days
ERBB3 	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3	cell surface receptor	+				4 days
ESR2	estrogen receptor 2	cell surface receptor	+				4 days
IL6R	interleukin 6 receptor	cell surface receptor	+				4 days
THRB	thyroid hormone receptor, beta	cell surface receptor	+				4 days
BMP4	bone morphogenetic protein 4	secreted signaling	+				4 days
CXCL2	chemokine (C-X-C motif) ligand 2 	secreted signaling	+				4 days
FGF2	fibroblast growth factor 2 (basic)	secreted signaling	+				4 days
PTHLH	parathyroid hormone-like hormone	secreted signaling	+				4 days
SEMA3F 	semaphorin 3F	secreted signaling	+				4 days
TGFB2	transforming growth factor, beta 2	secreted signaling	+				4 days
TGFB3	transforming growth factor, beta 3	secreted signaling	+				4 days
WNT2	wingless-type MMTV integration site family member 2 	secreted signaling	+				4 days
ITGB5	integrin, beta 5	cell surface adhesion molecule		+			4 days
CXADR	coxsackie virus and adenovirus receptor	cell surface receptor			+		4 days
COL4A2	collagen, type IV, alpha 2 	extracellular matrix			+		4 days
COL8A1	collagen, type VIII, alpha 1	extracellular matrix			+		4 days
ECM1	extracellular matrix protein 1	extracellular matrix			+		4 days
MMP11	matrix metallopeptidase 11	extracellular matrix			+		4 days
MMP3	matrix metallopeptidase 3	extracellular matrix			+		4 days
HTRA1	HtrA serine peptidase 1 	secreted signaling			+		4 days
THBS2	thrombospondin 2	angiogenesis inhibition	+	+			4 days
CDH13	cadherin 13, H-cadherin	cell surface protein	+	+			4 days
FZD2	frizzled homolog 2	cell surface receptor	+	+			4 days
HTR2B	5-hydroxytryptamine (serotonin) receptor 2B	cell surface receptor	+	+			4 days
IGF2R	insulin-like growth factor 2 receptor	cell surface receptor	+	+			4 days
TGFBR3	transforming growth factor, beta receptor III	cell surface receptor	+	+			4 days
COL15A1	collagen, type XV, alpha 1	extracellular matrix	+	+			4 days
DCN	decorin	extracellular matrix	+	+			4 days
FBN1 	fibrillin 1	extracellular matrix	+	+			4 days
LAMA4	laminin, alpha 4	extracellular matrix	+	+			4 days
MFAP1	microfibrillar-associated protein 1	extracellular matrix	+	+			4 days
BDNF	brain-derived neurotrophic factor	secreted signaling	+	+			4 days
WNT2	wingless-type MMTV integration site family member 2	secreted signaling	+	+			4 days
COL1A1	collagen, type I, alpha 1	extracellular matrix	+		+		4 days
LAMB2	laminin, beta 2	extracellular matrix	+		+		4 days
TNC	tenascin C	extracellular matrix	+		+		4 days
NPPB 	natriuretic peptide precursor B	angiogenesis inhibition	+		+		4 days
ITGB5	integrin, beta 5	cell surface protein		+	+		4 days
COL13A1	collagen, type XIII, alpha 1	extracellular matrix		+	+		4 days
MMP11	matrix metallopeptidase 11	extracellular matrix		+	+		4 days
SERPINF1	pigment epithelium derived factor	angiogenesis inhibition	+	+	+		4 days
TIMP3	tissue inhibitor of metalloproteinase 3	angiogenesis inhibition	+	+	+		4 days
AGT	angiotensinogen (serine (or cysteine) proteinase inhibitor)	angiogenesis inhibition	+	+	+		4 days
CDH11 	cadherin 11, type 2	cell surface protein	+	+	+		4 days
FAT	FAT tumor suppressor homolog 1	cell surface protein	+	+	+		4 days
ITGA1 	integrin, alpha 1	cell surface protein	+	+	+		4 days
VCAM1 	vascular cell adhesion molecule 1	cell surface protein	+	+	+		4 days
BDKRB2 	bradykinin receptor B2	cell surface receptor	+	+	+		4 days
ERBB2 	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2	cell surface receptor	+	+	+		4 days
FCGRT 	Fc fragment of IgG, receptor, transporter, alpha	cell surface receptor	+	+	+		4 days
FGFR1 	fibroblast growth factor receptor 1	cell surface receptor	+	+	+		4 days
GPR37	G protein-coupled receptor 37	cell surface receptor	+	+	+		4 days
IL1R1 	interleukin 1 receptor, type I	cell surface receptor	+	+	+		4 days
LRP1 	low density lipoprotein-related protein 1	cell surface receptor	+	+	+		4 days
OBRGRP 	leptin receptor gene-related protein	cell surface receptor	+	+	+		4 days
PTPRG	protein tyrosine phosphatase, receptor type, G	cell surface receptor	+	+	+		4 days
ROR1 	receptor tyrosine kinase-like orphan receptor 1	cell surface receptor	+	+	+		4 days
TFRC	transferrin receptor	cell surface receptor	+	+	+		4 days
TGFBR2 	transforming growth factor, beta receptor II	cell surface receptor	+	+	+		4 days
TNFRSF1A	tumor necrosis factor receptor superfamily, member 1A 	cell surface receptor	+	+	+		4 days
A2M	alpha-2-macroglobulin	extracellular matrix	+	+	+		4 days
COL3A1	collagen, type III, alpha 1	extracellular matrix	+	+	+		4 days
COL4A5	collagen, type IV, alpha 5	extracellular matrix	+	+	+		4 days
LAMC1	laminin, gamma 1 	extracellular matrix	+	+	+		4 days
LUM	lumican 	extracellular matrix	+	+	+		4 days
MGP	matrix Gla protein	extracellular matrix	+	+	+		4 days
TNC	tenascin C (hexabrachion) 	extracellular matrix	+	+	+		4 days
BMP1	bone morphogenetic protein 1, (pro collagen C proteinase)	secreted protein	+	+	+		4 days
C1R	complement component 1, r subcomponent 	secreted protein	+	+	+		4 days
C1S 	complement component 1, s subcomponent	secreted protein	+	+	+		4 days
CFHL1	complement factor H-related 1	secreted protein	+	+	+		4 days
SOD3	superoxide dismutase 3, extracellular	secreted protein	+	+	+		4 days
F3	coagulation factor III (thromboplastin, tissue factor)	secreted signaling	+	+	+		4 days
IL6	interleukin 6	secreted signaling	+	+	+		4 days
PLAT	plasminogen activator, tissue	secreted signaling	+	+	+		4 days
PROS1	protein S (alpha)	secreted signaling	+	+	+		4 days
SERPING1	serine (or cysteine) proteinase inhibitor	secreted signaling	+	+	+		4 days
ITGA2	integrin, alpha 2	cell surface adhesion molecule	-				4 days
