Gene function	Accession no.	Symbol	Expression
Growth factor and chemokine receptors/hormone receptors	AF056979	IFNGR1	-
Growth factor and chemokine receptors/hormone receptors	AJ271736	IL9R	+
Growth factor and chemokine receptors/hormone receptors	AF245699	AGTR1	+
Growth factor and chemokine receptors/hormone receptors	AF004230	LILRB1	+
Growth factor and chemokine receptors/hormone receptors	AB084454	ANGPT1	+
Growth factor and chemokine receptors/hormone receptors	AC_004634	DTR	-
Growth factor and chemokine receptors/hormone receptors	AC_005369	IK	+
Growth factor and chemokine receptors/hormone receptors	AJ238420	PDGFA	-
Growth factor and chemokine receptors/hormone receptors	BC000125	TGFB1	-
Growth factor and chemokine receptors/hormone receptors	AL031659	GHRH	+
Growth factor and chemokine receptors/hormone receptors	AB014887	ORM1	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AK022142	GAB1	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	BC016618	LCP2	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AF055581	LNK	-
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AF345987	PRKCG	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	NM_005491	CXorf6	-
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AF119836	RAB6A	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AF493902	GNA13	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AF055026	RPIP8	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AB014560	G3BP2	-
Transcription/transcription activators and repressor/RNA polymerase	NM_005593	MYF5	-
Transcription/transcription activators and repressor/RNA polymerase	AF055077	ZNF42	+
Transcription/transcription activators and repressor/RNA polymerase	AF060865	ZNF205	+
Transcription/transcription activators and repressor/RNA polymerase	BC012088	TAF10	-
Transcription/transcription activators and repressor/RNA polymerase	AF139463	EGR2	-
Transcription/transcription activators and repressor/RNA polymerase	N66802	EGR3	-
Transcription/transcription activators and repressor/RNA polymerase	AF000670	ELF4	-
Transcription/transcription activators and repressor/RNA polymerase	AF050110	TIEG	-
Transcription/transcription activators and repressor/RNA polymerase	AB004066	BHLHB2	-
Transcription/transcription activators and repressor/RNA polymerase	AF169253	GATA2	-
Transcription/transcription activators and repressor/RNA polymerase	AF264785	HES1	-
Transcription/transcription activators and repressor/RNA polymerase	M95929	PRRX1	-
Transcription/transcription activators and repressor/RNA polymerase	BC002609	CBX1	-
Transcription/transcription activators and repressor/RNA polymerase	AF019413	RDBP	+
Cell cycle proteins	AF007140	ILF3	+
Cell cycle proteins	AF213700	CDKN1B	+
Oncogenes and tumor suppressors	AB025247	MAFF	-
Oncogenes and tumor suppressors	AB025247	MAFF	-
Oncogenes and tumor suppressors	AB025247	MAFF	-
Cell adhesion receptors/matrix adhesion receptors/cell-cell adhesion receptors	BC020740	SGCD	+
Cell adhesion receptors/matrix adhesion receptors/cell-cell adhesion receptors	BC026329	GJA1	+
Extracellular matrix proteins	AA053720	EDIL3	+
Extracellular matrix proteins	AC_002366	AMELX	+
Extracellular matrix proteins	AF019413	TNXB	-
Extracellular matrix proteins	AF018081	COL18A1	+
Apoptosis-associated proteins	AB051763	POR	-
Metabolism	AC_006020	AASS	+
Metabolism	AK130664	MTHFD2	-
Metabolism	D12775	AMPD3	+
Metabolism	AB062290	TYMS	+
Metabolism	AK055119	PDK2	-
Cytoskeleton/motility/intermediate filament	AB062484	CALD1	+
Cytoskeleton/motility/intermediate filament	AB020673	MYH11	+
Cytoskeleton/motility/intermediate filament	AY351902	IQGAP2	+
Translation factors	AF174496	EEF1A1	+
RNA processing, turnover, and transport	AF391283	SSA1	-
RNA processing, turnover, and transport	AB017018	HNRPDL	+
Chromatin proteins	AC_005943	MBD3	-
Drug resistance proteins	AK025459	TRA1	+
Protein turnover	AF062536	CUL1	-
Protein turnover	AB003730	UBC	+
Facilitated diffusion proteins/symporters and antiporters	AF052693	GJB5	+
Facilitated diffusion proteins/symporters and antiporters	AF001787	UCP3	+
Targeting/exocytosis	AF135372	VAMP2	-
Targeting/exocytosis	BC017263	LMAN2	+
Targeting/exocytosis	BC000326	COPB2	+
Chaperones/protein modification enzymes	BC001786	FKBP4	-
Chaperones/protein modification enzymes	AF042385	PPIE	+
Chaperones/protein modification enzymes	AK125499	P5	+
Chaperones/protein modification enzymes	AF002224	UBE3A	-
Functionally unclassified	AY358917	FSTL3	-
Functionally unclassified	AB029013	WHSC1	-
Functionally unclassified	AY065346	TNFAIP1	-
Functionally unclassified	BC014450	B7	+
Not classified	BC000379	UBB	+
Not classified	AF019225	APOL1	+
Not classified	AB014528	KIAA0628	+
Not classified	AB023214	ZBTB1	-
Not classified	AB023172	CARD8	+
Not classified	AB007893	KIAA0433	+
Not classified	AB014581	L3MBTL	+
Not classified	AF211969	LENG4	-
Not classified	AJ440721	TXNDC5	+
Not classified	BC005318	MYL1	+
Not classified	AB028956	KIAA1033	-
Not classified	AF519179	SMOX	-
Not classified	K03460	H2-ALPHA	-
Not classified	BC012396	MGC40157	+
Not classified	AK095843	LOC169834	+
