Name	Gene	Category	Regulation
zinc finger protein 36, C3H type-like 2	ZFP36L2	S, T	Down
eukaryotic translation elongation factor 1 alpha 1	EEF1A1	S, T	Down
Fzr1 protein	FZR	S, T	Down
nuclear factor I/X (CCAAT-binding transcription factor)	NFIX	S, T	Down
suppression of tumorigenicity 5	ST5	S, T	Down
Wiskott-Aldrich syndrome (eczema-thrombocytopenia)	WAS	S, T	Down
adaptor-related protein complex 2, beta 1 subunit	AP2B1	S, Y	Down
Lutheran blood group (Auberger b antigen included)	LU	S, Y	Down
inhibitor of DNA binding 1	ID1	S	Down
adhesion regulating molecule 1	ADRM1	S	Down
BCL2-associated X protein	BAX	S	Down
Siah-interacting protein	CACYBP	S	Down
C1q-related factor	CRF	S	Down
interleukin 4	IL4	S	Down
KIAA0842 protein	KIAA0842	S	Down
KIAA1079 protein	KIAA1079	S	Down
low density lipoprotein receptor-related protein 3	LRP3	S	Down
parathymosin	PTMS	S	Down
talin 1	TLN1	S	Down
zinc finger protein 306	ZNF306	S	Down
delta sleep inducing peptide, immunoreactor	DSIPI	S	Up
interferon gamma receptor 2	IFNGR2	S	Up
asparagine synthetase	ASNS	S	Up
beaded filament structural protein 2, phakinin	BFSP2	S	Up
contactin 1	CNTN1	S	Up
dual specificity phosphatase 10	DUSP10	S	Up
eukaryotic translation initiation factor 2, gamma	EIF2S3	S	Up
GDP dissociation inhibitor 2;hypothetical protein MGC4022	GDI2	S	Up
Glutamate dehydrogenase-2	GLUD2	S	Up
glucosamine (N-acetyl)-6-sulfatase	GNS	S	Up
Ras-GTPase-activ. SH3-domain-binding protein	G3BP	S	Up
hypoxia-inducible factor 1, alpha subunit	HIF1A	S	Up
jagged 1 (Alagille syndrome)	JAG1	S	Up
mitogen-activated protein kinase kinase kinase 8	MAP3K8	S	Up
phosphodiesterase 4D, cAMP-specific	PDE4D	S	Up
presenilin 1 (Alzheimer disease 3)	PSEN1	S	Up
splicing factor, arginine/serine-rich 1	SFRS1	S	Up
splicing factor, arginine/serine-rich 5	SFRS5	S	Up
eukaryotic translation init. factor 4E binding protein	SFRS6	S	Up
tripartite motif-containing 16	TRIM16	S	Up
zinc finger protein 217	ZNF217	S	Up
phosphoglycerate kinase		S	Up
insulin receptor substrate 1	IRS1	T	Down
GTP-binding protein, 25kD	CDC42	T	Down
carcinoembryonic antigen-related cell adhes. molec. 6	CEACAM6	T	Down
chromosome X (unique) 9879 expressed sequence	DXS9879E	T	Down
GDP-mannose 4,6-dehydratase	GMDS	T	Down
serine/threonine kinase 13 (aurora/IPL1-like)	STK13	T	Down
EUROIMAGE 152428		T	Down
colony stimulating factor 3 (granulocyte)	CSF3	T	Up
tumor necrosis factor, alpha-induced protein 6	TNFAIP6	T	Up
prointerleukin 1 beta	IL1B	T	Up
UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase	B4GALT5	T	Up
B-factor, properdin	BF	T	Up
2,3-bisphosphoglycerate mutase	BPGM	T	Up
H4 histone family, member G	H4FG	T	Up
pre-B-cell colony-enhancing factor	PBEF	T	Up
transferrin receptor (p90, CD71)	TFRC	T	Up
HIVEP2 (Schnurri-2) gene		T	Up
HUMPTHL4 Human parathyroid hormone-like protein		T	Up
BCL2-related protein A1	BCL2A1	S, T	Up
signal transducer and activator of transcription 5A	STAT5A	S, T	Up
stanniocalcin 1	STC1	S, T, Y	Up
natural killer cell transcript 4	NK4	S, T, Y	Up
cytochrome P450, subfamily I (dioxin-inducible)	CYP1B1	S, T, Y	Up
v-jun sarcoma virus 17 oncogene homolog (avian)	JUN	S, Y	Up
vitronectin	VTN	Y	Down
ATP-binding cassette (CFTR/MRP), member 5	ABCC5	Y	Down
alpha-1-microglobulin/bikunin precursor	AMBP	Y	Down
angiogenin, ribonuclease, RNase A family, 5	ANG5	Y	Down
annexin A13	ANXA13	Y	Down
CD34 antigen	CD34	Y	Down
carcinoembryonic antigen-related cell adhes. molec. 5	CEACAM5	Y	Down
