Accession ID	Gene Name	Fold Change	P Value
T70329	Acyl-coenzyme A dehydrogenase, C-2 to C-3 short chain	66.8	0.0006
AA004638	H19, imprinted maternally expressed untranslated	51.6	0.0006
AA454702	Cellular retinoic acid-binding protein 1 (CRABP1)	51.3	0.0006
AA418988	Homo sapiens mRNA: cDNA DKFZp586L0120	48.4	0.0006
AA598653	Osteoblast specific factor 2 (fasciclin I-like)	46	0.0006
R63343	ESTs	36.1	0.0006
AA421218	Cellular retinoic acid-binding protein 1 (CRABP1)	35.8	0.0002
T64223	Carboxypeptidase A3 (mast cell) (CPA3)	33.3	0.0002
AA478481	ESTs	30	0.0006
AA416979	KIAA1462 protein	27.8	0.0001
H43656	Integrin, alpha 10	27	0.0006
AA464691	DKFZP564I1922 protein	27	0.0003
AA425382	Sprouty (Drosophila) homolog 4 (SPRY4)	24.6	0.0006
N26285	Fibronectin 1	22.9	0.0004
AA486082	Serum/glucocorticoid regulated kinase (SGK)	21.8	0.0006
R68237	ESTs	-7.1	0.0018
W93108	Hypothetical protein FLJ22795	-7.1	0.0005
AA187977	Myosin X (MYO10)	-7.5	0.0018
H59916	CD24 antigen (small cell lung carcinoma cluster 4)	-7.5	0.0005
AA670438	Ubiquitin carboxyl-terminal esterase L1	-7.6	0.0006
AA677921	Dachshund (Drosophila) homolog (DACH)	-7.7	0.0003
AA598513	Protein tyrosine phosphatase, receptor type, F	-7.9	0.0006
AA453304	Myeloid/lymphoid or mixed-lineage leukemia	-8.8	0.0006
AA026682	Topoisomerase II alpha	-10.1	0.0003
AA454562	Cell division cycle 2-like 1	-10.5	0.0005
AA598674	ESTs	-10.8	0.0006
AA436405	KIAA1355 protein	-10.8	0.0003
R26283	Dachshund (Drosophila) homolog	-11.5	0.001
AA453779	ESTs	-19.2	0.0006
AA485371	Bone marrow stromal cell antigen 2 (BST2)	-23.6	0.0006
