Ratio	Symbol	Gene name	Function and description	Expression
19.41	ADH1C	Alcohol dehydrogenase 1C, gamma polypeptide	Zinc ion binding, electron transporter, metabolism	Upregulated genes 58As1
18.59	ADH1B	Alcohol dehydrogenase IB, beta polypeptide	Zinc ion binding, electron transporter, metabolism	Upregulated genes 58As1
17.7	FABP1	Fatty acid binding protein 1, liver	Lipid transporter, fatty acid metabolism, cell signaling	Upregulated genes 58As1
15.21	ADH1A	Alcohol dehydrogenase 1A, alpha polypeptide	Zinc ion binding, electron transporter, metabolism	Upregulated genes 58As1
14.15	PLAT	Plasminogen activator, tissue	Proteolysis and peptidolysis, blood coagulation	Upregulated genes 58As1
11.01	MTP	Microsomal triglyceride transfer protein subunit precursor	Lipid metabolism, Small molecule-binding protein	Upregulated genes 58As1
10.47	AKR1C2	Aldo-keto reductase family 1, member C2	Bile acid electron transporter, metabolism	Upregulated genes 58As1
4.71	CYP1B1	Cytochrome P450, family 1, subfamily B, polypeptide 1	Cytochrome P450, electron transporter, morphogenesis	Upregulated genes 58As1
4.67	AKR1C3	Aldo-keto reductase family 1, member C3	Electron transporter, metabolism, cell proliferation	Upregulated genes 58As1
4.04	PON2	Paraoxonase 2	Arylesterase	Upregulated genes 58As1
4.01	RDHL		NADP-dependent retinol dehydrogenase/reductase	Upregulated genes 58As1
3.73	SERPINE2	Serine proteinase inhibitor, clade E, member 2	Serpin, development	Upregulated genes 58As1
3.6	PPP1R14A	Protein phosphatase 1, regulatory subunit 14A		Upregulated genes 58As1
3.54	TGFBI	Transforming growth factor, beta-induced, 68 kDa	Integrin binding, tumor suppressor, cell adhesion	Upregulated genes 58As1
3.45	PROCR	Protein C receptor, endothelial (EPCR)	Receptor, inflammatory response	Upregulated genes 58As1
7.03	AKR1C2	Aldo-keto reductase family 1, member C2	Bile acid transporter, binding, electron transporter	Upregulated genes 58As9
6.08	I_1109564	H19, imprinted maternally expressed untranslated mRNA	Unknown function	Upregulated genes 58As9
5.95	MKNK2	MAP kinase-interacting serine/threonine kinase 2	Phosphorylation, signal transduction	Upregulated genes 58As9
4.1	APOC1	Apolipoprotein C-I	Lipid metabolism	Upregulated genes 58As9
4.07	FLJ21841		Unknown function	Upregulated genes 58As9
